Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Jemez_y_Sangre,MPIM,No Change,High,145.78,49.33,37.19,89.13,0.41,0.54,1.49,0.01,4.6,0,-2.54,0,91.86,0.05,1.32,0,93.23,3.2,-80.4,0,0,High
Feb 2016,Jemez_y_Sangre,MPIM,No Change,High,204.81,46.71,49.9,99.32,0.51,0.54,1.49,0.01,6.46,0,-2.77,0,151.64,0.09,1.32,0,153.06,3.23,-79.81,0.0299999999999998,0.590000000000003,High
Mar 2016,Jemez_y_Sangre,MPIM,No Change,High,78.36,21.88,46.64,71.43,0.53,0.54,1.49,0.01,2.47,0,-3,0,54.01,0.1,1.34,0,55.44,3.35,-77.6,0.12,2.21000000000001,High
Apr 2016,Jemez_y_Sangre,MPIM,No Change,High,28.64,8.38,26.46,37.52,0.92,0.54,1.49,0.01,0.9,0,-3.12,0,19.36,0.05,1.35,0,20.76,3.48,-79.6,0.13,-2,High
May 2016,Jemez_y_Sangre,MPIM,No Change,High,292.28,54.13,114.7,170.86,1.74,0.79,1.54,0.04,9.22,0,-3.17,0,228.93,0.2,1.56,0.41,231.1,3.99,-83.29,0.51,-3.69000000000001,High
Jun 2016,Jemez_y_Sangre,MPIM,No Change,High,91.45,17.13,92.17,101.42,29.57,18.47,2.25,0.25,2.88,0,-3.45,0,71.44,0.22,12.68,3.51,87.84,4.88,-79.15,0.89,4.14,High
Jul 2016,Jemez_y_Sangre,MPIM,No Change,High,343.33,48.96,48.81,92.98,21.03,12.95,2,0.16,10.83,0,-3.52,0,283.55,0.21,9.44,3.79,296.99,5.31,-85.23,0.43,-6.08,High
Aug 2016,Jemez_y_Sangre,MPIM,No Change,High,106.08,17.2,48.93,60.29,27.62,18.35,2.22,0.24,3.35,0,-3.71,0,85.54,0.27,12.31,3.23,101.35,5.79,-83.55,0.48,1.68000000000001,High
Sep 2016,Jemez_y_Sangre,MPIM,No Change,High,159.51,29.09,32.61,58.94,18.65,12.33,2,0.17,5.03,0,-3.72,0,125.39,0.16,8.7,2.4,136.65,4.74,-89.13,-1.05,-5.58,High
Oct 2016,Jemez_y_Sangre,MPIM,No Change,High,296.89,59.95,24.66,88.34,0.6,0.54,1.5,0.01,9.36,0,-3.88,0,227.57,0.09,1.34,0.05,229.05,4.19,-92.05,-0.55,-2.92,High
Nov 2016,Jemez_y_Sangre,MPIM,No Change,High,64.51,27.29,36.07,67.48,0.54,0.54,1.5,0.01,2.03,0,-4.2,0,35.19,0.06,1.33,0,36.58,4.4,-88.1,0.21,3.95,High
Dec 2016,Jemez_y_Sangre,MPIM,No Change,High,70.69,30.41,32.46,67.21,0.5,0.54,1.5,0.01,2.23,0,-4.34,0,38.06,0.04,1.33,0,39.42,4.56,-91.75,0.159999999999999,-3.65000000000001,High
Jan 2017,Jemez_y_Sangre,MPIM,No Change,High,102.6,31.57,34.42,70.46,0.51,0.54,1.5,0.01,3.24,0,-4.48,0,67.79,0.05,1.33,0,69.17,4.68,-95.35,0.12,-3.59999999999999,High
Feb 2017,Jemez_y_Sangre,MPIM,No Change,High,107.26,27.6,42.36,74.56,0.5,0.54,1.51,0.01,3.38,0,-4.64,0,76.28,0.08,1.34,0,77.7,4.8,-98.08,0.12,-2.73,High
Mar 2017,Jemez_y_Sangre,MPIM,No Change,High,156.27,37.43,52.99,95.14,0.48,0.54,1.51,0.01,4.93,0,-4.77,0,113.91,0.11,1.34,0,115.36,4.91,-100.82,0.11,-2.73999999999999,High
Apr 2017,Jemez_y_Sangre,MPIM,No Change,High,119.51,38.77,66.88,110.06,0.93,0.54,1.51,0.01,3.77,0,-4.93,0,76.97,0.14,1.36,0,78.47,5,-102.16,0.0899999999999999,-1.34,High
May 2017,Jemez_y_Sangre,MPIM,No Change,High,169.63,30.46,176.56,209.85,5.05,3.09,1.73,0.11,5.35,0,-5.09,0,133.82,0.3,3.14,1.12,138.39,5.52,-104.82,0.52,-2.66,High
Jun 2017,Jemez_y_Sangre,MPIM,No Change,High,70.67,15.38,175.23,184.07,32.61,21.23,2.37,0.28,2.23,0,-5.25,0,53.06,0.43,14.34,3.89,71.72,5.96,-107.3,0.44,-2.48,High
Jul 2017,Jemez_y_Sangre,MPIM,No Change,High,143.97,14.44,53.39,62.49,30.53,20.12,2.31,0.26,4.54,0,-5.3,0,124.99,0.23,13.49,4,142.71,5.09,-116.31,-0.87,-9.01000000000001,High
Aug 2017,Jemez_y_Sangre,MPIM,No Change,High,309.2,54.59,39.28,92.01,19.35,12.34,2,0.16,9.75,0,-5.36,0,244.86,0.22,8.96,3.42,257.47,4.06,-123.11,-1.03,-6.8,High
Sep 2017,Jemez_y_Sangre,MPIM,No Change,High,257.12,51.78,32.32,84.86,13.05,8.34,1.88,0.13,8.11,0,-5.64,0,197.23,0.16,6.46,2.47,206.32,3.94,-123.99,-0.12,-0.879999999999995,High
Oct 2017,Jemez_y_Sangre,MPIM,No Change,High,153.14,36.97,19.19,61.95,0.6,0.55,1.53,0.02,4.83,0,-5.91,0,111.34,0.07,1.36,0.06,112.84,3.94,-125.73,0,-1.74000000000001,High
Nov 2017,Jemez_y_Sangre,MPIM,No Change,High,78.57,25.85,31.46,63.27,0.66,0.55,1.52,0.01,2.48,0,-6.13,0,50.24,0.06,1.35,0,51.64,4.13,-128.38,0.19,-2.64999999999999,High
Dec 2017,Jemez_y_Sangre,MPIM,No Change,High,67.35,30.69,33.11,70.14,0.46,0.55,1.52,0.01,2.12,0,-6.29,0,34.54,0.04,1.34,0,35.92,4.41,-133.53,0.28,-5.15000000000001,High
Jan 2018,Jemez_y_Sangre,MPIM,No Change,High,65.53,19.54,33.1,58.97,0.64,0.55,1.52,0.01,2.07,0,-6.47,0,43.93,0.05,1.34,0,45.32,4.48,-139.2,0.0700000000000003,-5.66999999999999,High
Feb 2018,Jemez_y_Sangre,MPIM,No Change,High,61.33,18.36,36.2,61.08,0.56,0.55,1.52,0.01,1.93,0,-6.59,0,41.03,0.07,1.35,0,42.45,4.73,-145.11,0.25,-5.91000000000003,High
