Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lea,GFDL,High,High,16.15,0,0,0,0,0.44,1.85,0.05,0,0,0.44,0,16.15,0,1.35,0,17.5,0,-5216.22,0,0,Low
Feb 2016,Lea,GFDL,High,High,1.48,0,0,0,0,0.44,1.86,0.06,0,0,0.44,0,1.48,0,1.36,0,2.84,0,-5217.57,0,-1.34999999999945,Low
Mar 2016,Lea,GFDL,High,High,44.47,0,0,0,0,0.44,12.23,3.04,0,0,0.44,0,44.47,0,8.74,0.01,53.22,0,-5218.93,0,-1.36000000000058,Low
Apr 2016,Lea,GFDL,High,High,13.02,0,0,0,0,0.44,17.22,4.48,0,0,0.44,0,13.02,0,12.3,0.02,25.34,0,-5227.68,0,-8.75,Low
May 2016,Lea,GFDL,High,High,87.63,0,0,0,0,0.44,18.6,4.87,0,0,0.44,0,87.63,0,13.28,0.02,100.93,0,-5240,0,-12.3199999999997,Low
Jun 2016,Lea,GFDL,High,High,15.88,0,0,0,0,0.44,23.38,6.25,0,0,0.44,0,15.88,0,16.69,0.03,32.59,0,-5253.3,0,-13.3000000000002,Low
Jul 2016,Lea,GFDL,High,High,738.87,0,0,0,0,0.44,12.39,3.09,0.03,0,0.44,0,738.84,0,8.86,0.02,747.72,0,-5270.01,0,-16.71,Low
Aug 2016,Lea,GFDL,High,High,354.17,0,0,0,0,0.44,16.02,4.13,0.01,0,0.44,0,354.15,0,11.45,0.02,365.62,0,-5278.86,0,-8.84999999999945,Low
Sep 2016,Lea,GFDL,High,High,281,0,0,0,0,0.44,14.72,3.76,0.01,0,0.44,0,280.99,0,10.52,0.02,291.53,0,-5290.32,0,-11.46,Low
Oct 2016,Lea,GFDL,High,High,129.9,0,0,0,0,0.44,12.82,3.21,0.01,0,0.44,0,129.9,0,9.17,0.01,139.08,0,-5300.84,0,-10.5200000000004,Low
Nov 2016,Lea,GFDL,High,High,200.38,0,0,0,0,0.44,2.13,0.14,0.01,0,0.44,0,200.37,0,1.55,0,201.93,0,-5310.02,0,-9.18000000000029,Low
Dec 2016,Lea,GFDL,High,High,17.27,0,0,0,0,0.44,1.84,0.05,0,0,0.44,0,17.27,0,1.35,0,18.62,0,-5311.57,0,-1.54999999999927,Low
Jan 2017,Lea,GFDL,High,High,154.98,0,0,0,0,0.44,1.84,0.05,0.01,0,0.44,0,154.98,0,1.35,0,156.32,0,-5312.91,0,-1.34000000000015,Low
Feb 2017,Lea,GFDL,High,High,100.22,0,0,0,0,0.44,1.84,0.05,0,0,0.44,0,100.22,0,1.35,0,101.56,0,-5314.25,0,-1.34000000000015,Low
Mar 2017,Lea,GFDL,High,High,339.11,0,0,0,0,0.44,1.87,0.06,0.01,0,0.44,0,339.1,0,1.37,0,340.47,0,-5315.6,0,-1.35000000000036,Low
Apr 2017,Lea,GFDL,High,High,103.78,0,0,0,0,0.44,14.73,3.76,0,0,0.44,0,103.77,0,10.53,0.02,114.32,0,-5316.95,0,-1.34999999999945,Low
May 2017,Lea,GFDL,High,High,735.9,0,0,0,0,0.44,9.05,2.13,0.03,0,0.44,0,735.87,0,6.48,0.02,742.37,0,-5327.49,0,-10.54,Low
Jun 2017,Lea,GFDL,High,High,429.68,0,0,0,0,0.44,16.23,4.2,0.02,0,0.44,0,429.66,0,11.6,0.02,441.28,0,-5333.97,0,-6.48000000000047,Low
Jul 2017,Lea,GFDL,High,High,843.41,0,0,0,0,0.44,11.26,2.77,0.03,0,0.44,0,843.37,0,8.06,0.02,851.45,0,-5345.57,0,-11.5999999999995,Low
Aug 2017,Lea,GFDL,High,High,603.42,0,0,0,0,0.44,13.01,3.27,0.02,0,0.44,0,603.39,0,9.3,0.02,612.71,0,-5353.62,0,-8.05000000000018,Low
Sep 2017,Lea,GFDL,High,High,548.48,0,0,0,0,0.44,10.59,2.57,0.02,0,0.44,0,548.46,0,7.58,0.02,556.05,0,-5362.91,0,-9.28999999999996,Low
Oct 2017,Lea,GFDL,High,High,668.4,0,0,0,0,0.44,3,0.39,0.03,0,0.44,0,668.37,0,2.17,0.01,670.55,0,-5370.49,0,-7.57999999999993,Low
Nov 2017,Lea,GFDL,High,High,26.93,0,0,0,0,0.44,1.84,0.05,0,0,0.44,0,26.93,0,1.35,0,28.28,0,-5372.64,0,-2.15000000000055,Low
Dec 2017,Lea,GFDL,High,High,367.5,0,0,0,0,0.44,1.84,0.05,0.02,0,0.44,0,367.49,0,1.34,0,368.83,0,-5373.99,0,-1.34999999999945,Low
Jan 2018,Lea,GFDL,High,High,122.78,0,0,0,0,0.44,1.84,0.05,0.01,0,0.44,0,122.78,0,1.34,0,124.12,0,-5375.32,0,-1.32999999999993,Low
Feb 2018,Lea,GFDL,High,High,195.11,0,0,0,0,0.44,1.84,0.05,0.01,0,0.44,0,195.1,0,1.34,0,196.44,0,-5376.66,0,-1.34000000000015,Low
Mar 2018,Lea,GFDL,High,High,103.96,0,0,0,0,0.44,1.93,0.08,0,0,0.44,0,103.96,0,1.41,0,105.37,0,-5377.99,0,-1.32999999999993,Low
Apr 2018,Lea,GFDL,High,High,139.99,0,0,0,0,0.44,14.17,3.6,0.01,0,0.44,0,139.98,0,10.13,0.02,150.13,0,-5379.4,0,-1.40999999999985,Low
May 2018,Lea,GFDL,High,High,513.08,0,0,0,0,0.44,11.98,2.97,0.02,0,0.44,0,513.06,0,8.57,0.02,521.64,0,-5389.54,0,-10.1400000000003,Low
Jun 2018,Lea,GFDL,High,High,435.72,0,0,0,0,0.44,16.46,4.26,0.02,0,0.44,0,435.7,0,11.76,0.03,447.49,0,-5398.11,0,-8.56999999999971,Low
Jul 2018,Lea,GFDL,High,High,183.42,0,0,0,0,0.44,19.83,5.23,0.01,0,0.44,0,183.41,0,14.16,0.02,197.6,0,-5409.87,0,-11.7600000000002,Low
Aug 2018,Lea,GFDL,High,High,344.25,0,0,0,0,0.44,16.38,4.24,0.01,0,0.44,0,344.24,0,11.7,0.02,355.96,0,-5424.05,0,-14.1800000000003,Low
