Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lea,UKMO,Low,High,77.75,0,0,0,0,0.45,1.85,0.05,0,0,0.45,0,77.75,0,1.35,0,79.1,0,-5204.22,0,0,Low
Feb 2016,Lea,UKMO,Low,High,115.51,0,0,0,0,0.45,1.85,0.05,0,0,0.45,0,115.51,0,1.35,0,116.86,0,-5205.57,0,-1.34999999999945,Low
Mar 2016,Lea,UKMO,Low,High,59.75,0,0,0,0,0.45,4.63,0.85,0,0,0.45,0,59.75,0,3.33,0,63.08,0,-5206.92,0,-1.35000000000036,Low
Apr 2016,Lea,UKMO,Low,High,108.7,0,0,0,0,0.45,14.91,3.81,0,0,0.45,0,108.7,0,10.66,0.02,119.37,0,-5210.25,0,-3.32999999999993,Low
May 2016,Lea,UKMO,Low,High,89.15,0,0,0,0,0.45,19.33,5.08,0,0,0.45,0,89.14,0,13.8,0.02,102.97,0,-5220.92,0,-10.6700000000001,Low
Jun 2016,Lea,UKMO,Low,High,145.7,0,0,0,0,0.45,21.3,5.65,0.01,0,0.45,0,145.69,0,15.2,0.03,160.92,0,-5234.74,0,-13.8199999999997,Low
Jul 2016,Lea,UKMO,Low,High,99.41,0,0,0,0,0.45,22.43,5.97,0,0,0.45,0,99.41,0,16.01,0.03,115.44,0,-5249.97,0,-15.2300000000005,Low
Aug 2016,Lea,UKMO,Low,High,271.03,0,0,0,0,0.45,18.09,4.73,0.01,0,0.45,0,271.02,0,12.92,0.02,283.96,0,-5266,0,-16.0299999999997,Low
Sep 2016,Lea,UKMO,Low,High,1503.2,0,0,0,0,0.45,3.81,0.62,0.06,0,0.45,0,1503.13,0,2.74,0.02,1505.9,0,-5278.93,0,-12.9300000000003,Low
Oct 2016,Lea,UKMO,Low,High,838.99,0,0,0,0,0.45,3.98,0.67,0.03,0,0.45,0,838.95,0,2.87,0.01,841.84,0,-5281.63,0,-2.69999999999982,Low
Nov 2016,Lea,UKMO,Low,High,101.08,0,0,0,0,0.45,1.86,0.06,0,0,0.45,0,101.08,0,1.36,0,102.44,0,-5284.47,0,-2.84000000000015,Low
Dec 2016,Lea,UKMO,Low,High,33.67,0,0,0,0,0.44,1.85,0.05,0,0,0.44,0,33.66,0,1.35,0,35.02,0,-5285.83,0,-1.35999999999967,Low
Jan 2017,Lea,UKMO,Low,High,154.63,0,0,0,0,0.44,1.85,0.05,0.01,0,0.44,0,154.63,0,1.35,0,155.98,0,-5287.18,0,-1.35000000000036,Low
Feb 2017,Lea,UKMO,Low,High,85.11,0,0,0,0,0.44,1.85,0.05,0,0,0.44,0,85.1,0,1.35,0,86.45,0,-5288.53,0,-1.34999999999945,Low
Mar 2017,Lea,UKMO,Low,High,297.51,0,0,0,0,0.44,3.21,0.44,0.01,0,0.44,0,297.5,0,2.32,0,299.82,0,-5289.88,0,-1.35000000000036,Low
Apr 2017,Lea,UKMO,Low,High,541.47,0,0,0,0,0.44,8.56,1.98,0.02,0,0.44,0,541.45,0,6.13,0.02,547.59,0,-5292.19,0,-2.30999999999949,Low
May 2017,Lea,UKMO,Low,High,154.64,0,0,0,0,0.44,17.07,4.43,0.01,0,0.44,0,154.63,0,12.19,0.02,166.85,0,-5298.31,0,-6.1200000000008,Low
Jun 2017,Lea,UKMO,Low,High,255.27,0,0,0,0,0.44,19.22,5.05,0.01,0,0.44,0,255.26,0,13.73,0.03,269.01,0,-5310.52,0,-12.21,Low
Jul 2017,Lea,UKMO,Low,High,82.2,0,0,0,0,0.44,22.67,6.05,0,0,0.44,0,82.19,0,16.18,0.03,98.4,0,-5324.26,0,-13.7399999999998,Low
Aug 2017,Lea,UKMO,Low,High,1055.52,0,0,0,0,0.44,9,2.11,0.04,0,0.44,0,1055.48,0,6.44,0.02,1061.94,0,-5340.47,0,-16.21,Low
Sep 2017,Lea,UKMO,Low,High,174.45,0,0,0,0,0.44,14.73,3.76,0.01,0,0.44,0,174.44,0,10.52,0.02,184.98,0,-5346.89,0,-6.42000000000007,Low
Oct 2017,Lea,UKMO,Low,High,6.26,0,0,0,0,0.44,14.28,3.63,0,0,0.44,0,6.26,0,10.21,0.01,16.47,0,-5357.42,0,-10.5299999999997,Low
Nov 2017,Lea,UKMO,Low,High,320.25,0,0,0,0,0.44,1.85,0.05,0.01,0,0.44,0,320.23,0,1.35,0,321.59,0,-5367.64,0,-10.2200000000003,Low
Dec 2017,Lea,UKMO,Low,High,4.98,0,0,0,0,0.44,1.85,0.05,0,0,0.44,0,4.98,0,1.35,0,6.33,0,-5368.98,0,-1.33999999999924,Low
