Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lea,UKMO,Low,Low,77.75,0,0,0,0,0.66,2.34,0.05,0,0,0.66,0,77.75,0,1.62,0,79.37,0,-5218.23,0,0,No Change
Feb 2016,Lea,UKMO,Low,Low,115.51,0,0,0,0,0.66,2.34,0.05,0,0,0.66,0,115.51,0,1.62,0,117.13,0,-5219.85,0,-1.6200000000008,No Change
Mar 2016,Lea,UKMO,Low,Low,59.75,0,0,0,0,0.66,6.03,1.12,0,0,0.66,0,59.75,0,4.25,0,64.01,0,-5221.46,0,-1.60999999999967,No Change
Apr 2016,Lea,UKMO,Low,Low,108.7,0,0,0,0,0.66,19.75,5.07,0,0,0.66,0,108.7,0,14.02,0.02,122.74,0,-5225.72,0,-4.26000000000022,No Change
May 2016,Lea,UKMO,Low,Low,89.15,0,0,0,0,0.66,25.64,6.76,0,0,0.66,0,89.14,0,18.22,0.02,107.38,0,-5239.75,0,-14.0299999999997,No Change
Jun 2016,Lea,UKMO,Low,Low,145.7,0,0,0,0,0.66,28.26,7.52,0.01,0,0.66,0,145.69,0,20.09,0.03,165.8,0,-5257.99,0,-18.2399999999998,No Change
Jul 2016,Lea,UKMO,Low,Low,99.41,0,0,0,0,0.66,29.77,7.95,0,0,0.66,0,99.41,0,21.16,0.03,120.59,0,-5278.1,0,-20.1100000000006,No Change
Aug 2016,Lea,UKMO,Low,Low,271.03,0,0,0,0,0.66,23.99,6.29,0.01,0,0.66,0,271.02,0,17.04,0.02,288.09,0,-5299.28,0,-21.1799999999994,No Change
Sep 2016,Lea,UKMO,Low,Low,1503.2,0,0,0,0,0.66,4.94,0.8,0.06,0,0.66,0,1503.13,0,3.47,0.02,1506.62,0,-5316.33,0,-17.0500000000002,No Change
Oct 2016,Lea,UKMO,Low,Low,838.99,0,0,0,0,0.66,5.17,0.87,0.03,0,0.66,0,838.95,0,3.64,0.01,842.61,0,-5319.76,0,-3.43000000000029,No Change
Nov 2016,Lea,UKMO,Low,Low,101.08,0,0,0,0,0.66,2.35,0.06,0,0,0.66,0,101.08,0,1.63,0,102.71,0,-5323.38,0,-3.61999999999989,No Change
Dec 2016,Lea,UKMO,Low,Low,33.67,0,0,0,0,0.66,2.33,0.05,0,0,0.66,0,33.66,0,1.62,0,35.28,0,-5325,0,-1.61999999999989,No Change
Jan 2017,Lea,UKMO,Low,Low,154.63,0,0,0,0,0.66,2.33,0.05,0.01,0,0.66,0,154.63,0,1.62,0,156.24,0,-5326.62,0,-1.61999999999989,No Change
Feb 2017,Lea,UKMO,Low,Low,85.11,0,0,0,0,0.66,2.33,0.05,0,0,0.66,0,85.1,0,1.62,0,86.72,0,-5328.23,0,-1.60999999999967,No Change
Mar 2017,Lea,UKMO,Low,Low,297.51,0,0,0,0,0.66,4.14,0.57,0.01,0,0.66,0,297.5,0,2.9,0,300.41,0,-5329.84,0,-1.61000000000058,No Change
Apr 2017,Lea,UKMO,Low,Low,541.47,0,0,0,0,0.66,11.28,2.63,0.02,0,0.66,0,541.45,0,7.99,0.02,549.45,0,-5332.74,0,-2.89999999999964,No Change
May 2017,Lea,UKMO,Low,Low,154.64,0,0,0,0,0.66,22.63,5.89,0.01,0,0.66,0,154.63,0,16.07,0.02,170.72,0,-5340.72,0,-7.98000000000047,No Change
Jun 2017,Lea,UKMO,Low,Low,255.27,0,0,0,0,0.66,25.49,6.72,0.01,0,0.66,0,255.26,0,18.11,0.03,273.4,0,-5356.81,0,-16.0900000000001,No Change
Jul 2017,Lea,UKMO,Low,Low,82.2,0,0,0,0,0.66,30.09,8.04,0,0,0.66,0,82.19,0,21.39,0.03,103.61,0,-5374.94,0,-18.1299999999992,No Change
Aug 2017,Lea,UKMO,Low,Low,1055.52,0,0,0,0,0.66,11.86,2.8,0.04,0,0.66,0,1055.48,0,8.41,0.02,1063.91,0,-5396.35,0,-21.4100000000008,No Change
Sep 2017,Lea,UKMO,Low,Low,174.45,0,0,0,0,0.66,19.5,5,0.01,0,0.66,0,174.44,0,13.85,0.02,188.3,0,-5404.74,0,-8.38999999999942,No Change
Oct 2017,Lea,UKMO,Low,Low,6.26,0,0,0,0,0.66,18.9,4.82,0,0,0.66,0,6.26,0,13.42,0.01,19.69,0,-5418.59,0,-13.8500000000004,No Change
Nov 2017,Lea,UKMO,Low,Low,320.25,0,0,0,0,0.66,2.33,0.05,0.01,0,0.66,0,320.23,0,1.62,0,321.85,0,-5432.02,0,-13.4300000000003,No Change
Dec 2017,Lea,UKMO,Low,Low,4.98,0,0,0,0,0.66,2.33,0.05,0,0,0.66,0,4.98,0,1.61,0,6.59,0,-5433.63,0,-1.60999999999967,No Change
Jan 2018,Lea,UKMO,Low,Low,43.19,0,0,0,0,0.66,2.33,0.05,0,0,0.66,0,43.18,0,1.61,0,44.8,0,-5435.24,0,-1.60999999999967,No Change
Feb 2018,Lea,UKMO,Low,Low,87.1,0,0,0,0,0.66,2.33,0.05,0,0,0.66,0,87.09,0,1.61,0,88.71,0,-5436.85,0,-1.61000000000058,No Change
Mar 2018,Lea,UKMO,Low,Low,86.27,0,0,0,0,0.66,4.86,0.78,0,0,0.66,0,86.26,0,3.42,0,89.69,0,-5438.46,0,-1.60999999999967,No Change
Apr 2018,Lea,UKMO,Low,Low,63.61,0,0,0,0,0.66,20.31,5.23,0,0,0.66,0,63.61,0,14.42,0.02,78.04,0,-5441.89,0,-3.43000000000029,No Change
May 2018,Lea,UKMO,Low,Low,118.23,0,0,0,0,0.66,24.48,6.43,0,0,0.66,0,118.22,0,17.39,0.02,135.64,0,-5456.32,0,-14.4299999999994,No Change
Jun 2018,Lea,UKMO,Low,Low,435.32,0,0,0,0,0.66,22.22,5.78,0.02,0,0.66,0,435.3,0,15.78,0.03,451.11,0,-5473.73,0,-17.4099999999999,No Change
Jul 2018,Lea,UKMO,Low,Low,111.47,0,0,0,0,0.66,29.63,7.91,0,0,0.66,0,111.46,0,21.06,0.03,132.55,0,-5489.52,0,-15.7900000000009,No Change
Aug 2018,Lea,UKMO,Low,Low,366.61,0,0,0,0,0.66,22.18,5.77,0.02,0,0.66,0,366.6,0,15.76,0.02,382.38,0,-5510.6,0,-21.0799999999999,No Change
