Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Pecos_Valley,NCAR,High,High,16.83,0.01,1.31,1.14,1.63,2.07,4.6,0.81,0.2,0,-1.76,0,16.62,2.38,5.91,0.05,24.96,83.06,-9700.03,0,0,No Change
Feb 2016,Lower_Pecos_Valley,NCAR,High,High,683.5,3.14,11.3,1.58,13.6,1.89,11.21,3.21,8.16,0,-1.88,0,672.2,3.03,11.75,5.53,692.5,80.5,-9705.42,-2.56,-5.38999999999942,No Change
Mar 2016,Lower_Pecos_Valley,NCAR,High,High,30.47,2.31,14.19,1.61,17.49,14.11,17.79,4.14,0.36,0,-1.88,0,27.79,13.4,17.25,9.24,67.69,88.46,-9712.66,7.95999999999999,-7.23999999999978,No Change
Apr 2016,Lower_Pecos_Valley,NCAR,High,High,343.54,0.23,9.66,21.92,14.26,28.49,40.03,14.44,4.1,0,-1.75,0,339.21,3.95,40.9,18.21,402.28,88.23,-9737.07,-0.22999999999999,-24.4099999999999,No Change
May 2016,Lower_Pecos_Valley,NCAR,High,High,577.3,2.85,30.22,16.26,21.91,11.03,44.19,15.54,6.89,0,-1.89,0,567.56,7.82,42.87,22.13,640.38,58.68,-9778.52,-29.55,-41.4500000000007,No Change
Jun 2016,Lower_Pecos_Valley,NCAR,High,High,1275.71,6.98,24.64,15.33,28.52,17.38,45.39,16.04,15.23,0,-1.85,0,1253.5,7.01,44.12,24.82,1329.45,55.35,-9824.31,-3.33,-45.7899999999991,No Change
Jul 2016,Lower_Pecos_Valley,NCAR,High,High,2855.54,24.08,22.61,27.44,21.82,5.55,34.88,12.16,34.08,0,-1.86,0,2797.37,4.85,34.91,22.95,2860.08,51.73,-9865.11,-3.62,-40.8000000000011,No Change
Aug 2016,Lower_Pecos_Valley,NCAR,High,High,2724.53,20.75,27.55,22.42,26.92,5.03,32.07,11.11,32.52,0,-1.83,0,2671.26,5.82,31.65,20.79,2729.53,55.81,-9878.56,4.08000000000001,-13.4499999999989,No Change
Sep 2016,Lower_Pecos_Valley,NCAR,High,High,4047.48,33.17,27.33,34.57,26.02,4.29,17.55,5.56,48.31,0,-1.87,0,3966,6.06,18.74,17.07,4007.86,67.01,-9889.63,11.2,-11.0699999999997,No Change
Oct 2016,Lower_Pecos_Valley,NCAR,High,High,60.1,0.06,2.15,32.05,14.23,46.18,38.44,13.41,0.72,0,-1.7,0,59.33,3.8,36.73,12.98,112.83,82.01,-9872.25,15,17.3799999999992,No Change
Nov 2016,Lower_Pecos_Valley,NCAR,High,High,157.23,0.13,1.89,12.94,4.09,14.42,9.45,2.68,1.88,0,-1.81,0,155.23,1.22,9.69,2.65,168.78,38.37,-9911.24,-43.64,-38.9899999999998,No Change
Dec 2016,Lower_Pecos_Valley,NCAR,High,High,21.6,0.01,0.93,1.95,1.36,2.57,4.54,0.67,0.26,0,-1.73,0,21.33,1.93,4.42,0,27.67,25.11,-9920.58,-13.26,-9.34000000000015,No Change
Jan 2017,Lower_Pecos_Valley,NCAR,High,High,361.16,0.95,3.32,0.94,5.74,0.94,4.54,0.78,4.31,0,-1.83,0,355.89,0.36,4.34,0,360.6,23.36,-9925.93,-1.75,-5.35000000000036,No Change
Feb 2017,Lower_Pecos_Valley,NCAR,High,High,242.86,0.11,4.48,0.66,5.49,0.94,4.55,0.75,2.9,0,-1.82,0,239.85,1.2,4.58,0,245.64,27.58,-9927.21,4.22,-1.27999999999884,No Change
Mar 2017,Lower_Pecos_Valley,NCAR,High,High,75.84,1.5,6.82,0.95,7.29,4.54,14.13,2.74,0.91,0,-1.83,0,73.43,6.44,11.84,6.01,97.73,31.35,-9929.94,3.77,-2.73000000000138,No Change
Apr 2017,Lower_Pecos_Valley,NCAR,High,High,51.19,0.03,2.41,3.17,14.99,16.73,42.25,15.16,0.61,0,-1.69,0,50.55,2.7,39.16,17.9,110.31,33.65,-9948.26,2.3,-18.3199999999997,No Change
May 2017,Lower_Pecos_Valley,NCAR,High,High,914.13,8.39,15.44,5.01,23.69,7.05,42.22,14.86,10.91,0,-1.81,0,894.83,4,38.75,22.13,959.71,19.85,-9994.33,-13.8,-46.0699999999997,No Change
Jun 2017,Lower_Pecos_Valley,NCAR,High,High,2103.37,19.06,21.54,9.43,32.82,5.95,37.28,13,25.11,0,-1.83,0,2059.21,6.13,35.11,24.23,2124.67,25.09,-10034.72,5.24,-40.3899999999994,No Change
Jul 2017,Lower_Pecos_Valley,NCAR,High,High,2168.6,15.91,15.15,14.94,23.11,8.43,41.14,14.53,25.89,0,-1.82,0,2126.81,3.25,39.88,23.89,2193.82,41.13,-10059.94,16.04,-25.2200000000012,No Change
Aug 2017,Lower_Pecos_Valley,NCAR,High,High,1671.02,11.66,18.67,14.21,21.09,7.08,41.24,14.55,19.95,0,-1.84,0,1639.42,3.94,38.97,21,1703.32,42.54,-10086.37,1.41,-26.4300000000003,No Change
Sep 2017,Lower_Pecos_Valley,NCAR,High,High,245.1,0.15,10.18,7.03,17.62,17.27,45.96,16.18,2.93,0,-1.69,0,242.02,4.64,42.34,17.91,306.91,44.28,-10115.95,1.74,-29.5799999999999,No Change
Oct 2017,Lower_Pecos_Valley,NCAR,High,High,3264.95,30.28,17.9,27.38,21.79,2.02,11.99,3.51,38.97,0,-1.84,0,3195.69,2.87,11.82,12.31,3222.69,32.07,-10162.41,-12.21,-46.4599999999991,No Change
Nov 2017,Lower_Pecos_Valley,NCAR,High,High,157.93,0.13,1.22,16.21,1.31,15.42,5.3,1,1.89,0,-1.82,0,155.92,1.07,5.78,0.51,163.28,48.51,-10146.06,16.44,16.3500000000004,No Change
Dec 2017,Lower_Pecos_Valley,NCAR,High,High,1443.86,13.36,5.35,9.41,11.52,0.94,4.56,0.67,17.23,0,-1.84,0,1413.27,0.56,4.44,0,1418.27,32.92,-10150.81,-15.59,-4.75,No Change
