Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Rio_Grande,GFDL,High,High,75.15,1.12,8.56,8.91,0.01,1.51,4.28,0,0.58,0,0.58,0,73.46,1.68,2.78,0,77.92,0,-684.15,0,0,High
Feb 2016,Lower_Rio_Grande,GFDL,High,High,0.78,0.01,27.61,21.6,0.57,1.85,4.55,0.09,0.01,0,1.87,0,0.76,5.42,3.18,0,9.37,0,-687.26,0,-3.11000000000001,High
Mar 2016,Lower_Rio_Grande,GFDL,High,High,34.74,0.52,108.64,70.22,29.79,19.57,18.44,4.52,0.27,0,7.38,0,33.96,21.35,24.14,0.1,79.54,0,-689.84,0,-2.58000000000004,High
Apr 2016,Lower_Rio_Grande,GFDL,High,High,2.69,0.04,88.21,48.72,45.02,28.81,25.68,6.83,0.02,0,5.99,0,2.63,17.33,35.06,0.17,55.19,0,-696.22,0,-6.38,High
May 2016,Lower_Rio_Grande,GFDL,High,High,9.08,0.14,99.47,55.32,49.56,31.56,27.84,7.52,0.07,0,6.75,0,8.87,19.54,38.32,0.19,66.92,0,-709.23,0,-13.01,High
Jun 2016,Lower_Rio_Grande,GFDL,High,High,11.44,0.17,127.76,71.97,60.22,38.03,32.91,9.13,0.09,0,8.67,0,11.19,25.1,45.97,0.23,82.49,0,-722.92,0,-13.6899999999999,High
Jul 2016,Lower_Rio_Grande,GFDL,High,High,566.46,8.44,144.15,103.26,32.35,21.13,19.67,4.91,4.33,0,9.79,0,553.69,28.32,25.98,0.21,608.2,0,-738.17,0,-15.25,High
Aug 2016,Lower_Rio_Grande,GFDL,High,High,468.04,6.97,115.11,80.04,33.34,21.74,20.15,5.06,3.58,0,7.82,0,457.48,22.62,26.7,0.19,506.99,0,-739.02,0,-0.850000000000023,High
Sep 2016,Lower_Rio_Grande,GFDL,High,High,493.11,7.35,74.15,53.91,24.13,16.15,15.77,3.66,3.77,0,5.03,0,481.99,14.57,20.09,0.16,516.81,0,-742.9,0,-3.88,High
Oct 2016,Lower_Rio_Grande,GFDL,High,High,137.47,2.05,17.17,12.5,14.68,12.5,19,2.75,1.05,0,1.17,0,134.37,3.37,18.43,0.11,156.29,0,-746.36,0,-3.46000000000004,High
Nov 2016,Lower_Rio_Grande,GFDL,High,High,274.29,4.09,4.51,8.88,0.11,1.59,4.37,0.02,2.1,0,0.31,0,268.11,0.89,2.88,0,271.87,0,-760.5,0,-14.14,High
Dec 2016,Lower_Rio_Grande,GFDL,High,High,31.79,0.47,0.07,2.04,0.01,1.53,4.33,0,0.24,0,0,0,31.08,0.01,2.8,0,33.9,0,-762.45,0,-1.95000000000005,High
Jan 2017,Lower_Rio_Grande,GFDL,High,High,161.62,2.41,9.64,11.02,0.01,1.53,4.33,0,1.24,0,0.65,0,157.98,1.89,2.81,0,162.68,0,-766.53,0,-4.07999999999993,High
Feb 2017,Lower_Rio_Grande,GFDL,High,High,69.46,1.03,28.42,23.47,0.01,1.53,4.34,0,0.53,0,1.93,0,67.89,5.58,2.81,0,76.29,0,-768.96,0,-2.43000000000006,High
Mar 2017,Lower_Rio_Grande,GFDL,High,High,118.15,1.76,109.51,83.24,1.52,2.45,5.06,0.23,0.9,0,7.44,0,115.48,21.51,3.9,0.01,140.9,0,-770.83,0,-1.87,High
Apr 2017,Lower_Rio_Grande,GFDL,High,High,37.11,0.55,87.84,51.76,37.95,24.55,22.38,5.76,0.28,0,5.96,0,36.27,17.26,30.02,0.14,83.69,0,-767.33,0,3.5,High
May 2017,Lower_Rio_Grande,GFDL,High,High,44.67,0.67,99.26,56.5,47.56,30.38,26.95,7.21,0.34,0,6.74,0,43.66,19.5,36.91,0.19,100.26,0,-777.84,0,-10.51,High
Jun 2017,Lower_Rio_Grande,GFDL,High,High,118.01,1.76,128.15,76.76,52.87,33.6,29.48,8.02,0.9,0,8.7,0,115.35,25.18,40.73,0.22,181.48,0,-790.68,0,-12.8399999999999,High
