Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Rio_Grande,GFDL,Low,No Change,75.15,1.12,8.56,9.19,0.01,1.78,4.92,0,0.58,0,0.58,0,73.46,1.68,3.14,0,78.28,0,-714.38,0,0,High
Feb 2016,Lower_Rio_Grande,GFDL,Low,No Change,0.78,0.01,27.61,21.87,0.57,2.12,5.19,0.09,0.01,0,1.87,0,0.76,5.42,3.55,0,9.73,0,-718.14,0,-3.75999999999999,High
Mar 2016,Lower_Rio_Grande,GFDL,Low,No Change,34.74,0.52,108.64,70.49,29.79,19.85,19.08,4.52,0.27,0,7.38,0,33.96,21.34,24.5,0.1,79.9,0,-721.35,0,-3.21000000000004,High
Apr 2016,Lower_Rio_Grande,GFDL,Low,No Change,2.69,0.04,88.2,48.99,45.02,29.08,26.32,6.83,0.02,0,5.99,0,2.63,17.33,35.42,0.17,55.55,0,-728.37,0,-7.01999999999998,High
May 2016,Lower_Rio_Grande,GFDL,Low,No Change,9.08,0.14,99.48,55.6,49.56,31.84,28.48,7.52,0.07,0,6.75,0,8.87,19.54,38.68,0.19,67.28,0,-742.02,0,-13.65,High
Jun 2016,Lower_Rio_Grande,GFDL,Low,No Change,11.44,0.17,127.75,72.23,60.22,38.31,33.55,9.13,0.09,0,8.67,0,11.19,25.1,46.33,0.23,82.85,0,-756.34,0,-14.3200000000001,High
Jul 2016,Lower_Rio_Grande,GFDL,Low,No Change,566.46,8.44,144.12,103.51,32.35,21.41,20.31,4.91,4.33,0,9.79,0,553.69,28.32,26.34,0.21,608.56,0,-772.23,0,-15.89,High
Aug 2016,Lower_Rio_Grande,GFDL,Low,No Change,468.04,6.97,115.08,80.3,33.34,22.01,20.78,5.06,3.58,0,7.81,0,457.48,22.61,27.06,0.19,507.34,0,-773.71,0,-1.48000000000002,High
Sep 2016,Lower_Rio_Grande,GFDL,Low,No Change,493.11,7.35,74.11,54.16,24.13,16.42,16.41,3.66,3.77,0,5.03,0,481.99,14.56,20.45,0.16,517.16,0,-778.23,0,-4.51999999999998,High
Oct 2016,Lower_Rio_Grande,GFDL,Low,No Change,137.47,2.05,17.15,12.76,14.66,12.76,19.63,2.75,1.05,0,1.16,0,134.37,3.37,18.79,0.11,156.64,0,-782.33,0,-4.10000000000002,High
Nov 2016,Lower_Rio_Grande,GFDL,Low,No Change,274.29,4.09,4.48,9.13,0.11,1.86,5,0.02,2.1,0,0.3,0,268.11,0.88,3.24,0,272.23,0,-797.11,0,-14.78,High
Dec 2016,Lower_Rio_Grande,GFDL,Low,No Change,31.79,0.47,0.08,2.32,0.01,1.8,4.96,0,0.24,0,0.01,0,31.08,0.02,3.16,0,34.26,0,-799.69,0,-2.58000000000004,High
Jan 2017,Lower_Rio_Grande,GFDL,Low,No Change,161.62,2.41,9.63,11.28,0.01,1.8,4.96,0,1.24,0,0.65,0,157.98,1.89,3.17,0,163.03,0,-804.39,0,-4.69999999999993,High
Feb 2017,Lower_Rio_Grande,GFDL,Low,No Change,69.46,1.03,28.42,23.73,0.01,1.8,4.96,0,0.53,0,1.93,0,67.89,5.58,3.17,0,76.64,0,-807.46,0,-3.07000000000005,High
Mar 2017,Lower_Rio_Grande,GFDL,Low,No Change,118.15,1.76,109.49,83.51,1.52,2.72,5.69,0.23,0.9,0,7.43,0,115.48,21.51,4.26,0.01,141.26,0,-809.96,0,-2.5,High
Apr 2017,Lower_Rio_Grande,GFDL,Low,No Change,37.11,0.55,87.83,52.03,37.95,24.82,23,5.76,0.28,0,5.96,0,36.27,17.26,30.38,0.14,84.05,0,-807.08,0,2.88,High
