Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Rio_Grande,MPIM,High,No Change,155.94,2.32,9.51,11.16,0.01,1.85,5.07,0,1.19,0,0.65,0,152.42,1.87,3.23,0,157.52,0,-713.28,0,0,Low
Feb 2016,Lower_Rio_Grande,MPIM,High,No Change,150.44,2.24,29.47,25.76,0.01,1.85,5.08,0,1.15,0,2,0,147.05,5.79,3.23,0,156.07,0,-716.51,0,-3.23000000000002,Low
Mar 2016,Lower_Rio_Grande,MPIM,High,No Change,6.91,0.1,108.45,80.43,3.3,3.85,6.65,0.5,0.05,0,7.36,0,6.76,21.31,5.6,0.02,33.68,0,-718.43,0,-1.91999999999996,Low
Apr 2016,Lower_Rio_Grande,MPIM,High,No Change,6.85,0.1,89.06,57.97,24.13,16.48,16.55,3.66,0.05,0,6.05,0,6.69,17.5,20.53,0.15,44.87,0,-717.18,0,1.25,Low
May 2016,Lower_Rio_Grande,MPIM,High,No Change,203.93,3.04,103.76,72.36,22.52,15.51,15.79,3.42,1.56,0,7.05,0,199.34,20.39,19.39,0.18,239.28,0,-724.11,0,-6.93000000000006,Low
Jun 2016,Lower_Rio_Grande,MPIM,High,No Change,165.51,2.47,130.51,88.73,29.49,19.74,19.11,4.47,1.27,0,8.86,0,161.78,25.64,24.38,0.22,212.02,0,-728.06,0,-3.94999999999993,Low
Jul 2016,Lower_Rio_Grande,MPIM,High,No Change,261.2,3.89,138.61,96.29,29.03,19.46,18.9,4.41,2,0,9.41,0,255.31,27.23,24.06,0.22,306.82,0,-732.78,0,-4.72000000000003,Low
Aug 2016,Lower_Rio_Grande,MPIM,High,No Change,117.8,1.75,108.64,71.66,30.18,20.16,19.45,4.58,0.9,0,7.38,0,115.15,21.35,24.88,0.19,161.57,0,-736.08,0,-3.30000000000007,Low
Sep 2016,Lower_Rio_Grande,MPIM,High,No Change,229.13,3.41,67.6,46.17,22.43,15.47,15.77,3.4,1.75,0,4.59,0,223.97,13.28,19.33,0.16,256.74,0,-742.86,0,-6.77999999999997,Low
Oct 2016,Lower_Rio_Grande,MPIM,High,No Change,352.12,5.25,21.5,18.41,11.49,8.83,10.58,1.75,2.69,0,1.46,0,344.18,4.22,11.49,0.11,360,0,-749.05,0,-6.18999999999994,Low
Nov 2016,Lower_Rio_Grande,MPIM,High,No Change,15.25,0.23,0.09,2.15,0.01,1.87,5.13,0,0.12,0,0.01,0,14.9,0.02,3.26,0,18.18,0,-753.83,0,-4.78000000000009,Low
Dec 2016,Lower_Rio_Grande,MPIM,High,No Change,107.65,1.6,1.47,4.55,0.01,1.87,5.14,0,0.82,0,0.1,0,105.22,0.29,3.26,0,108.78,0,-758.83,0,-5,Low
Jan 2017,Lower_Rio_Grande,MPIM,High,No Change,135.56,2.02,9.08,10.57,0.01,1.88,5.14,0,1.04,0,0.62,0,132.5,1.78,3.27,0,137.56,0,-763.04,0,-4.20999999999992,Low
Feb 2017,Lower_Rio_Grande,MPIM,High,No Change,58.06,0.86,28.26,23.37,0.41,2.13,5.34,0.07,0.44,0,1.92,0,56.75,5.55,3.56,0,65.86,0,-766.52,0,-3.48000000000002,Low
Mar 2017,Lower_Rio_Grande,MPIM,High,No Change,40.92,0.61,108.83,75.63,17.58,12.54,13.5,2.67,0.31,0,7.39,0,40,21.38,15.87,0.1,77.35,0,-769.43,0,-2.90999999999997,Low
Apr 2017,Lower_Rio_Grande,MPIM,High,No Change,38.23,0.57,88.97,58.92,22.81,15.71,15.99,3.46,0.29,0,6.04,0,37.37,17.48,19.63,0.14,74.62,0,-772.66,0,-3.23000000000002,Low
May 2017,Lower_Rio_Grande,MPIM,High,No Change,50.27,0.75,100.16,64.85,29.14,19.55,19.01,4.42,0.38,0,6.8,0,49.14,19.68,24.17,0.19,93.18,0,-779,0,-6.34000000000003,Low
Jun 2017,Lower_Rio_Grande,MPIM,High,No Change,14.23,0.21,126.79,80.79,37.06,24.36,22.78,5.62,0.11,0,8.61,0,13.91,24.91,29.85,0.24,68.92,0,-786.6,0,-7.60000000000002,Low
Jul 2017,Lower_Rio_Grande,MPIM,High,No Change,137.43,2.05,136.4,90.89,33.99,22.5,21.33,5.16,1.05,0,9.26,0,134.34,26.8,27.66,0.23,189.02,0,-795.28,0,-8.67999999999995,Low
Aug 2017,Lower_Rio_Grande,MPIM,High,No Change,266.37,3.97,111.68,77.52,26.66,18.06,17.85,4.05,2.04,0,7.58,0,260.37,21.94,22.4,0.2,304.91,0,-801.36,0,-6.08000000000004,Low
Sep 2017,Lower_Rio_Grande,MPIM,High,No Change,259.83,3.87,62.16,42.85,21.95,15.2,15.61,3.33,1.99,0,4.22,0,253.97,12.21,19.03,0.16,285.37,0,-805.74,0,-4.38,Low
Oct 2017,Lower_Rio_Grande,MPIM,High,No Change,291.78,4.35,19.57,15.38,13.35,9.99,11.53,2.03,2.23,0,1.33,0,285.2,3.84,12.86,0.11,302.02,0,-811.97,0,-6.23000000000002,Low
Nov 2017,Lower_Rio_Grande,MPIM,High,No Change,137.28,2.04,1.92,4.61,1.9,3.05,6.1,0.29,1.05,0,0.13,0,134.19,0.38,4.66,0.01,139.24,0,-818.03,0,-6.05999999999995,Low
Dec 2017,Lower_Rio_Grande,MPIM,High,No Change,141.03,2.1,1.79,5.31,0.01,1.9,5.2,0,1.08,0,0.12,0,137.85,0.35,3.3,0,141.5,0,-822.66,0,-4.63,Low
Jan 2018,Lower_Rio_Grande,MPIM,High,No Change,50.37,0.75,7.69,8.31,0.01,1.91,5.21,0,0.39,0,0.52,0,49.23,1.51,3.31,0,54.05,0,-826.66,0,-4,Low
Feb 2018,Lower_Rio_Grande,MPIM,High,No Change,32.2,0.48,28.01,22.88,0.27,2.07,5.34,0.04,0.25,0,1.9,0,31.47,5.5,3.5,0,40.48,0,-830.96,0,-4.30000000000007,Low
Mar 2018,Lower_Rio_Grande,MPIM,High,No Change,51.53,0.77,109.32,75.89,18.29,13,13.91,2.78,0.39,0,7.42,0,50.37,21.48,16.42,0.11,88.37,0,-834.11,0,-3.14999999999998,Low
Apr 2018,Lower_Rio_Grande,MPIM,High,No Change,1.46,0.02,88.22,57.01,24.96,17.05,17.09,3.79,0.01,0,5.99,0,1.43,17.33,21.21,0.15,40.12,0,-837.53,0,-3.41999999999996,Low
May 2018,Lower_Rio_Grande,MPIM,High,No Change,3.76,0.06,100.46,63.29,31.96,21.3,20.42,4.85,0.03,0,6.82,0,3.67,19.74,26.23,0.21,49.85,0,-844.98,0,-7.45000000000005,Low
