Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Rio_Grande,NCAR,High,Low,2.12,0.03,7.29,7.57,0.02,2.2,5.87,0.01,0.02,0,0.49,0,2.07,1.43,3.69,0,7.2,0,-743.18,0,0,Low
Feb 2016,Lower_Rio_Grande,NCAR,High,Low,88.06,1.31,28.88,19.58,13.14,10.16,12.11,2,0.67,0,1.96,0,86.08,5.67,13.1,0.07,104.93,0,-748.54,0,-5.36000000000001,Low
Mar 2016,Lower_Rio_Grande,NCAR,High,Low,5.76,0.09,108.84,74.41,20.16,14.42,15.46,3.06,0.04,0,7.39,0,5.63,21.38,18.14,0.11,45.26,0,-756.09,0,-7.55000000000007,Low
Apr 2016,Lower_Rio_Grande,NCAR,High,Low,7.12,0.11,88.7,57.35,25.91,17.91,18.2,3.93,0.05,0,6.02,0,6.96,17.43,22.27,0.16,46.81,0,-761.17,0,-5.07999999999993,Low
May 2016,Lower_Rio_Grande,NCAR,High,Low,2.7,0.04,101.19,64.22,31.63,21.38,20.92,4.8,0.02,0,6.87,0,2.64,19.88,26.37,0.2,49.1,0,-769.52,0,-8.35000000000002,Low
Jun 2016,Lower_Rio_Grande,NCAR,High,Low,93.61,1.39,129.88,85.72,34.1,22.88,22.1,5.17,0.72,0,8.82,0,91.5,25.52,28.15,0.24,145.4,0,-778.96,0,-9.44000000000005,Low
Jul 2016,Lower_Rio_Grande,NCAR,High,Low,504.38,7.51,92.12,69.03,21.46,15.22,16.1,3.26,3.86,0,6.25,0,493,18.1,19.09,0.21,530.4,0,-786.59,0,-7.63,Low
Aug 2016,Lower_Rio_Grande,NCAR,High,Low,343.45,5.12,80.39,57.14,23.69,16.57,17.17,3.6,2.63,0,5.46,0,335.71,15.79,20.69,0.19,372.38,0,-789.53,0,-2.93999999999994,Low
Sep 2016,Lower_Rio_Grande,NCAR,High,Low,782.07,11.65,63.67,57.84,7.26,6.61,9.37,1.1,5.98,0,4.32,0,764.43,12.51,8.91,0.15,786.01,0,-795.21,0,-5.68000000000006,Low
Oct 2016,Lower_Rio_Grande,NCAR,High,Low,19.13,0.28,15.53,10.72,11.71,10.72,16.71,2.13,0.15,0,1.05,0,18.7,3.05,15.57,0.12,37.43,0,-793.32,0,1.88999999999999,Low
