Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Rio_Grande,NCAR,Low,Low,2.12,0.03,7.29,7.49,0.02,2.12,5.69,0.01,0.02,0,0.49,0,2.07,1.43,3.59,0,7.09,0,-743.18,0,0,Low
Feb 2016,Lower_Rio_Grande,NCAR,Low,Low,88.06,1.31,28.88,19.5,13.14,10.08,11.93,2,0.67,0,1.96,0,86.08,5.67,12.99,0.07,104.82,0,-748.35,0,-5.17000000000007,Low
Mar 2016,Lower_Rio_Grande,NCAR,Low,Low,5.76,0.09,108.84,74.33,20.16,14.33,15.26,3.06,0.04,0,7.39,0,5.63,21.38,18.03,0.11,45.15,0,-755.72,0,-7.37,Low
Apr 2016,Lower_Rio_Grande,NCAR,Low,Low,7.12,0.11,88.69,57.27,25.91,17.83,18,3.93,0.05,0,6.02,0,6.96,17.43,22.16,0.16,46.7,0,-760.6,0,-4.88,Low
May 2016,Lower_Rio_Grande,NCAR,Low,Low,2.7,0.04,101.18,64.14,31.63,21.3,20.73,4.8,0.02,0,6.87,0,2.64,19.88,26.26,0.2,48.99,0,-768.76,0,-8.15999999999997,Low
Jun 2016,Lower_Rio_Grande,NCAR,Low,Low,93.61,1.39,129.88,85.63,34.1,22.79,21.9,5.17,0.72,0,8.82,0,91.5,25.52,28.03,0.24,145.28,0,-778,0,-9.24000000000001,Low
Jul 2016,Lower_Rio_Grande,NCAR,Low,Low,504.38,7.51,91.42,68.44,21.46,15.13,15.9,3.26,3.86,0,6.21,0,493,17.96,18.97,0.21,530.15,0,-785.43,0,-7.42999999999995,Low
Aug 2016,Lower_Rio_Grande,NCAR,Low,Low,343.45,5.12,80.13,56.86,23.69,16.49,16.96,3.6,2.63,0,5.44,0,335.71,15.74,20.57,0.19,372.22,0,-788.22,0,-2.79000000000008,Low
Sep 2016,Lower_Rio_Grande,NCAR,Low,Low,782.07,11.65,63.67,57.75,7.26,6.52,9.16,1.1,5.98,0,4.32,0,764.43,12.51,8.79,0.15,785.89,0,-793.71,0,-5.49000000000001,Low
Oct 2016,Lower_Rio_Grande,NCAR,Low,Low,19.13,0.28,15.51,10.62,11.7,10.62,16.5,2.13,0.15,0,1.05,0,18.7,3.05,15.44,0.12,37.31,0,-791.61,0,2.10000000000002,Low
Nov 2016,Lower_Rio_Grande,NCAR,Low,Low,15.44,0.23,0.1,2.74,0.3,2.74,7.47,0.16,0.12,0,0.01,0,15.09,0.02,4.87,0.02,20,0,-804.9,0,-13.29,Low
Dec 2016,Lower_Rio_Grande,NCAR,Low,Low,8.06,0.12,0.1,2.31,0.01,2.13,5.73,0,0.06,0,0.01,0,7.88,0.02,3.6,0,11.5,0,-812.11,0,-7.21000000000004,Low
Jan 2017,Lower_Rio_Grande,NCAR,Low,Low,71.43,1.06,8.38,9.36,0.01,2.13,5.73,0,0.55,0,0.57,0,69.82,1.65,3.61,0,75.07,0,-817.77,0,-5.65999999999997,Low
Feb 2017,Lower_Rio_Grande,NCAR,Low,Low,46.85,0.7,28.38,23.7,0.01,2.13,5.74,0,0.36,0,1.93,0,45.8,5.57,3.61,0,54.98,0,-822.38,0,-4.61000000000001,Low
Mar 2017,Lower_Rio_Grande,NCAR,Low,Low,19.67,0.29,108.98,79.86,6.95,6.35,9.04,1.06,0.15,0,7.4,0,19.23,21.41,8.59,0.04,49.27,0,-825.83,0,-3.45000000000005,Low
Apr 2017,Lower_Rio_Grande,NCAR,Low,Low,0.77,0.01,84.46,54.14,25.75,17.75,17.98,3.91,0.01,0,5.73,0,0.75,16.59,22.07,0.16,39.57,0,-826.3,0,-0.469999999999914,Low
May 2017,Lower_Rio_Grande,NCAR,Low,Low,50.22,0.75,14.99,11.6,11.77,11.6,19.96,2.37,0.38,0,1.02,0,49.09,2.94,17.77,0.2,70,0,-834.79,0,-8.49000000000001,Low
Jun 2017,Lower_Rio_Grande,NCAR,Low,Low,25.18,0.38,21.11,14.34,15.91,14.34,22.81,3.06,0.19,0,1.43,0,24.61,4.15,21.32,0.24,50.31,0,-851.19,0,-16.4000000000001,Low
Jul 2017,Lower_Rio_Grande,NCAR,Low,Low,299.49,4.46,31.15,18.86,27.37,18.86,19.22,4.18,2.29,0,2.11,0,292.73,6.12,23.54,0.22,322.62,0,-869.55,0,-18.3599999999999,Low
Aug 2017,Lower_Rio_Grande,NCAR,Low,Low,302.77,4.51,42.57,28.24,24.72,17.13,17.51,3.75,2.32,0,2.89,0,295.95,8.36,21.34,0.19,325.84,0,-880.4,0,-10.85,Low
Sep 2017,Lower_Rio_Grande,NCAR,Low,Low,25.68,0.38,38.96,19.77,28.99,19.73,19.54,4.4,0.2,0,2.65,0,25.1,7.65,24.41,0.16,57.33,0,-889.14,0,-8.74000000000001,Low
Oct 2017,Lower_Rio_Grande,NCAR,Low,Low,616.13,9.18,26.88,29.17,4.88,5.11,8.09,0.74,4.71,0,1.82,0,602.24,5.28,7.12,0.11,614.75,0,-901.6,0,-12.46,Low
Nov 2017,Lower_Rio_Grande,NCAR,Low,Low,29.83,0.44,0.16,2.49,0.56,2.49,6.05,0.09,0.23,0,0.01,0,29.15,0.03,4.03,0,33.22,0,-902.52,0,-0.919999999999959,Low
Dec 2017,Lower_Rio_Grande,NCAR,Low,Low,220.65,3.29,2.99,7.63,0.01,2.15,5.78,0,1.69,0,0.2,0,215.68,0.59,3.63,0,219.9,0,-908.24,0,-5.72000000000003,Low
Jan 2018,Lower_Rio_Grande,NCAR,Low,Low,223.85,3.33,10.26,13.03,0.01,2.16,5.79,0,1.71,0,0.7,0,218.81,2.02,3.64,0,224.46,0,-912.13,0,-3.88999999999999,Low
Feb 2018,Lower_Rio_Grande,NCAR,Low,Low,97.95,1.46,28.97,24.92,0.01,2.16,5.79,0,0.75,0,1.97,0,95.74,5.69,3.64,0,105.07,0,-915.5,0,-3.37,Low
Mar 2018,Lower_Rio_Grande,NCAR,Low,Low,137.44,2.05,109.57,84.77,0.09,2.21,5.84,0.02,1.05,0,7.44,0,134.34,21.53,3.7,0,159.57,0,-918.57,0,-3.07000000000005,Low
Apr 2018,Lower_Rio_Grande,NCAR,Low,Low,67.11,1,89.62,60.11,22.81,15.99,16.63,3.46,0.51,0,6.09,0,65.6,17.61,19.99,0.15,103.35,0,-915.9,0,2.67000000000007,Low
May 2018,Lower_Rio_Grande,NCAR,Low,Low,173.56,2.59,102.4,69.57,26.68,18.34,18.48,4.05,1.33,0,6.95,0,169.65,20.12,22.77,0.21,212.75,0,-922.62,0,-6.72000000000003,Low
Jun 2018,Lower_Rio_Grande,NCAR,Low,Low,141.73,2.11,128.85,86.51,31.89,21.5,20.96,4.84,1.08,0,8.75,0,138.53,25.31,26.51,0.23,190.59,0,-928.98,0,-6.36000000000001,Low
Jul 2018,Lower_Rio_Grande,NCAR,Low,Low,273.44,4.07,138.26,96.39,29.36,19.97,19.76,4.46,2.09,0,9.39,0,267.27,27.16,24.7,0.22,319.36,0,-935.5,0,-6.51999999999998,Low
Aug 2018,Lower_Rio_Grande,NCAR,Low,Low,260.23,3.88,110.15,76.61,26.58,18.28,18.44,4.03,1.99,0,7.48,0,254.37,21.64,22.71,0.2,298.91,0,-939.55,0,-4.04999999999995,Low
Sep 2018,Lower_Rio_Grande,NCAR,Low,Low,252.56,3.76,69.89,48.61,22.18,15.62,16.36,3.37,1.93,0,4.75,0,246.87,13.73,19.55,0.16,280.32,0,-944.69,0,-5.1400000000001,Low
Oct 2018,Lower_Rio_Grande,NCAR,Low,Low,428.02,6.38,22.4,20.89,10.51,8.54,10.82,1.6,3.28,0,1.52,0,418.37,4.4,11.19,0.12,434.08,0,-951.16,0,-6.46999999999991,Low
Nov 2018,Lower_Rio_Grande,NCAR,Low,Low,152.01,2.26,2.08,5.8,0.41,2.42,6.02,0.07,1.16,0,0.14,0,148.58,0.41,3.95,0,152.95,0,-955.7,0,-4.54000000000008,Low
Dec 2018,Lower_Rio_Grande,NCAR,Low,Low,9.62,0.14,0.1,2.38,0.01,2.18,5.84,0,0.07,0,0.01,0,9.4,0.02,3.66,0,13.08,0,-960.36,0,-4.65999999999997,Low
Jan 2019,Lower_Rio_Grande,NCAR,Low,Low,102.3,1.52,8.39,9.86,0.01,2.18,5.84,0,0.78,0,0.57,0,99.99,1.65,3.67,0,105.3,0,-966.11,0,-5.75,Low
Feb 2019,Lower_Rio_Grande,NCAR,Low,Low,75.5,1.12,28.7,24.41,0.01,2.18,5.84,0,0.58,0,1.95,0,73.8,5.64,3.67,0,83.11,0,-970.59,0,-4.48000000000002,Low
Mar 2019,Lower_Rio_Grande,NCAR,Low,Low,52.29,0.78,109.06,82.44,1.9,3.33,6.75,0.29,0.4,0,7.41,0,51.11,21.43,5.03,0.01,77.57,0,-973.9,0,-3.30999999999995,Low
Apr 2019,Lower_Rio_Grande,NCAR,Low,Low,9.35,0.14,88.5,57.54,25.1,17.4,17.78,3.81,0.07,0,6.01,0,9.13,17.39,21.67,0.16,48.35,0,-972.57,0,1.32999999999993,Low
May 2019,Lower_Rio_Grande,NCAR,Low,Low,87.05,1.3,100.3,66.78,26.63,18.33,18.51,4.04,0.67,0,6.81,0,85.08,19.71,22.77,0.18,127.74,0,-980.61,0,-8.03999999999996,Low
Jun 2019,Lower_Rio_Grande,NCAR,Low,Low,274.26,4.09,128.95,90.38,27.3,18.74,18.83,4.14,2.1,0,8.76,0,268.07,25.33,23.25,0.23,316.88,0,-987.79,0,-7.17999999999995,Low
Jul 2019,Lower_Rio_Grande,NCAR,Low,Low,746.24,11.12,142.73,112.17,15.57,11.63,13.26,2.36,5.71,0,9.69,0,729.41,28.04,14.84,0.21,772.5,0,-991.85,0,-4.06000000000006,Low
Aug 2019,Lower_Rio_Grande,NCAR,Low,Low,370.49,5.52,110.68,80.22,22.62,15.9,16.62,3.43,2.84,0,7.51,0,362.14,21.74,19.9,0.19,403.97,0,-987.55,0,4.30000000000007,Low
Sep 2019,Lower_Rio_Grande,NCAR,Low,Low,93.28,1.39,60.96,37.76,27.11,18.63,18.75,4.11,0.71,0,4.14,0,91.18,11.98,23.12,0.16,126.44,0,-990.57,0,-3.0200000000001,Low
Oct 2019,Lower_Rio_Grande,NCAR,Low,Low,56.95,0.85,14.41,10.43,11.45,10.43,16.11,2.06,0.44,0,0.98,0,55.66,2.83,15.07,0.12,73.68,0,-1000.53,0,-9.95999999999992,Low
Nov 2019,Lower_Rio_Grande,NCAR,Low,Low,90.75,1.35,0.46,3.57,0.8,2.68,6.26,0.12,0.69,0,0.03,0,88.7,0.09,4.26,0,93.05,0,-1013.28,0,-12.75,Low
Dec 2019,Lower_Rio_Grande,NCAR,Low,Low,246.11,3.67,2.94,8.02,0.01,2.2,5.89,0,1.88,0,0.2,0,240.57,0.58,3.69,0,244.84,0,-1018.69,0,-5.41000000000008,Low
Jan 2020,Lower_Rio_Grande,NCAR,Low,Low,109.34,1.63,7.75,9.52,0.01,2.2,5.89,0,0.84,0,0.53,0,106.88,1.52,3.7,0,112.1,0,-1022.5,0,-3.80999999999995,Low
Feb 2020,Lower_Rio_Grande,NCAR,Low,Low,103.99,1.55,28.3,24.56,0.01,2.2,5.9,0,0.8,0,1.92,0,101.65,5.56,3.7,0,110.9,0,-1027.02,0,-4.51999999999998,Low
Mar 2020,Lower_Rio_Grande,NCAR,Low,Low,12.47,0.19,108.11,81.58,0.86,2.72,6.31,0.13,0.1,0,7.34,0,12.19,21.24,4.31,0.01,37.75,0,-1030.2,0,-3.18000000000006,Low
Apr 2020,Lower_Rio_Grande,NCAR,Low,Low,7.58,0.11,86.97,56.5,24.89,17.3,17.73,3.78,0.06,0,5.91,0,7.41,17.09,21.55,0.15,46.2,0,-1028.94,0,1.25999999999999,Low
May 2020,Lower_Rio_Grande,NCAR,Low,Low,39.06,0.58,99.22,63.92,30.13,20.48,20.22,4.57,0.3,0,6.74,0,38.18,19.49,25.3,0.2,83.18,0,-1037.09,0,-8.14999999999986,Low
Jun 2020,Lower_Rio_Grande,NCAR,Low,Low,109.93,1.64,126.83,84.12,33.1,22.28,21.64,5.02,0.84,0,8.61,0,107.45,24.92,27.43,0.23,160.04,0,-1045.9,0,-8.81000000000017,Low
Jul 2020,Lower_Rio_Grande,NCAR,Low,Low,410.02,6.11,136.38,98.77,25.08,17.42,17.83,3.81,3.14,0,9.26,0,400.77,26.79,21.69,0.22,449.48,0,-1053.3,0,-7.39999999999986,Low
Aug 2020,Lower_Rio_Grande,NCAR,Low,Low,428.17,6.38,108.64,80.16,21.2,15.07,15.99,3.22,3.28,0,7.38,0,418.51,21.34,18.91,0.19,458.96,0,-1055.15,0,-1.85000000000014,Low
Sep 2020,Lower_Rio_Grande,NCAR,Low,Low,574.75,8.56,63,52.45,11.88,9.41,11.57,1.8,4.4,0,4.28,0,561.79,12.38,12.22,0.15,586.54,0,-1057.46,0,-2.30999999999995,Low
Oct 2020,Lower_Rio_Grande,NCAR,Low,Low,247.75,3.69,15.67,11.71,14.54,11.03,12.84,2.21,1.9,0,1.06,0,242.17,3.08,14.14,0.11,259.49,0,-1058.7,0,-1.24000000000001,Low
Nov 2020,Lower_Rio_Grande,NCAR,Low,Low,175.49,2.61,0.29,5.04,0.01,2.22,5.93,0,1.34,0,0.02,0,171.54,0.06,3.72,0,175.31,0,-1066.48,0,-7.77999999999997,Low
Dec 2020,Lower_Rio_Grande,NCAR,Low,Low,139.85,2.08,0.1,4.37,0.01,2.22,5.94,0,1.07,0,0.01,0,136.7,0.02,3.72,0,140.44,0,-1071.04,0,-4.55999999999995,Low
Jan 2021,Lower_Rio_Grande,NCAR,Low,Low,87.66,1.31,7.17,8.79,0.01,2.22,5.94,0,0.67,0,0.49,0,85.69,1.41,3.72,0,90.82,0,-1075.9,0,-4.86000000000013,Low
Feb 2021,Lower_Rio_Grande,NCAR,Low,Low,66.75,0.99,27.75,23.63,0.01,2.22,5.95,0,0.51,0,1.88,0,65.24,5.45,3.73,0,74.42,0,-1080.68,0,-4.77999999999997,Low
Mar 2021,Lower_Rio_Grande,NCAR,Low,Low,24.63,0.37,108.23,79.45,7,6.46,9.27,1.06,0.19,0,7.35,0,24.07,21.26,8.74,0.04,54.12,0,-1084.23,0,-3.54999999999995,Low
Apr 2021,Lower_Rio_Grande,NCAR,Low,Low,27.5,0.41,87.34,57.15,24.74,17.23,17.71,3.75,0.21,0,5.93,0,26.88,17.16,21.46,0.16,65.67,0,-1084.94,0,-0.710000000000036,Low
May 2021,Lower_Rio_Grande,NCAR,Low,Low,8.65,0.13,98.79,63.05,30.45,20.69,20.42,4.62,0.07,0,6.71,0,8.45,19.41,25.56,0.19,53.62,0,-1092.91,0,-7.97000000000003,Low
Jun 2021,Lower_Rio_Grande,NCAR,Low,Low,142.14,2.12,126.12,84.72,31.52,21.34,20.94,4.78,1.09,0,8.56,0,138.93,24.78,26.33,0.23,190.27,0,-1102.13,0,-9.22000000000003,Low
Jul 2021,Lower_Rio_Grande,NCAR,Low,Low,245.64,3.66,132.93,91.86,30.03,20.44,20.23,4.56,1.88,0,9.03,0,240.1,26.12,25.26,0.22,291.7,0,-1108.86,0,-6.72999999999979,Low
Aug 2021,Lower_Rio_Grande,NCAR,Low,Low,416.56,6.2,138.15,101.59,21.53,15.29,16.2,3.27,3.19,0,9.38,0,407.17,27.14,19.17,0.19,453.67,0,-1113.86,0,-5,Low
Sep 2021,Lower_Rio_Grande,NCAR,Low,Low,109.89,1.64,177.04,123.66,26.54,18.33,18.58,4.03,0.84,0,12.02,0,107.41,34.78,22.77,0.16,165.13,0,-1114.41,0,-0.550000000000182,Low
Oct 2021,Lower_Rio_Grande,NCAR,Low,Low,202.18,3.01,106.88,77.25,16.82,12.44,13.97,2.55,1.55,0,7.26,0,197.62,21,15.8,0.11,234.54,0,-1116.27,0,-1.8599999999999,Low
Nov 2021,Lower_Rio_Grande,NCAR,Low,Low,27.15,0.4,35.04,26.67,4.44,4.93,8.09,0.68,0.21,0,2.38,0,26.54,6.88,6.92,0.02,40.36,0,-1119,0,-2.73000000000002,Low
Dec 2021,Lower_Rio_Grande,NCAR,Low,Low,184.1,2.74,69.22,55.9,0.01,2.24,5.99,0,1.41,0,4.7,0,179.95,13.6,3.75,0,197.3,0,-1123.84,0,-4.83999999999992,Low
Jan 2022,Lower_Rio_Grande,NCAR,Low,Low,210.78,3.14,86.49,69,0.01,2.24,5.99,0,1.61,0,5.87,0,206.02,16.99,3.75,0,226.77,0,-1123.72,0,0.119999999999891,Low
Feb 2022,Lower_Rio_Grande,NCAR,Low,Low,133.86,1.99,59.22,47.75,0.12,2.31,6.05,0.02,1.02,0,4.02,0,130.84,11.64,3.83,0,146.31,0,-1122.22,0,1.5,Low
Mar 2022,Lower_Rio_Grande,NCAR,Low,Low,12.27,0.18,108.31,74.5,19.33,13.96,15.18,2.93,0.09,0,7.35,0,12,21.28,17.61,0.11,50.99,0,-1123.2,0,-0.980000000000018,Low
Apr 2022,Lower_Rio_Grande,NCAR,Low,Low,1.46,0.02,87.21,56.41,25.44,17.68,18.09,3.86,0.01,0,5.92,0,1.43,17.13,22,0.16,40.72,0,-1128.1,0,-4.89999999999986,Low
May 2022,Lower_Rio_Grande,NCAR,Low,Low,159.4,2.37,135.53,93.8,26.72,18.45,18.7,4.05,1.22,0,9.2,0,155.8,26.63,22.92,0.2,205.55,0,-1136.56,0,-8.46000000000004,Low
Jun 2022,Lower_Rio_Grande,NCAR,Low,Low,34.23,0.51,144.87,95.26,35.75,23.93,22.99,5.42,0.26,0,9.84,0,33.46,28.46,29.39,0.24,91.55,0,-1140.98,0,-4.42000000000007,Low
Jul 2022,Lower_Rio_Grande,NCAR,Low,Low,419.59,6.25,136.78,99.26,25.05,17.44,17.92,3.8,3.21,0,9.29,0,410.13,26.87,21.72,0.22,458.95,0,-1148.69,0,-7.71000000000004,Low
Aug 2022,Lower_Rio_Grande,NCAR,Low,Low,449.45,6.69,107.55,80.01,20.47,14.66,15.74,3.11,3.44,0,7.3,0,439.31,21.13,18.44,0.19,479.07,0,-1150.53,0,-1.83999999999992,Low
Sep 2022,Lower_Rio_Grande,NCAR,Low,Low,103.69,1.54,65.95,42.08,26,18.02,18.38,3.95,0.79,0,4.48,0,101.35,12.96,22.41,0.16,136.88,0,-1152.61,0,-2.07999999999993,Low
Oct 2022,Lower_Rio_Grande,NCAR,Low,Low,676.82,10.08,82.27,71.47,3.54,4.4,7.7,0.54,5.18,0,5.59,0,661.56,16.16,6.3,0.11,684.13,0,-1161.93,0,-9.32000000000016,Low
Nov 2022,Lower_Rio_Grande,NCAR,Low,Low,8.22,0.12,9.28,8.63,1.46,3.14,6.72,0.23,0.06,0,0.63,0,8.04,1.82,4.82,0.01,14.69,0,-1158.44,0,3.49000000000001,Low
Dec 2022,Lower_Rio_Grande,NCAR,Low,Low,83.1,1.24,70.43,55.3,0.01,2.26,6.04,0,0.64,0,4.78,0,81.23,13.84,3.78,0,98.84,0,-1164.25,0,-5.80999999999995,Low
Jan 2023,Lower_Rio_Grande,NCAR,Low,Low,72.88,1.09,64.03,50.44,0.01,2.27,6.04,0,0.56,0,4.35,0,71.23,12.58,3.78,0,87.59,0,-1164.87,0,-0.619999999999891,Low
Feb 2023,Lower_Rio_Grande,NCAR,Low,Low,30.71,0.46,49.13,38.86,0.01,2.27,6.04,0,0.23,0,3.34,0,30.02,9.65,3.78,0,43.45,0,-1166,0,-1.13000000000011,Low
Mar 2023,Lower_Rio_Grande,NCAR,Low,Low,16.46,0.25,108.22,80.26,4.72,5.13,8.29,0.72,0.13,0,7.35,0,16.09,21.26,7.16,0.03,44.54,0,-1168.47,0,-2.47000000000003,Low
Apr 2023,Lower_Rio_Grande,NCAR,Low,Low,0.05,0,105.52,68.77,28.25,19.4,19.47,4.29,0,0,7.16,0,0.05,20.73,24.04,0.18,45,0,-1168.59,0,-0.119999999999891,Low
May 2023,Lower_Rio_Grande,NCAR,Low,Low,93.23,1.39,154.69,106.1,28.85,19.76,19.76,4.38,0.71,0,10.5,0,91.12,30.39,24.47,0.2,146.19,0,-1176.79,0,-8.20000000000005,Low
Jun 2023,Lower_Rio_Grande,NCAR,Low,Low,49.54,0.74,126.39,81.9,35.79,23.98,23.07,5.43,0.38,0,8.58,0,48.42,24.83,29.45,0.24,102.95,0,-1181.16,0,-4.37000000000012,Low
Jul 2023,Lower_Rio_Grande,NCAR,Low,Low,551.21,8.21,135.89,101.88,21.77,15.47,16.41,3.3,4.22,0,9.23,0,538.78,26.7,19.4,0.23,585.1,0,-1190.08,0,-8.91999999999985,Low
Aug 2023,Lower_Rio_Grande,NCAR,Low,Low,205.68,3.06,107.26,73.24,27.94,19.22,19.34,4.24,1.57,0,7.28,0,201.04,21.07,23.83,0.19,246.14,0,-1189.96,0,0.119999999999891,Low
Sep 2023,Lower_Rio_Grande,NCAR,Low,Low,26.28,0.39,66.56,40.12,29.26,20.02,19.97,4.44,0.2,0,4.52,0,25.68,13.08,24.77,0.17,63.7,0,-1196.4,0,-6.44000000000005,Low
Oct 2023,Lower_Rio_Grande,NCAR,Low,Low,240.18,3.58,15.85,11.69,14.8,11.25,13.11,2.25,1.84,0,1.08,0,234.76,3.11,14.41,0.11,252.4,0,-1207.38,0,-10.98,Low
Nov 2023,Lower_Rio_Grande,NCAR,Low,Low,135.93,2.02,0.1,3.85,2.1,3.85,8.19,0.4,1.04,0,0.01,0,132.86,0.02,6.04,0.03,138.95,0,-1215.43,0,-8.04999999999995,Low
