Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Middle_Rio_Grande,MPIM,No Change,No Change,436.06,17.19,92.62,85.17,4.78,6.2,10.32,0.62,9.27,0,4.04,0,409.6,22.02,8.29,0,439.91,46.74,-3230.43,0,0,No Change
Feb 2016,Middle_Rio_Grande,MPIM,No Change,No Change,432.97,18.6,105.06,87.01,15.68,6.2,10.33,0.62,9.21,0,3.94,0,405.16,23.23,8.32,0,436.71,46.74,-3226.82,0,3.60999999999967,No Change
Mar 2016,Middle_Rio_Grande,MPIM,No Change,No Change,144.86,5.33,75.58,62.97,4.01,7.26,10.34,0.62,3.08,0,3.3,0,136.45,17.9,8.62,0,162.98,57.62,-3223.39,10.88,3.43000000000029,No Change
Apr 2016,Middle_Rio_Grande,MPIM,No Change,No Change,67.54,2.04,44.06,34.65,7.06,7.6,10.47,0.62,1.44,0,1.82,0,64.06,10.17,9.4,0.57,84.21,55.46,-3226.73,-2.16,-3.34000000000015,No Change
May 2016,Middle_Rio_Grande,MPIM,No Change,No Change,524.32,25.37,177.17,150.44,21.19,18.02,11.31,0.62,11.15,0,7.52,0,487.8,41.41,13.87,9,552.08,55.38,-3233.9,-0.0799999999999983,-7.17000000000007,No Change
Jun 2016,Middle_Rio_Grande,MPIM,No Change,No Change,199.79,10.22,107.74,81.93,35.07,28.1,11.94,0.62,4.25,0,4.4,0,185.31,24.66,18.29,15.53,243.78,55.38,-3234.93,0,-1.02999999999975,No Change
Jul 2016,Middle_Rio_Grande,MPIM,No Change,No Change,721.18,32.75,101.22,99.92,29.92,24.31,11.7,0.62,15.34,0,4.37,0,673.09,24.06,16.69,16.23,730.07,55.38,-3253.13,0,-18.2000000000003,No Change
Aug 2016,Middle_Rio_Grande,MPIM,No Change,No Change,182.37,8,57.69,43.36,35.2,28.35,11.98,0.62,3.88,0,2.32,0,170.49,13.15,18.21,13.93,215.79,55.38,-3260.73,0,-7.59999999999991,No Change
Sep 2016,Middle_Rio_Grande,MPIM,No Change,No Change,379.05,20.23,60.77,59.77,25.9,21.5,11.49,0.62,8.06,0,2.55,0,350.76,14.28,15.27,11.2,391.51,55.38,-3279.82,0,-19.0900000000001,No Change
Oct 2016,Middle_Rio_Grande,MPIM,No Change,No Change,821.26,40.93,96.94,110.88,5.96,6.85,10.46,0.62,17.47,0,4.32,0,762.85,23.56,8.95,2.01,797.37,55.38,-3291.28,0,-11.46,No Change
Nov 2016,Middle_Rio_Grande,MPIM,No Change,No Change,91.21,3,74.02,58.03,4.92,6.24,10.41,0.62,1.94,0,3.11,0,86.28,17.2,8.47,0,111.95,55.38,-3281.34,0,9.94000000000005,No Change
Dec 2016,Middle_Rio_Grande,MPIM,No Change,No Change,222.93,10.73,67.45,60.86,4.81,6.24,10.42,0.62,4.74,0,2.88,0,207.46,15.87,8.37,0,231.7,55.38,-3286.08,0,-4.73999999999978,No Change
Jan 2017,Middle_Rio_Grande,MPIM,No Change,No Change,279.12,10.83,74.34,65.83,4.83,6.25,10.43,0.62,5.94,0,3.2,0,262.35,17.56,8.39,0,288.3,55.38,-3288.27,0,-2.19000000000005,No Change
Feb 2017,Middle_Rio_Grande,MPIM,No Change,No Change,216.51,8.87,79.92,67.93,5,6.25,10.44,0.62,4.61,0,3.4,0,203.04,18.72,8.57,0,230.32,55.38,-3288.94,0,-0.670000000000073,No Change
Mar 2017,Middle_Rio_Grande,MPIM,No Change,No Change,327.37,13.27,102.32,88.45,5.03,6.26,10.45,0.62,6.96,0,4.37,0,307.13,24,8.61,0,339.74,55.38,-3290.76,0,-1.82000000000016,No Change
Apr 2017,Middle_Rio_Grande,MPIM,No Change,No Change,202.72,8.31,118.17,94.67,6.75,7.33,10.55,0.62,4.31,0,4.96,0,190.09,27.42,9.35,0.52,227.39,55.38,-3289.26,0,1.5,No Change
May 2017,Middle_Rio_Grande,MPIM,No Change,No Change,188.25,8.58,216.22,160.31,31.37,25.5,11.86,0.62,4,0,8.95,0,175.66,49.67,17.11,13.44,255.88,55.38,-3290.44,0,-1.17999999999984,No Change
Jun 2017,Middle_Rio_Grande,MPIM,No Change,No Change,59.97,2.7,190.57,133.72,40.38,32,12.33,0.62,1.28,0,7.78,0,55.99,43.4,20.09,17.29,136.77,55.38,-3302.16,0,-11.7199999999998,No Change
Jul 2017,Middle_Rio_Grande,MPIM,No Change,No Change,311.25,14.19,60.71,50.84,37.77,30.14,12.21,0.62,6.62,0,2.47,0,290.44,13.97,19.22,17.14,340.77,55.38,-3322.1,0,-19.9400000000001,No Change
Aug 2017,Middle_Rio_Grande,MPIM,No Change,No Change,710.16,32.87,96.35,97.17,27.6,22.69,11.69,0.62,15.1,0,4.17,0,662.18,22.96,15.98,14.6,715.72,55.38,-3341.74,0,-19.6399999999999,No Change
Sep 2017,Middle_Rio_Grande,MPIM,No Change,No Change,593.9,29.15,89.42,89.82,23.13,19.47,11.46,0.62,12.63,0,3.85,0,552.12,21.24,14.51,11.41,599.27,55.38,-3348.14,0,-6.40000000000009,No Change
Oct 2017,Middle_Rio_Grande,MPIM,No Change,No Change,431.95,21.09,68.27,70.25,8.9,9.08,10.74,0.62,9.19,0,2.97,0,401.67,16.32,9.94,2.16,430.09,55.38,-3353.9,0,-5.76000000000022,No Change
Nov 2017,Middle_Rio_Grande,MPIM,No Change,No Change,187.31,8.15,66.7,57.67,4.99,6.29,10.52,0.62,3.98,0,2.84,0,175.17,15.66,8.6,0,199.43,55.38,-3354.02,0,-0.119999999999891,No Change
Dec 2017,Middle_Rio_Grande,MPIM,No Change,No Change,202.38,9.17,70.74,61.75,4.86,6.3,10.53,0.62,4.3,0,3.01,0,188.91,16.59,8.48,0,213.97,55.38,-3357.11,0,-3.09000000000015,No Change
Jan 2018,Middle_Rio_Grande,MPIM,No Change,No Change,133.14,4.75,62.07,51.11,4.85,6.3,10.54,0.62,2.83,0,2.63,0,125.56,14.53,8.47,0,148.56,55.38,-3359.71,0,-2.59999999999991,No Change
Feb 2018,Middle_Rio_Grande,MPIM,No Change,No Change,133.6,5.57,64.49,53.59,5.01,6.31,10.55,0.62,2.84,0,2.72,0,125.19,15.05,8.64,0,148.88,55.38,-3364.16,0,-4.44999999999982,No Change
Mar 2018,Middle_Rio_Grande,MPIM,No Change,No Change,150.93,6.26,78.22,64.25,5.11,6.31,10.56,0.62,3.21,0,3.28,0,141.47,18.16,8.74,0,168.36,55.38,-3368.54,0,-4.38000000000011,No Change
Apr 2018,Middle_Rio_Grande,MPIM,No Change,No Change,111.07,3.56,107.32,81.96,7.88,8.2,10.74,0.62,2.36,0,4.47,0,105.15,24.77,9.79,0.81,140.52,55.38,-3371.99,0,-3.44999999999982,No Change
May 2018,Middle_Rio_Grande,MPIM,No Change,No Change,22.03,0.97,111.67,75.84,35.72,28.71,12.19,0.62,0.47,0,4.5,0,20.6,25.28,18.58,14.48,78.94,55.38,-3376.08,0,-4.09000000000015,No Change
Jun 2018,Middle_Rio_Grande,MPIM,No Change,No Change,157.96,6.84,56.8,40.51,39.13,31.09,12.37,0.62,3.36,0,2.25,0,147.76,12.84,19.79,17.49,197.89,55.38,-3397.17,0,-21.0900000000001,No Change
Jul 2018,Middle_Rio_Grande,MPIM,No Change,No Change,304.01,13.42,56.7,47.32,37.07,29.68,12.29,0.62,6.47,0,2.32,0,284.13,13.09,19.05,16.46,332.73,55.38,-3420.81,0,-23.6399999999999,No Change
Aug 2018,Middle_Rio_Grande,MPIM,No Change,No Change,920.9,42.89,93.18,105.53,23.62,19.79,11.6,0.62,19.59,0,4.13,0,858.42,22.57,14.81,14.06,909.87,55.38,-3440.15,0,-19.3400000000001,No Change
Sep 2018,Middle_Rio_Grande,MPIM,No Change,No Change,203.29,8.94,56.18,44.77,29,23.91,11.89,0.62,4.32,0,2.3,0,190.03,12.95,16.36,10.71,230.05,55.38,-3441.47,0,-1.31999999999971,No Change
Oct 2018,Middle_Rio_Grande,MPIM,No Change,No Change,246.31,12.38,55.38,51.11,14.57,13.32,11.18,0.62,5.24,0,2.35,0,228.69,13.05,11.8,3.98,257.52,55.38,-3456.82,0,-15.3500000000004,No Change
Nov 2018,Middle_Rio_Grande,MPIM,No Change,No Change,302.49,11.74,81.49,71.8,5,6.35,10.64,0.62,6.43,0,3.51,0,284.31,19.27,8.67,0,312.24,55.38,-3463.77,0,-6.94999999999982,No Change
Dec 2018,Middle_Rio_Grande,MPIM,No Change,No Change,205.84,10.17,63.13,57.16,4.89,6.35,10.65,0.62,4.38,0,2.7,0,191.3,14.89,8.57,0,214.75,55.38,-3463.83,0,-0.0599999999999454,No Change
Jan 2019,Middle_Rio_Grande,MPIM,No Change,No Change,123.12,4.41,50.81,42.55,4.94,6.36,10.66,0.62,2.62,0,2.16,0,116.1,11.92,8.62,0,136.64,55.38,-3466.78,0,-2.95000000000027,No Change
Feb 2019,Middle_Rio_Grande,MPIM,No Change,No Change,437.36,19.07,96.83,90.11,5,6.36,10.67,0.62,9.3,0,4.19,0,408.99,22.95,8.69,0,440.62,55.38,-3472.04,0,-5.25999999999976,No Change
Mar 2019,Middle_Rio_Grande,MPIM,No Change,No Change,17.12,0.51,42.19,32.39,5.22,6.36,10.67,0.62,0.36,0,1.73,0,16.24,9.72,8.91,0,34.87,55.38,-3468.59,0,3.44999999999982,No Change
Apr 2019,Middle_Rio_Grande,MPIM,No Change,No Change,212.68,8.59,94.42,77.79,6.41,7.16,10.75,0.62,4.52,0,3.98,0,199.57,21.99,9.39,0.38,231.32,55.38,-3476.55,0,-7.96000000000004,No Change
May 2019,Middle_Rio_Grande,MPIM,No Change,No Change,225.09,10.29,196.41,148.09,29.28,24.04,12.03,0.62,4.79,0,8.16,0,210.02,45.22,16.64,11.8,283.68,55.38,-3478.56,0,-2.00999999999976,No Change
Jun 2019,Middle_Rio_Grande,MPIM,No Change,No Change,53.75,2.55,91.51,61.38,40.76,32.33,12.56,0.62,1.14,0,3.64,0,50.06,20.61,20.37,17.49,108.53,55.38,-3488.82,0,-10.2600000000002,No Change
Jul 2019,Middle_Rio_Grande,MPIM,No Change,No Change,151.31,7.73,53.21,38.7,40.12,31.95,12.54,0.62,3.22,0,2.09,0,140.36,11.99,20.09,17.03,189.48,55.38,-3513.47,0,-24.6499999999996,No Change
Aug 2019,Middle_Rio_Grande,MPIM,No Change,No Change,1110.34,51.53,129.04,140.54,21.1,17.94,11.58,0.62,23.62,0,5.72,0,1035.19,31.15,14.11,14.02,1094.48,55.38,-3537.13,0,-23.6600000000003,No Change
