Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Middle_Rio_Grande,MPIM,No Change,Low,436.06,17.19,93.58,86.19,5.58,7.35,12.07,0.62,9.27,0,4.08,0,409.6,22.26,9.68,0,441.55,46.74,-3303.99,0,0,High
Feb 2016,Middle_Rio_Grande,MPIM,No Change,Low,432.97,18.6,106.02,88.04,16.48,7.35,12.09,0.62,9.21,0,3.98,0,405.16,23.47,9.71,0,438.35,46.74,-3302.09,0,1.89999999999964,High
Mar 2016,Middle_Rio_Grande,MPIM,No Change,Low,144.86,5.33,76.52,63.98,4.8,8.42,12.1,0.62,3.08,0,3.34,0,136.45,18.14,10.02,0,164.61,57.62,-3300.36,10.88,1.73000000000002,High
Apr 2016,Middle_Rio_Grande,MPIM,No Change,Low,67.54,2.04,44.93,35.5,8.32,9.11,12.26,0.62,1.44,0,1.86,0,64.06,10.39,10.94,0.57,85.97,55.46,-3305.42,-2.16,-5.05999999999995,High
May 2016,Middle_Rio_Grande,MPIM,No Change,Low,524.32,25.37,177.92,150.37,25.93,22.12,13.31,0.62,11.15,0,7.54,0,487.8,41.58,16.49,9,554.87,55.38,-3314.34,-0.0799999999999983,-8.92000000000007,High
Jun 2016,Middle_Rio_Grande,MPIM,No Change,Low,199.79,10.22,104.43,78.1,43.21,34.73,14.09,0.62,4.25,0,4.24,0,185.31,23.84,21.95,15.53,246.63,55.38,-3317.33,0,-2.98999999999978,High
Jul 2016,Middle_Rio_Grande,MPIM,No Change,Low,721.18,32.75,98.95,97.15,36.79,30,13.79,0.62,15.34,0,4.26,0,673.09,23.5,19.96,16.23,732.79,55.38,-3337.85,0,-20.52,High
Aug 2016,Middle_Rio_Grande,MPIM,No Change,Low,182.37,8,64.07,46.56,43.42,35.04,14.14,0.62,3.88,0,2.56,0,170.49,14.56,21.91,13.93,220.89,55.38,-3347.65,0,-9.80000000000018,High
Sep 2016,Middle_Rio_Grande,MPIM,No Change,Low,379.05,20.23,63.13,60.59,31.82,26.48,13.53,0.62,8.06,0,2.63,0,350.76,14.78,18.25,11.2,395,55.38,-3368.66,0,-21.0099999999998,High
Oct 2016,Middle_Rio_Grande,MPIM,No Change,Low,821.26,40.93,93.53,108.68,6.97,8.16,12.24,0.62,17.47,0,4.18,0,762.85,22.8,10.42,2.01,798.08,55.38,-3382.08,0,-13.4200000000001,High
