Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Middle_Rio_Grande,UKMO,No Change,High,206.51,7.83,79.77,66.59,3.96,5.04,8.57,0.62,4.39,0,3.4,0,194.29,18.69,6.87,0,219.85,46.74,-3153.86,0,0,High
Feb 2016,Middle_Rio_Grande,UKMO,No Change,High,198.2,8.79,71.9,53.18,14.9,5.04,8.58,0.62,4.22,0,2.45,0,185.19,15.2,6.94,0,207.33,46.74,-3154.02,0,-0.159999999999854,High
Mar 2016,Middle_Rio_Grande,UKMO,No Change,High,141.32,5.16,97.6,78.55,3.21,6.11,8.59,0.62,3.01,0,4.2,0,133.15,22.91,7.22,0,163.28,57.62,-3155.32,10.88,-1.30000000000018,High
Apr 2016,Middle_Rio_Grande,UKMO,No Change,High,80.51,3.49,189.62,140.07,12.85,11.31,9.12,0.62,1.71,0,7.89,0,75.31,43.61,10.12,2.5,131.55,55.46,-3156.07,-2.16,-0.75,High
May 2016,Middle_Rio_Grande,UKMO,No Change,High,7.03,0.17,219.8,147.27,48.03,33.18,10.63,0.62,0.15,0,8.67,0,6.71,49.17,19.37,14.39,89.65,55.38,-3157.48,-0.0799999999999983,-1.40999999999985,High
Jun 2016,Middle_Rio_Grande,UKMO,No Change,High,143.71,6.11,125.58,74.51,63.08,36.11,10.85,0.62,3.06,0,4.17,0,134.55,26.04,20.94,17.39,198.91,60.86,-3173.06,5.48,-15.5799999999999,High
Jul 2016,Middle_Rio_Grande,UKMO,No Change,High,393.9,18.5,76.15,63.7,44.71,34.3,10.72,0.62,8.38,0,3.09,0,367.02,17.45,20.51,17.77,422.76,77.12,-3193.45,16.26,-20.3899999999999,High
Aug 2016,Middle_Rio_Grande,UKMO,No Change,High,657.99,30.8,83.56,94.67,31.95,38.46,10.18,0.62,13.99,0,4.34,0,613.2,21.86,17,14.77,666.84,77.12,-3209.85,0,-16.4000000000001,High
Sep 2016,Middle_Rio_Grande,UKMO,No Change,High,701.7,37.43,86.85,99.38,21.34,21.87,9.59,0.62,14.92,0,4.02,0,649.35,21.42,13.23,11.05,695.05,63.16,-3215.85,-13.96,-6,High
Oct 2016,Middle_Rio_Grande,UKMO,No Change,High,749.65,40.24,77,95.67,5.21,5.94,8.71,0.62,15.94,0,3.46,0,693.47,18.85,7.68,2.14,722.14,58.38,-3216.94,-4.77999999999999,-1.09000000000015,High
