Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Middle_Rio_Grande,UKMO,No Change,No Change,206.51,7.83,80.72,67.61,4.76,6.2,10.32,0.62,4.39,0,3.44,0,194.29,18.93,8.27,0,221.49,46.74,-3227.76,0,0,Low
Feb 2016,Middle_Rio_Grande,UKMO,No Change,No Change,198.2,8.79,72.85,54.21,15.7,6.2,10.33,0.62,4.22,0,2.49,0,185.19,15.44,8.33,0,208.97,46.74,-3229.63,0,-1.86999999999989,Low
Mar 2016,Middle_Rio_Grande,UKMO,No Change,No Change,141.32,5.16,98.53,79.56,4.01,7.26,10.34,0.62,3.01,0,4.25,0,133.15,23.14,8.62,0,164.92,57.62,-3232.63,10.88,-3,Low
Apr 2016,Middle_Rio_Grande,UKMO,No Change,No Change,80.51,3.49,189.74,141.3,10.32,9.96,10.67,0.62,1.71,0,7.9,0,75.31,43.68,10.48,2.5,131.97,55.46,-3235.1,-2.16,-2.4699999999998,Low
May 2016,Middle_Rio_Grande,UKMO,No Change,No Change,7.03,0.17,223.05,153.59,33.73,23.09,11.57,0.62,0.15,0,8.86,0,6.71,50.12,16.12,14.39,87.34,55.38,-3238.04,-0.0799999999999983,-2.94000000000005,Low
Jun 2016,Middle_Rio_Grande,UKMO,No Change,No Change,143.71,6.11,121.82,76.1,47.21,24.85,11.71,0.62,3.06,0,4.07,0,134.55,25.39,17.2,17.39,194.52,60.86,-3254.38,5.48,-16.3400000000001,Low
Jul 2016,Middle_Rio_Grande,UKMO,No Change,No Change,393.9,18.5,72.78,65.34,29.82,23.76,11.64,0.62,8.38,0,3,0,367.02,16.88,17.07,17.77,418.74,77.12,-3275.73,16.26,-21.3499999999999,Low
Aug 2016,Middle_Rio_Grande,UKMO,No Change,No Change,657.99,30.8,96.13,106.92,21.26,31.05,11.32,0.62,13.99,0,4.9,0,613.2,24.9,14.86,14.77,667.73,77.12,-3293.13,0,-17.4000000000001,Low
Sep 2016,Middle_Rio_Grande,UKMO,No Change,No Change,701.7,37.43,90.67,104.23,14.89,17.63,10.97,0.62,14.92,0,4.2,0,649.35,22.41,12.4,11.05,695.21,63.16,-3299.71,-13.96,-6.57999999999993,Low
Oct 2016,Middle_Rio_Grande,UKMO,No Change,No Change,749.65,40.24,77.87,96.75,5.55,6.76,10.45,0.62,15.94,0,3.5,0,693.47,19.07,8.94,2.14,723.63,58.38,-3301.98,-4.77999999999999,-2.26999999999998,Low
Nov 2016,Middle_Rio_Grande,UKMO,No Change,No Change,320.4,12.22,104.66,89.1,4.91,6.24,10.41,0.62,6.81,0,4.49,0,301.36,24.62,8.46,0,334.44,58.06,-3294.51,-0.32,7.4699999999998,Low
Dec 2016,Middle_Rio_Grande,UKMO,No Change,No Change,297.52,12.8,88.62,76.56,6.83,6.24,10.42,0.62,6.33,0,3.69,0,278.39,20.58,8.4,0,307.37,58.06,-3293,0,1.51000000000022,Low
Jan 2017,Middle_Rio_Grande,UKMO,No Change,No Change,450.39,18.96,89.46,84.79,4.62,6.25,10.43,0.62,9.58,0,3.91,0,421.85,21.34,8.4,0,451.59,60.05,-3292.78,1.98999999999999,0.2199999999998,Low
Feb 2017,Middle_Rio_Grande,UKMO,No Change,No Change,201.41,8.62,66.5,59.74,4.03,7.56,10.44,0.62,4.28,0,2.95,0,188.51,15.95,8.52,0,212.98,59.84,-3289.1,-0.209999999999994,3.68000000000029,Low
Mar 2017,Middle_Rio_Grande,UKMO,No Change,No Change,688.88,30.89,150.09,141.9,4.04,7.3,10.45,0.62,14.65,0,6.59,0,643.34,35.75,8.73,0,687.82,57.62,-3291.69,-2.22000000000001,-2.59000000000015,Low
Apr 2017,Middle_Rio_Grande,UKMO,No Change,No Change,851.07,38.17,199.68,183.12,5.72,6.59,10.49,0.62,18.1,0,8.58,0,794.8,47.02,9.08,0.87,851.77,55.46,-3280.28,-2.16,11.4099999999999,Low
May 2017,Middle_Rio_Grande,UKMO,No Change,No Change,83.57,2.53,221.03,155.03,31.11,21.26,11.56,0.62,1.78,0,8.84,0,79.27,49.84,15.31,12.67,157.09,55.38,-3264.34,-0.0799999999999983,15.9400000000001,Low
Jun 2017,Middle_Rio_Grande,UKMO,No Change,No Change,370.25,16.87,219.88,158.74,43.65,22.26,11.64,0.62,7.87,0,8.28,0,345.5,48.35,16.14,16.76,426.76,60.86,-3277.33,5.48,-12.9899999999998,Low
Jul 2017,Middle_Rio_Grande,UKMO,No Change,No Change,433.57,20.25,127.01,106.77,28.54,22.76,11.68,0.62,9.22,0,5.29,0,404.1,29.42,16.63,16.82,466.96,77.12,-3288.96,16.26,-11.6300000000001,Low
Aug 2017,Middle_Rio_Grande,UKMO,No Change,No Change,703.81,33.96,152.73,151.79,19.99,30.4,11.36,0.62,14.97,0,7.29,0,654.88,38.01,14.5,14.26,721.65,77.33,-3302.33,0.209999999999994,-13.3699999999999,Low
Sep 2017,Middle_Rio_Grande,UKMO,No Change,No Change,367.76,18.67,147.98,126.64,19.85,21.33,11.35,0.62,7.82,0,6.46,0,341.27,35.04,14.03,11.28,401.62,63.16,-3305.07,-14.17,-2.74000000000024,Low
Oct 2017,Middle_Rio_Grande,UKMO,No Change,No Change,183.5,7.31,107.11,84.91,10.83,10.73,10.87,0.62,3.9,0,4.52,0,172.29,24.9,10.67,2.95,210.8,58.38,-3312.79,-4.77999999999999,-7.7199999999998,Low
Nov 2017,Middle_Rio_Grande,UKMO,No Change,No Change,167.65,6.64,96.32,76.36,6.74,6.29,10.52,0.62,3.57,0,3.97,0,157.45,22.18,8.57,0,188.19,58.06,-3317.57,-0.32,-4.7800000000002,Low
Dec 2017,Middle_Rio_Grande,UKMO,No Change,No Change,31.2,0.86,62.3,47.41,5.07,6.3,10.53,0.62,0.66,0,2.58,0,29.68,14.38,8.49,0,52.55,59.84,-3319.94,1.78,-2.36999999999989,Low
Jan 2018,Middle_Rio_Grande,UKMO,No Change,No Change,71.57,2.82,50.87,41.28,4.68,6.3,10.54,0.62,1.52,0,2.14,0,67.23,11.88,8.51,0,87.63,60.05,-3326.6,0.209999999999994,-6.65999999999985,Low
Feb 2018,Middle_Rio_Grande,UKMO,No Change,No Change,120.88,5.31,64.93,55.42,4.06,7.57,10.55,0.62,2.57,0,2.85,0,113,15.47,8.65,0,137.12,59.84,-3332.86,-0.209999999999994,-6.26000000000022,Low
Mar 2018,Middle_Rio_Grande,UKMO,No Change,No Change,198.39,7.76,142.96,114.47,4.07,7.36,10.56,0.62,4.22,0,6.12,0,186.41,33.43,8.8,0,228.64,57.62,-3337.36,-2.22000000000001,-4.5,Low
Apr 2018,Middle_Rio_Grande,UKMO,No Change,No Change,194.68,8.12,254.43,192.73,10.95,10.49,10.92,0.62,4.14,0,10.64,0,182.42,58.72,10.84,3.08,255.06,55.46,-3336.97,-2.16,0.390000000000327,Low
May 2018,Middle_Rio_Grande,UKMO,No Change,No Change,41.81,1.94,266.47,187.06,33.36,22.86,11.77,0.62,0.89,0,10.69,0,38.98,60.17,16.17,14.47,129.78,55.38,-3335.56,-0.0799999999999983,1.40999999999985,Low
Jun 2018,Middle_Rio_Grande,UKMO,No Change,No Change,414.25,18.66,270.75,197.53,43.49,22.16,11.74,0.62,8.81,0,10.42,0,386.78,60.12,16.19,17.03,480.12,60.86,-3349.6,5.48,-14.04,Low
Jul 2018,Middle_Rio_Grande,UKMO,No Change,No Change,304.12,14.13,124.56,98.51,31,24.57,11.91,0.62,6.47,0,5.12,0,283.52,28.62,17.51,17.54,347.2,77.12,-3358.51,16.26,-8.91000000000031,Low
Aug 2018,Middle_Rio_Grande,UKMO,No Change,No Change,952.82,42.96,150.04,158.73,18.26,29.12,11.39,0.62,20.27,0,7.31,0,889.59,37.82,14.09,14.66,956.16,77.33,-3375.76,0.209999999999994,-17.25,Low
Sep 2018,Middle_Rio_Grande,UKMO,No Change,No Change,512.21,25.25,94.14,94.15,18.08,20.06,11.37,0.62,10.89,0,4.29,0,476.07,22.94,13.55,11.18,523.74,63.16,-3373.62,-14.17,2.14000000000033,Low
Oct 2018,Middle_Rio_Grande,UKMO,No Change,No Change,0.26,0,42.61,30.51,12.88,12.28,11.09,0.62,0.01,0,1.74,0,0.25,9.77,11.39,3.42,24.83,58.38,-3380.36,-4.77999999999999,-6.74000000000024,Low
Nov 2018,Middle_Rio_Grande,UKMO,No Change,No Change,98.93,3.29,64.28,49.82,6.79,6.35,10.64,0.62,2.1,0,2.61,0,93.54,14.7,8.67,0,116.91,58.06,-3392.51,-0.32,-12.1500000000001,Low
Dec 2018,Middle_Rio_Grande,UKMO,No Change,No Change,122.54,5.32,63.7,52.7,5.15,6.35,10.65,0.62,2.61,0,2.68,0,114.61,14.85,8.62,0,138.08,59.84,-3397.81,1.78,-5.29999999999973,Low
Jan 2019,Middle_Rio_Grande,UKMO,No Change,No Change,31.16,0.98,44.35,34.78,4.72,6.36,10.66,0.62,0.66,0,1.86,0,29.52,10.32,8.61,0,48.45,60.05,-3402.56,0.209999999999994,-4.75,Low
Feb 2019,Middle_Rio_Grande,UKMO,No Change,No Change,17.16,0.54,64.3,50.4,4.1,7.6,10.67,0.62,0.36,0,2.79,0,16.26,15.16,8.76,0,40.18,59.84,-3410.07,-0.209999999999994,-7.51000000000022,Low
Mar 2019,Middle_Rio_Grande,UKMO,No Change,No Change,82.29,2.99,112.81,87.92,4.1,7.41,10.67,0.62,1.75,0,4.82,0,77.55,26.37,8.9,0,112.82,57.62,-3416.96,-2.22000000000001,-6.88999999999987,Low
Apr 2019,Middle_Rio_Grande,UKMO,No Change,No Change,74.99,3.16,128.32,96.29,10.42,10.14,11,0.62,1.6,0,5.33,0,70.24,29.56,10.75,2.48,113.03,55.46,-3420.44,-2.16,-3.48000000000002,Low
May 2019,Middle_Rio_Grande,UKMO,No Change,No Change,19.15,0.81,173.78,118.38,33.8,23.21,11.9,0.62,0.41,0,6.81,0,17.93,38.82,16.39,14.58,87.71,55.38,-3426.37,-0.0799999999999983,-5.92999999999984,Low
Jun 2019,Middle_Rio_Grande,UKMO,No Change,No Change,324.52,14.31,69.42,46.27,45.36,23.54,11.94,0.62,6.9,0,1.97,0,303.31,13.67,16.88,17.67,351.53,60.86,-3445.02,5.48,-18.6500000000001,Low
Jul 2019,Middle_Rio_Grande,UKMO,No Change,No Change,509.31,24.84,76.03,74.26,27.99,22.37,11.86,0.62,10.83,0,3.18,0,473.64,17.81,16.65,17.29,525.39,77.12,-3465.14,16.26,-20.1199999999999,Low
Aug 2019,Middle_Rio_Grande,UKMO,No Change,No Change,594.01,27.03,99.97,105.99,22.58,32.33,11.73,0.62,12.63,0,5.05,0,554.35,25.7,15.53,15.01,610.58,77.33,-3479.65,0.209999999999994,-14.5100000000002,Low
Sep 2019,Middle_Rio_Grande,UKMO,No Change,No Change,376.91,18.34,77.49,74.71,20.75,22.03,11.63,0.62,8.02,0,3.53,0,350.56,18.86,14.51,11.89,395.83,63.16,-3488.08,-14.17,-8.42999999999984,Low
Oct 2019,Middle_Rio_Grande,UKMO,No Change,No Change,58.24,3.21,43.67,33.87,15.05,13.91,11.33,0.62,1.24,0,1.8,0,53.79,10.08,12.16,4.67,80.7,58.38,-3499.43,-4.77999999999999,-11.3499999999999,Low
Nov 2019,Middle_Rio_Grande,UKMO,No Change,No Change,93.43,3.9,39.84,32.67,6.83,6.4,10.75,0.62,1.99,0,1.58,0,87.54,9.06,8.77,0,105.38,58.06,-3511.76,-0.32,-12.3300000000004,Low
Dec 2019,Middle_Rio_Grande,UKMO,No Change,No Change,27.33,0.76,33.9,26.64,5.18,6.41,10.76,0.62,0.58,0,1.4,0,25.99,7.85,8.71,0,42.55,59.84,-3518.33,1.78,-6.56999999999971,Low
Jan 2020,Middle_Rio_Grande,UKMO,No Change,No Change,84.35,2.93,35.02,29.83,4.78,6.41,10.77,0.62,1.79,0,1.49,0,79.62,8.26,8.73,0,96.61,60.05,-3526.49,0.209999999999994,-8.15999999999985,Low
