Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Middle_Rio_Grande,UKMO,Low,No Change,206.51,7.83,80.66,67.54,4.72,6.13,10.19,0.62,4.39,0,3.44,0,194.29,18.92,8.16,0,221.36,46.74,-3227.76,0,0,High
Feb 2016,Middle_Rio_Grande,UKMO,Low,No Change,198.2,8.79,72.79,54.14,15.66,6.13,10.19,0.62,4.22,0,2.49,0,185.19,15.43,8.22,0,208.84,46.74,-3229.49,0,-1.72999999999956,High
Mar 2016,Middle_Rio_Grande,UKMO,Low,No Change,141.32,5.16,98.48,79.49,3.96,7.19,10.2,0.62,3.01,0,4.24,0,133.15,23.13,8.51,0,164.79,57.62,-3232.36,10.88,-2.87000000000035,High
Apr 2016,Middle_Rio_Grande,UKMO,Low,No Change,80.51,3.49,189.69,140.43,13.61,12.39,10.73,0.62,1.71,0,7.89,0,75.31,43.65,11.4,2.5,132.87,55.46,-3234.69,-2.16,-2.32999999999993,High
May 2016,Middle_Rio_Grande,UKMO,Low,No Change,7.03,0.17,219.87,147.63,48.79,34.26,12.24,0.62,0.15,0,8.67,0,6.71,49.21,20.66,14.39,90.97,55.38,-3237.7,-0.0799999999999983,-3.00999999999976,High
Jun 2016,Middle_Rio_Grande,UKMO,Low,No Change,143.71,6.11,127.9,76.51,63.84,37.19,12.46,0.62,3.06,0,4.27,0,134.55,26.59,22.22,17.39,200.75,60.86,-3254.88,5.48,-17.1800000000003,High
Jul 2016,Middle_Rio_Grande,UKMO,Low,No Change,393.9,18.5,77.06,64.66,45.47,35.39,12.33,0.62,8.38,0,3.13,0,367.02,17.68,21.8,17.77,424.27,77.12,-3276.78,16.26,-21.9000000000001,High
Aug 2016,Middle_Rio_Grande,UKMO,Low,No Change,657.99,30.8,84.46,95.63,32.7,39.55,11.79,0.62,13.99,0,4.38,0,613.2,22.09,18.29,14.77,668.35,77.12,-3294.76,0,-17.98,High
Sep 2016,Middle_Rio_Grande,UKMO,Low,No Change,701.7,37.43,87.76,100.34,22.09,22.95,11.2,0.62,14.92,0,4.06,0,649.35,21.65,14.51,11.05,696.56,63.16,-3302.33,-13.96,-7.56999999999971,High
Oct 2016,Middle_Rio_Grande,UKMO,Low,No Change,749.65,40.24,77.9,96.63,5.97,7.03,10.32,0.62,15.94,0,3.5,0,693.47,19.07,8.96,2.14,723.64,58.38,-3304.99,-4.77999999999999,-2.65999999999985,High
Nov 2016,Middle_Rio_Grande,UKMO,Low,No Change,320.4,12.22,104.69,89.09,4.86,6.16,10.26,0.62,6.81,0,4.49,0,301.36,24.63,8.33,0,334.32,58.06,-3297.39,-0.32,7.59999999999991,High
Dec 2016,Middle_Rio_Grande,UKMO,Low,No Change,297.52,12.8,89.26,77,6.78,6.17,10.26,0.62,6.33,0,3.72,0,278.39,20.73,8.27,0,307.39,58.06,-3295.72,0,1.67000000000007,High
Jan 2017,Middle_Rio_Grande,UKMO,Low,No Change,450.39,18.96,89.49,84.79,4.58,6.17,10.27,0.62,9.58,0,3.91,0,421.85,21.34,8.27,0,451.46,60.05,-3295.31,1.98999999999999,0.409999999999854,High
Feb 2017,Middle_Rio_Grande,UKMO,Low,No Change,201.41,8.62,66.27,59.54,3.99,7.48,10.28,0.62,4.28,0,2.94,0,188.51,15.89,8.39,0,212.79,59.84,-3291.47,-0.209999999999994,3.84000000000015,High
Mar 2017,Middle_Rio_Grande,UKMO,Low,No Change,688.88,30.89,149.97,141.78,3.99,7.22,10.28,0.62,14.65,0,6.58,0,643.34,35.72,8.59,0,687.65,57.62,-3293.9,-2.22000000000001,-2.43000000000029,High
Apr 2017,Middle_Rio_Grande,UKMO,Low,No Change,851.07,38.17,199.11,182.6,5.96,6.73,10.34,0.62,18.1,0,8.56,0,794.8,46.89,9.04,0.87,851.59,55.46,-3282.33,-2.16,11.5700000000002,High
May 2017,Middle_Rio_Grande,UKMO,Low,No Change,83.57,2.53,220.04,151.06,44.47,31.17,12.11,0.62,1.78,0,8.75,0,79.27,49.46,19.31,12.67,160.72,55.38,-3266.26,-0.0799999999999983,16.0699999999997,High
Jun 2017,Middle_Rio_Grande,UKMO,Low,No Change,370.25,16.87,213.06,150.3,57.9,32.84,12.23,0.62,7.87,0,7.94,0,345.5,46.62,20.42,16.76,429.31,60.86,-3279.9,5.48,-13.6399999999999,High
Jul 2017,Middle_Rio_Grande,UKMO,Low,No Change,433.57,20.25,117.83,96.51,43.24,33.66,12.3,0.62,9.22,0,4.85,0,404.1,27.14,21.04,16.82,469.09,77.12,-3292.46,16.26,-12.5599999999999,High
Aug 2017,Middle_Rio_Grande,UKMO,Low,No Change,703.81,33.96,146.74,144.85,30.57,38.24,11.76,0.62,14.97,0,7.01,0,654.88,36.52,17.64,14.26,723.29,77.33,-3306.88,0.209999999999994,-14.4200000000001,High
Sep 2017,Middle_Rio_Grande,UKMO,Low,No Change,367.76,18.67,144.23,121.35,30.33,29.09,11.74,0.62,7.82,0,6.27,0,341.27,34.06,17.14,11.28,403.74,63.16,-3310.31,-14.17,-3.42999999999984,High
Oct 2017,Middle_Rio_Grande,UKMO,Low,No Change,183.5,7.31,106.94,83.79,14.72,13.6,10.93,0.62,3.9,0,4.5,0,172.29,24.83,11.75,2.95,211.82,58.38,-3318.61,-4.77999999999999,-8.30000000000018,High
Nov 2017,Middle_Rio_Grande,UKMO,Low,No Change,167.65,6.64,96.27,76.29,6.69,6.2,10.34,0.62,3.57,0,3.97,0,157.45,22.16,8.42,0,188.03,58.06,-3323.46,-0.32,-4.84999999999991,High
Dec 2017,Middle_Rio_Grande,UKMO,Low,No Change,31.2,0.86,63,47.89,5.02,6.21,10.35,0.62,0.66,0,2.61,0,29.68,14.54,8.34,0,52.56,59.84,-3325.65,1.78,-2.19000000000005,High
Jan 2018,Middle_Rio_Grande,UKMO,Low,No Change,71.57,2.82,50.81,41.2,4.63,6.21,10.36,0.62,1.52,0,2.14,0,67.23,11.86,8.36,0,87.46,60.05,-3332.1,0.209999999999994,-6.44999999999982,High
Feb 2018,Middle_Rio_Grande,UKMO,Low,No Change,120.88,5.31,64.87,55.34,4.01,7.48,10.36,0.62,2.57,0,2.85,0,113,15.45,8.5,0,136.95,59.84,-3338.17,-0.209999999999994,-6.07000000000016,High
Mar 2018,Middle_Rio_Grande,UKMO,Low,No Change,198.39,7.76,142.92,114.41,4.01,7.27,10.37,0.62,4.22,0,6.11,0,186.41,33.41,8.65,0,228.48,57.62,-3342.49,-2.22000000000001,-4.31999999999971,High
Apr 2018,Middle_Rio_Grande,UKMO,Low,No Change,194.68,8.12,254.42,191.78,14.6,13.18,10.96,0.62,4.14,0,10.64,0,182.42,58.7,11.84,3.08,256.04,55.46,-3341.9,-2.16,0.589999999999691,High
May 2018,Middle_Rio_Grande,UKMO,Low,No Change,41.81,1.94,262.82,180.81,48.11,33.8,12.37,0.62,0.89,0,10.48,0,38.98,59.15,20.58,14.47,133.18,55.38,-3340.54,-0.0799999999999983,1.36000000000013,High
Jun 2018,Middle_Rio_Grande,UKMO,Low,No Change,414.25,18.66,264.3,189.39,57.6,32.62,12.31,0.62,8.81,0,10.1,0,386.78,58.48,20.4,17.03,482.69,60.86,-3355.39,5.48,-14.8499999999999,High
Jul 2018,Middle_Rio_Grande,UKMO,Low,No Change,304.12,14.13,120.46,91.57,47.27,36.63,12.59,0.62,6.47,0,4.89,0,283.52,27.49,22.39,17.54,350.94,77.12,-3365.19,16.26,-9.80000000000018,High
Aug 2018,Middle_Rio_Grande,UKMO,Low,No Change,952.82,42.96,146.24,153.65,27.66,36.07,11.71,0.62,20.27,0,7.12,0,889.59,36.85,16.85,14.66,957.95,77.33,-3383.34,0.209999999999994,-18.1500000000001,High
Sep 2018,Middle_Rio_Grande,UKMO,Low,No Change,512.21,25.25,95.16,92.61,27.35,26.92,11.67,0.62,10.89,0,4.3,0,476.07,23.06,16.27,11.18,526.58,63.16,-3381.7,-14.17,1.64000000000033,High
Oct 2018,Middle_Rio_Grande,UKMO,Low,No Change,0.26,0,47.96,33.09,18.1,16.14,11.2,0.62,0.01,0,1.95,0,0.25,10.96,12.86,3.42,27.49,58.38,-3388.74,-4.77999999999999,-7.03999999999996,High
Nov 2018,Middle_Rio_Grande,UKMO,Low,No Change,98.93,3.29,64.24,49.75,6.73,6.25,10.43,0.62,2.1,0,2.6,0,93.54,14.69,8.5,0,116.73,58.06,-3400.78,-0.32,-12.0400000000004,High
Dec 2018,Middle_Rio_Grande,UKMO,Low,No Change,122.54,5.32,64.51,53.25,5.09,6.25,10.44,0.62,2.61,0,2.71,0,114.61,15.03,8.45,0,138.1,59.84,-3405.88,1.78,-5.09999999999991,High
Jan 2019,Middle_Rio_Grande,UKMO,Low,No Change,31.16,0.98,44.28,34.69,4.66,6.25,10.44,0.62,0.66,0,1.85,0,29.52,10.3,8.44,0,48.27,60.05,-3410.38,0.209999999999994,-4.5,High
Feb 2019,Middle_Rio_Grande,UKMO,Low,No Change,17.16,0.54,64.23,50.3,4.04,7.5,10.45,0.62,0.36,0,2.78,0,16.26,15.14,8.59,0,39.99,59.84,-3417.68,-0.209999999999994,-7.29999999999973,High
Mar 2019,Middle_Rio_Grande,UKMO,Low,No Change,82.29,2.99,112.75,87.84,4.04,7.3,10.46,0.62,1.75,0,4.82,0,77.55,26.35,8.73,0,112.63,57.62,-3424.37,-2.22000000000001,-6.69000000000005,High
Apr 2019,Middle_Rio_Grande,UKMO,Low,No Change,74.99,3.16,128.23,95.37,13.7,12.54,10.99,0.62,1.6,0,5.33,0,70.24,29.52,11.61,2.48,113.86,55.46,-3427.64,-2.16,-3.26999999999998,High
May 2019,Middle_Rio_Grande,UKMO,Low,No Change,19.15,0.81,169.43,111.56,48.8,34.32,12.49,0.62,0.41,0,6.57,0,17.93,37.63,20.86,14.58,91,55.38,-3433.56,-0.0799999999999983,-5.92000000000007,High
Jun 2019,Middle_Rio_Grande,UKMO,Low,No Change,324.52,14.31,79.81,50.11,60.65,34.88,12.55,0.62,6.9,0,2.35,0,303.31,15.88,21.44,17.67,358.3,60.86,-3453.03,5.48,-19.4700000000003,High
Jul 2019,Middle_Rio_Grande,UKMO,Low,No Change,509.31,24.84,79.27,73.15,42.23,32.92,12.41,0.62,10.83,0,3.27,0,473.64,18.39,20.88,17.29,530.2,77.12,-3473.37,16.26,-20.3399999999997,High
Aug 2019,Middle_Rio_Grande,UKMO,Low,No Change,594.01,27.03,88.29,94.48,34.83,41.4,12.17,0.62,12.63,0,4.52,0,554.35,22.88,19.15,15.01,611.38,77.33,-3488.35,0.209999999999994,-14.98,High
Sep 2019,Middle_Rio_Grande,UKMO,Low,No Change,376.91,18.34,66.53,64.02,31.78,30.18,12,0.62,8.02,0,3.03,0,350.56,16.22,17.75,11.89,396.42,63.16,-3497.75,-14.17,-9.40000000000009,High
Oct 2019,Middle_Rio_Grande,UKMO,Low,No Change,58.24,3.21,34.91,25.83,21.68,18.81,11.49,0.62,1.24,0,1.42,0,53.79,8.01,14.05,4.67,80.52,58.38,-3509.96,-4.77999999999999,-12.21,High
Nov 2019,Middle_Rio_Grande,UKMO,Low,No Change,93.43,3.9,40.26,32.93,6.77,6.29,10.52,0.62,1.99,0,1.59,0,87.54,9.15,8.59,0,105.29,58.06,-3522.84,-0.32,-12.8800000000001,High
