Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,88.86,1.97,1.13,1.67,3.86,1.03,0.49,0.21,1.65,0,-1.55,0,85.24,0.15,3.04,0,88.43,297.36,1767.18,0,0,High
Feb 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,53.29,1.15,1.04,7.74,3.29,7.58,0.49,0.21,0.99,0,-1.38,0,51.15,0.13,3.54,0,54.82,297.43,1766.99,0.0699999999999932,-0.190000000000055,High
Mar 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,379.05,8.49,5.1,16.54,15.55,12.32,0.49,0.21,7.03,0,-6.82,0,363.52,0.65,4.61,0,368.78,289.88,1766.32,-7.55000000000001,-0.670000000000073,High
Apr 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,38.21,0.78,8.03,21.32,3.19,7.05,0.69,0.21,0.71,0,-9.55,0,36.72,0.9,7.99,4.08,49.69,288.78,1766.25,-1.10000000000002,-0.0699999999999363,High
May 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,226.1,5.13,2.49,50.28,10.96,51.44,0.78,0.21,4.2,0,-2.41,0,216.77,0.23,11.74,14.1,242.85,277.42,1752.86,-11.36,-13.3900000000001,High
Jun 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,78.89,1.74,2.22,46.87,8.82,49.84,0.87,0.21,1.46,0,-2.07,0,75.69,0.18,11.27,18.98,106.12,225.77,1739.97,-51.65,-12.8899999999999,High
Jul 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,1538.35,35.63,6.22,38.14,17.13,6.24,0.72,0.21,28.55,0,-8.31,0,1474.17,1.13,10.24,17.54,1503.08,174.13,1719.73,-51.64,-20.24,High
Aug 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,1549.92,35.47,10.84,37.22,26.54,4.71,0.69,0.21,28.76,0,-14.48,0,1485.68,1.74,7.91,14.76,1510.09,175.29,1721.92,1.16,2.19000000000005,High
Sep 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,863.33,19.96,4.19,37.07,10.2,18.62,0.7,0.21,16.02,0,-5.14,0,827.35,0.65,8.83,12.43,849.26,189.69,1720.96,14.4,-0.960000000000036,High
Oct 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,314.04,7.31,2.05,18.4,4.5,11.08,0.64,0.21,5.83,0,-2.79,0,300.9,0.33,4.09,3.11,308.43,172.92,1718.93,-16.77,-2.02999999999997,High
Nov 2016,Mora-San_Miguel-Guadalupe,GFDL,High,Low,699.48,16,6.35,7.96,22.52,0.33,0.5,0.21,12.98,0,-8.67,0,670.5,0.87,2.08,0,673.46,162.68,1718.43,-10.24,-0.5,High
