Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,309.23,7,2.45,4.32,8.53,0.27,0.44,0.21,5.74,0,-3.48,0,296.49,0.36,3.11,0,299.96,297.36,1769.76,0,0,High
Feb 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,663.01,15.1,6.78,14.71,21.2,5.76,0.44,0.21,12.3,0,-9.19,0,635.61,0.9,3.43,0,639.94,302.72,1771.79,5.36000000000001,2.02999999999997,High
Mar 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,293.77,6.58,4.44,16.24,12.83,12.76,0.44,0.21,5.45,0,-5.85,0,281.74,0.56,5.46,0,287.76,314.96,1774.69,12.24,2.90000000000009,High
Apr 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,83.91,1.74,5.32,21.05,2.44,10.55,0.67,0.21,1.56,0,-6.52,0,80.62,0.64,7.1,2.48,90.84,309.8,1774.07,-5.15999999999997,-0.620000000000118,High
May 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,2035.09,47.37,18.54,54,50.91,17.05,0.53,0.21,37.76,0,-24.54,0,1949.95,2.59,7.5,10.47,1970.51,295.05,1766.16,-14.75,-7.90999999999985,High
Jun 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,467.97,10.93,2.31,51.53,11.94,48.16,0.73,0.21,8.68,0,-2.35,0,448.36,0.27,13.68,16.68,478.99,321.72,1768.61,26.67,2.44999999999982,High
Jul 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1769.39,40.68,11.22,38.35,31.84,5.14,0.65,0.21,32.83,0,-14.99,0,1695.88,1.84,11.35,17.05,1726.11,272.34,1757.75,-49.3800000000001,-10.8599999999999,High
Aug 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,747.92,17.27,3.89,35.66,12.86,23.6,0.7,0.21,13.88,0,-4.29,0,716.77,0.53,11.8,14.36,743.47,288.12,1758.12,15.78,0.369999999999891,High
Sep 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,863.16,20.24,3.1,31.72,10.28,15.61,0.63,0.21,16.02,0,-3.54,0,826.9,0.49,9.81,12.01,849.21,266.06,1752.86,-22.06,-5.25999999999999,High
Oct 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1301.35,30.69,6.04,18.24,26.38,0.37,0.45,0.21,24.15,0,-8.54,0,1246.51,1.01,3.52,1.52,1252.56,251.34,1752.91,-14.72,0.0500000000001819,High
Nov 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,243.61,5.52,3.27,2.48,10.5,0.28,0.44,0.21,4.52,0,-4.32,0,233.57,0.41,2.83,0,236.81,274.07,1766.76,22.73,13.8499999999999,High
Dec 2016,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,229.33,5.33,1.46,3.22,5.68,0.28,0.44,0.21,4.26,0,-2.05,0,219.74,0.22,2.35,0,222.31,281.69,1766.73,7.62,-0.0299999999999727,High
Jan 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,252.48,5.78,1.7,3.38,6.57,0.28,0.44,0.21,4.69,0,-2.45,0,242.02,0.25,2.58,0,244.86,284.97,1768.71,3.28000000000003,1.98000000000002,High
Feb 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,377.77,8.57,4.57,6.51,14.06,1.91,0.44,0.21,7.01,0,-6.11,0,362.19,0.59,3.7,0,366.48,288.9,1770.72,3.92999999999995,2.00999999999999,High
Mar 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,595.1,13.64,5.45,11.37,17.47,3.09,0.44,0.21,11.04,0,-7.4,0,570.42,0.75,4.45,0,575.62,297.58,1771.39,8.68000000000001,0.670000000000073,High
Apr 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,850.62,19.32,12.57,11.92,35.05,0.38,0.46,0.21,15.78,0,-16.31,0,815.52,1.61,5.56,0.37,823.06,307.73,1774.81,10.15,3.41999999999985,High
May 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1676.65,39.16,15.88,56.04,19.28,2.09,0.57,0.21,31.11,0,-20.54,0,1606.38,2.35,8.93,11.4,1629.06,337.09,1773.66,29.36,-1.14999999999986,High
Jun 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,712.3,16.48,4.26,40.87,14.71,30.91,0.73,0.21,13.22,0,-4.45,0,682.6,0.52,15.7,17.67,716.5,345.71,1772.48,8.62,-1.18000000000006,High
Jul 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,833.69,19.25,4.16,33.96,15.89,22.49,0.74,0.21,15.47,0,-4.51,0,798.97,0.56,14.97,17.7,832.2,314.32,1763.05,-31.39,-9.43000000000006,High
Aug 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1481.68,34.22,7.02,34.3,20.44,5.29,0.64,0.21,27.5,0,-9.44,0,1419.96,1.23,10.31,15.19,1446.7,293.27,1755.79,-21.05,-7.25999999999999,High
Sep 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1292.78,29.91,7.63,28.14,22.39,4.15,0.6,0.21,23.99,0,-10.09,0,1238.88,1.25,8.73,11.95,1260.81,298.55,1758.22,5.28000000000003,2.43000000000006,High
Oct 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,572.13,13.32,3.98,18.14,5.94,2.01,0.55,0.21,10.62,0,-5.42,0,548.19,0.65,4.9,2.52,556.26,308.45,1759.78,9.89999999999998,1.55999999999995,High
Nov 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,212.38,4.88,1.96,2.5,7.01,0.28,0.44,0.21,3.94,0,-2.66,0,203.56,0.26,3.32,0,207.15,307.81,1762.12,-0.639999999999986,2.33999999999992,High
Dec 2017,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,204.87,4.68,1.96,2.52,6.81,0.28,0.44,0.21,3.8,0,-2.67,0,196.39,0.26,2.65,0,199.3,311.45,1763.17,3.63999999999999,1.05000000000018,High
Jan 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,191.2,4.31,2.08,2.28,6.95,0.28,0.44,0.21,3.55,0,-2.84,0,183.35,0.27,2.51,0,186.13,315.56,1764.07,4.11000000000001,0.899999999999864,High
Feb 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,196.91,4.48,2.17,4.48,6.97,2.17,0.44,0.21,3.65,0,-2.92,0,188.78,0.28,3.73,0,192.8,319.96,1764.55,4.39999999999998,0.480000000000018,High
Mar 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,221.21,5.02,2.56,6.6,7.9,3.84,0.44,0.21,4.1,0,-3.42,0,212.08,0.33,4.88,0,217.3,321.25,1765.05,1.29000000000002,0.5,High
Apr 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,418.37,9.29,10.94,14.22,19.13,0.83,0.53,0.21,7.76,0,-13.71,0,401.31,1.41,6.62,1.5,410.84,320.67,1765.5,-0.579999999999984,0.450000000000045,High
May 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,86.29,1.96,2.54,34.27,9,36.64,0.76,0.21,1.6,0,-2.33,0,82.73,0.2,12.46,14.7,110.09,332.67,1757.74,12,-7.75999999999999,High
Jun 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,645.54,14.88,3.99,33.86,15.46,26.91,0.75,0.21,11.98,0,-4,0,618.68,0.46,15.01,18.21,652.35,293.12,1741.77,-39.55,-15.97,High
Jul 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1064.9,24.53,5.38,29.86,17.54,11.76,0.72,0.21,19.76,0,-6.56,0,1020.61,0.84,12.75,17.05,1051.25,267.2,1731.01,-25.92,-10.76,High
Aug 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,1755.54,40.61,9.04,34.04,30.81,4.46,0.62,0.21,32.58,0,-12.32,0,1682.35,1.58,9.01,14.96,1707.91,260.74,1726.65,-6.45999999999998,-4.3599999999999,High
Sep 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,612.04,14.06,3.54,27.97,10.09,16.83,0.66,0.21,11.36,0,-4.13,0,586.62,0.49,9.55,11.05,607.72,278.48,1731.53,17.74,4.87999999999988,High
Oct 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,919.69,21.64,5.57,14.53,20.53,1.24,0.55,0.21,17.07,0,-7.53,0,880.99,0.92,4.73,3.91,890.55,262.64,1727.26,-15.84,-4.26999999999998,High
Nov 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,337.06,7.7,3.17,3.87,11.18,0.28,0.45,0.21,6.25,0,-4.32,0,323.1,0.43,2.9,0,326.44,277.55,1732.55,14.91,5.28999999999996,High
Dec 2018,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,458.72,10.69,3.18,6.22,11.86,0.28,0.45,0.21,8.51,0,-4.38,0,439.51,0.46,2.38,0,442.35,285.77,1734.25,8.21999999999997,1.70000000000005,High
Jan 2019,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,172.95,3.91,1.73,2.13,5.94,0.28,0.45,0.21,3.21,0,-2.39,0,165.83,0.23,2.87,0,168.93,295.21,1738.15,9.44,3.90000000000009,High
Feb 2019,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,708.38,16.25,6.38,10.45,20.5,0.5,0.45,0.21,13.15,0,-8.7,0,678.99,0.87,3.18,0,683.03,298.23,1738.73,3.02000000000004,0.579999999999927,High
Mar 2019,Mora-San_Miguel-Guadalupe,MPIM,High,No Change,25.91,0.55,0.84,4.55,1.96,4.14,0.45,0.21,0.48,0,-1.08,0,24.88,0.11,5.21,0,30.2,315.29,1742.95,17.06,4.22000000000003,High
