Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,309.23,7,2.47,4.32,8.63,0.33,0.49,0.21,5.74,0,-3.51,0,296.49,0.36,3.16,0,300.01,297.36,1767.19,0,0,High
Feb 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,663.01,15.1,6.8,14.71,21.31,5.81,0.49,0.21,12.3,0,-9.21,0,635.61,0.91,3.48,0,640,302.77,1769.15,5.40999999999997,1.96000000000004,High
Mar 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,293.77,6.58,4.46,16.24,12.94,12.82,0.49,0.21,5.45,0,-5.87,0,281.74,0.56,5.51,0,287.81,315.06,1771.96,12.29,2.80999999999995,High
Apr 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,83.91,1.74,5.34,21.03,2.49,10.54,0.72,0.21,1.56,0,-6.55,0,80.62,0.64,7.15,2.48,90.89,309.94,1771.27,-5.12,-0.690000000000055,High
May 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,2035.09,47.37,18.56,53.99,51.02,17.1,0.58,0.21,37.76,0,-24.56,0,1949.95,2.59,7.56,10.47,1970.56,295.25,1763.28,-14.69,-7.99000000000001,High
Jun 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,467.97,10.93,2.34,51.52,12.02,48.18,0.78,0.21,8.68,0,-2.37,0,448.36,0.28,13.76,16.68,479.06,321.97,1765.65,26.72,2.37000000000012,High
Jul 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,1769.39,40.68,11.24,38.33,31.95,5.19,0.7,0.21,32.83,0,-15.02,0,1695.88,1.84,11.4,17.05,1726.17,272.63,1754.72,-49.34,-10.9300000000001,High
Aug 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,747.92,17.27,3.92,35.64,12.91,23.58,0.75,0.21,13.88,0,-4.32,0,716.77,0.54,11.86,14.36,743.53,288.47,1755,15.84,0.279999999999973,High
Sep 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,863.16,20.24,3.12,31.71,10.33,15.6,0.68,0.21,16.02,0,-3.57,0,826.9,0.49,9.87,12.01,849.27,266.48,1749.66,-21.99,-5.33999999999992,High
Oct 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,1301.35,30.69,6.06,18.24,26.48,0.41,0.51,0.21,24.15,0,-8.57,0,1246.51,1.01,3.58,1.52,1252.62,251.81,1749.63,-14.67,-0.0299999999999727,High
Nov 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,243.61,5.52,3.29,2.48,10.6,0.33,0.49,0.21,4.52,0,-4.35,0,233.57,0.41,2.88,0,236.86,274.59,1763.4,22.78,13.77,High
Dec 2016,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,229.33,5.33,1.48,3.22,5.78,0.33,0.49,0.21,4.26,0,-2.08,0,219.74,0.22,2.41,0,222.37,282.25,1763.29,7.66000000000003,-0.110000000000127,High
Jan 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,252.48,5.78,1.72,3.38,6.67,0.33,0.49,0.21,4.69,0,-2.48,0,242.02,0.26,2.64,0,244.91,285.58,1765.19,3.32999999999998,1.90000000000009,High
Feb 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,377.77,8.57,4.6,6.5,14.17,1.96,0.49,0.21,7.01,0,-6.14,0,362.19,0.59,3.76,0,366.54,289.56,1767.12,3.98000000000002,1.92999999999984,High
Mar 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,595.1,13.64,5.47,11.36,17.57,3.14,0.49,0.21,11.04,0,-7.43,0,570.42,0.75,4.51,0,575.68,298.29,1767.71,8.73000000000002,0.590000000000146,High
Apr 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,850.62,19.32,12.59,11.91,35.16,0.43,0.51,0.21,15.78,0,-16.34,0,815.52,1.62,5.62,0.37,823.13,308.49,1771.05,10.2,3.33999999999992,High
May 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,1676.65,39.16,15.91,56.91,18.51,2.14,0.62,0.21,31.11,0,-20.57,0,1606.38,2.36,8.99,11.4,1629.12,337.9,1769.82,29.41,-1.23000000000002,High
Jun 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,712.3,16.48,4.28,40.85,14.76,30.89,0.78,0.21,13.22,0,-4.48,0,682.6,0.52,15.75,17.67,716.55,345.69,1768.55,7.79000000000002,-1.26999999999998,High
Jul 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,833.69,19.25,4.19,33.95,15.94,22.48,0.79,0.21,15.47,0,-4.54,0,798.97,0.57,15.02,17.7,832.25,314.38,1759.04,-31.31,-9.50999999999999,High
Aug 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,1481.68,34.22,7.05,34.28,20.56,5.34,0.7,0.21,27.5,0,-9.48,0,1419.96,1.24,10.36,15.19,1446.75,293.4,1751.69,-20.98,-7.34999999999991,High
Sep 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,1292.78,29.91,7.65,28.13,22.51,4.2,0.65,0.21,23.99,0,-10.12,0,1238.88,1.25,8.78,11.95,1260.87,298.75,1754.04,5.35000000000002,2.34999999999991,High
Oct 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,572.13,13.32,4.01,18.13,5.99,2,0.6,0.21,10.62,0,-5.45,0,548.19,0.65,4.95,2.52,556.32,308.71,1755.51,9.95999999999998,1.47000000000003,High
Nov 2017,Mora-San_Miguel-Guadalupe,MPIM,No Change,Low,212.38,4.88,1.98,2.5,7.11,0.33,0.5,0.21,3.94,0,-2.69,0,203.56,0.27,3.38,0,207.21,308.14,1757.77,-0.569999999999993,2.25999999999999,High
