Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,252.9,5.72,2.75,3.55,8.84,0.54,0.48,0.21,4.69,0,-3.75,0,242.49,0.36,2.7,0,245.56,297.36,1767.39,0,0,Low
Feb 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,284.53,6.52,2.71,10.68,8.77,6.9,0.48,0.21,5.28,0,-3.69,0,272.73,0.37,3.14,0,276.24,303.23,1768.07,5.87,0.679999999999836,Low
Mar 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,174.38,3.93,2.31,15.02,6.99,13.01,0.48,0.21,3.24,0,-3.07,0,167.21,0.3,5.26,0,172.77,302.23,1769.39,-1,1.32000000000016,Low
Apr 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,347.45,8.08,8.68,13.2,13.93,0.84,0.55,0.21,6.45,0,-10.61,0,332.92,1.08,6.75,2.55,343.3,291.22,1769.28,-11.01,-0.110000000000127,Low
May 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,94.28,2.11,1.72,41.24,6.56,42.5,0.67,0.21,1.75,0,-1.62,0,90.42,0.15,10.61,15.05,116.23,297.9,1762.23,6.67999999999995,-7.04999999999995,Low
Jun 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,566.01,12.9,4.03,36.2,9.66,24.78,0.68,0.21,10.5,0,-4.69,0,542.61,0.54,11.84,18.39,573.37,251.81,1746.85,-46.09,-15.3800000000001,Low
Jul 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,706.34,16.23,3.48,28.66,10.09,15.44,0.68,0.21,13.11,0,-4.12,0,677,0.52,11.48,19.01,708.02,225.32,1733.82,-26.49,-13.03,Low
Aug 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1342.74,31.16,5.76,31.97,15.59,3.79,0.61,0.21,24.92,0,-7.91,0,1286.66,1.06,7.96,15.75,1311.44,208.95,1723.32,-16.37,-10.5,Low
Sep 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1475.01,34.5,7.16,27.31,25.34,2.37,0.56,0.21,27.37,0,-9.85,0,1413.14,1.22,6.02,11.63,1432.01,213.19,1724.17,4.24000000000001,0.850000000000136,Low
Oct 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1054,24.96,4.1,17.96,16.73,0.58,0.52,0.21,19.56,0,-5.85,0,1009.49,0.8,3.7,2.59,1016.58,230.49,1729.72,17.3,5.54999999999995,Low
Nov 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,491.44,11.23,4.79,5.54,16.67,0.32,0.49,0.21,9.12,0,-6.51,0,471.09,0.64,2.4,0,474.13,243.23,1740.54,12.74,10.8199999999999,Low
Dec 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,356.93,8.14,3.48,4.31,11.9,0.32,0.49,0.21,6.62,0,-4.74,0,342.17,0.47,2.42,0,345.05,257.46,1742.88,14.23,2.34000000000015,Low
Jan 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,447.04,10.24,3.08,5.83,11.74,0.32,0.49,0.21,8.3,0,-4.39,0,428.5,0.46,2.13,0,431.08,266.89,1744.49,9.43000000000001,1.6099999999999,Low
Feb 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,261.72,6.01,2.18,5.99,7.37,2.47,0.49,0.21,4.86,0,-3.01,0,250.85,0.3,2.99,0,254.15,276.46,1748.13,9.56999999999999,3.6400000000001,Low
Mar 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1163.27,27.01,7.07,20.05,24.56,1.64,0.49,0.21,21.59,0,-9.97,0,1114.68,1.08,4.8,0,1120.56,278.65,1749.7,2.19,1.56999999999994,Low
Apr 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1822.88,42.04,13.77,24.61,48.55,0.33,0.49,0.21,33.83,0,-19.02,0,1747.01,2.01,5.87,1.1,1755.99,297.04,1761.04,18.39,11.3399999999999,Low
May 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,363.11,8.15,10.84,23.86,19.33,12.35,0.65,0.21,6.74,0,-13.18,0,348.22,1.31,9.7,11.18,370.42,339.66,1774.47,42.62,13.4300000000001,Low
Jun 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,980.41,22.5,6.67,30.97,13.45,7.71,0.65,0.21,18.19,0,-8.57,0,939.72,1.02,12.48,17.89,971.11,337.38,1756.41,-2.28000000000003,-18.0599999999999,Low
Jul 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,835.75,19.15,4.55,27.19,10.62,9.06,0.67,0.21,15.51,0,-5.76,0,801.09,0.72,12.79,18.01,832.62,331.07,1747.71,-6.31,-8.70000000000005,Low
Aug 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1621.87,37.79,8.02,28.84,29.73,3.15,0.6,0.21,30.1,0,-10.96,0,1553.98,1.36,8.94,14.98,1579.27,320.3,1738.99,-10.77,-8.72000000000003,Low
Sep 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,549.18,12.73,2.84,22.19,7.23,10.92,0.62,0.21,10.19,0,-3.35,0,526.26,0.42,9.21,11.83,547.71,338.32,1742.75,18.02,3.75999999999999,Low
Oct 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,114.74,2.55,1.59,10.09,2.41,6.48,0.59,0.21,2.13,0,-2.12,0,110.06,0.23,5.1,2.85,118.24,325.82,1737.36,-12.5,-5.3900000000001,Low
Nov 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,281.7,6.47,2.66,3.23,9.48,0.32,0.49,0.21,5.23,0,-3.61,0,270,0.36,2.97,0,273.33,317.03,1734.14,-8.79000000000002,-3.2199999999998,Low
Dec 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,36.94,0.8,0.75,0.43,2.33,0.31,0.49,0.21,0.69,0,-0.99,0,35.45,0.09,2.47,0,38.02,323.49,1735.49,6.46000000000004,1.34999999999991,Low
Jan 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,96.83,2.22,0.8,1.34,3.01,0.32,0.49,0.21,1.8,0,-1.12,0,92.81,0.11,2.48,0,95.4,323.32,1734.9,-0.170000000000016,-0.589999999999918,Low
Feb 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,250.19,5.8,1.78,4.78,6.27,1.26,0.49,0.21,4.64,0,-2.47,0,239.75,0.26,3.51,0,243.51,323.8,1735.3,0.480000000000018,0.399999999999864,Low
Mar 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,260.55,5.85,4.25,5.24,12.55,2.66,0.49,0.21,4.83,0,-5.54,0,249.86,0.52,5.03,0,255.41,325.59,1737.19,1.78999999999996,1.8900000000001,Low
Apr 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,598.42,13.75,11.28,25.95,12.46,0.72,0.54,0.21,11.1,0,-14.14,0,573.56,1.48,6.85,2.27,584.15,330.72,1736.2,5.13000000000005,-0.990000000000009,Low
May 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,383.96,8.99,1.89,25.45,8.05,20.96,0.65,0.21,7.13,0,-1.9,0,367.84,0.23,11.84,15.43,395.34,335.95,1730.57,5.22999999999996,-5.63000000000011,Low
Jun 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1354.16,30.96,12.74,26.47,35.68,3.78,0.64,0.21,25.13,0,-16.54,0,1298.07,1.87,11.14,17.93,1329.01,311.65,1719.93,-24.3,-10.6399999999999,Low
Jul 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,711.22,16.45,3.22,26.88,11.08,15.03,0.68,0.21,13.2,0,-3.74,0,681.58,0.48,13.5,18.69,714.25,332.84,1710.16,21.19,-9.76999999999998,Low
Aug 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1765.22,40.64,11.42,32.1,36.55,2.92,0.6,0.21,32.76,0,-15.59,0,1691.83,1.91,8.88,15.65,1718.27,315.86,1700.46,-16.98,-9.70000000000005,Low
Sep 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,1143.99,26.6,5.7,28.93,13.13,3.08,0.59,0.21,21.23,0,-7.68,0,1096.16,0.99,8.55,12.19,1117.89,341,1701.59,25.14,1.12999999999988,Low
Oct 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,33.12,0.78,0.42,10.43,1.65,10.43,0.59,0.21,0.61,0,-0.51,0,31.73,0.05,5.28,3.02,40.08,342.89,1702.57,1.88999999999999,0.980000000000018,Low
Nov 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,75.25,1.68,1.22,0.7,3.99,0.33,0.49,0.21,1.4,0,-1.62,0,72.18,0.15,3.35,0,75.67,329.21,1699.26,-13.68,-3.30999999999995,Low
Dec 2018,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,214.38,4.89,2.35,2.52,7.91,0.33,0.49,0.21,3.98,0,-3.17,0,205.52,0.31,3.05,0,208.87,329.81,1698.76,0.600000000000023,-0.5,Low
Jan 2019,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,46.83,1.02,1.07,0.57,3.18,0.38,0.49,0.21,0.87,0,-1.4,0,44.94,0.13,2.81,0,47.87,334.63,1699.29,4.81999999999999,0.529999999999973,Low
Feb 2019,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,18.31,0.38,0.76,2,2.04,2,0.49,0.21,0.34,0,-0.97,0,17.6,0.09,3.99,0,21.67,334.9,1698.48,0.269999999999982,-0.809999999999945,Low
Mar 2019,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,138.28,3.1,2.11,5.06,5.77,3.11,0.49,0.21,2.57,0,-2.78,0,132.61,0.27,5.4,0,138.28,331.22,1697.57,-3.67999999999995,-0.910000000000082,Low
Apr 2019,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,398.22,9.31,8.1,13.12,14.35,1.11,0.61,0.21,7.39,0,-9.98,0,381.52,1.03,7.23,3.57,393.34,328.76,1697.07,-2.46000000000004,-0.5,Low
May 2019,Mora-San_Miguel-Guadalupe,UKMO,Low,Low,170.66,3.95,1.7,23.48,7.53,23.9,0.67,0.21,3.17,0,-1.63,0,163.54,0.16,11.7,15.68,191.08,335.17,1690.51,6.41000000000003,-6.55999999999995,Low
