Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,252.9,5.72,2.73,3.56,8.74,0.48,0.43,0.21,4.69,0,-3.72,0,242.49,0.36,2.65,0,245.5,297.36,1769.96,0,0,High
Feb 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,284.53,6.52,2.69,10.68,8.66,6.84,0.43,0.21,5.28,0,-3.66,0,272.73,0.36,3.09,0,276.19,303.18,1770.72,5.81999999999999,0.759999999999991,High
Mar 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,174.38,3.93,2.28,15.11,6.74,12.9,0.43,0.21,3.24,0,-3.04,0,167.21,0.3,5.21,0,172.72,302.13,1772.12,-1.05000000000001,1.39999999999986,High
Apr 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,347.45,8.08,8.83,19.48,8.27,1.14,0.54,0.21,6.45,0,-10.8,0,332.92,1.1,6.97,2.55,343.54,290.98,1772.1,-11.15,-0.0199999999999818,High
May 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,94.28,2.11,1.82,50.74,7.81,53.07,0.74,0.21,1.75,0,-1.71,0,90.42,0.15,11.07,15.05,116.69,291.47,1764.87,0.490000000000009,-7.23000000000002,High
Jun 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,566.01,12.9,4.22,47.05,15.82,41.95,0.75,0.21,10.5,0,-4.26,0,542.61,0.47,14.29,18.39,575.75,235.67,1749.34,-55.8,-15.53,High
Jul 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,706.34,16.23,3.71,40.27,15.88,32.86,0.76,0.21,13.11,0,-3.82,0,677,0.46,13.48,19.01,709.95,195.79,1736.66,-39.88,-12.6799999999998,High
Aug 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,1342.74,31.16,5.13,40.49,12.16,10.54,0.64,0.21,24.92,0,-6.75,0,1286.66,0.93,9.04,15.75,1312.38,165.88,1726.39,-29.91,-10.27,High
Sep 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,1475.01,34.5,5.97,30.66,20.55,3.69,0.55,0.21,27.37,0,-8.15,0,1413.14,1.1,6.32,11.63,1432.18,158.89,1728.37,-6.99000000000001,1.97999999999979,High
Oct 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,1054,24.96,4.07,22.37,12.39,0.71,0.48,0.21,19.56,0,-5.82,0,1009.49,0.8,3.19,2.59,1016.07,169.77,1735.62,10.88,7.25,High
Nov 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,491.44,11.23,4.77,5.61,16.49,0.27,0.43,0.21,9.12,0,-6.48,0,471.09,0.64,1.97,0,473.71,178.54,1746.5,8.76999999999998,10.8800000000001,High
Dec 2016,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,356.93,8.14,3.45,4.37,11.74,0.27,0.43,0.21,6.62,0,-4.71,0,342.17,0.47,2.01,0,344.64,193,1748.92,14.46,2.42000000000007,High
Jan 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,447.04,10.24,3.05,5.92,11.55,0.27,0.43,0.21,8.3,0,-4.36,0,428.5,0.46,1.76,0,430.72,202.68,1750.62,9.68000000000001,1.69999999999982,High
Feb 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,261.72,6.01,2.16,6.05,7.19,2.39,0.43,0.21,4.86,0,-2.98,0,250.85,0.3,2.48,0,253.63,212.42,1754.34,9.73999999999998,3.72000000000003,High
Mar 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,1163.27,27.01,7.05,20.28,24.11,1.48,0.43,0.21,21.59,0,-9.94,0,1114.68,1.08,3.98,0,1119.74,214.96,1756,2.54000000000002,1.66000000000008,High
Apr 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,1822.88,42.04,14.09,25.88,47.82,0.29,0.44,0.21,33.83,0,-19.36,0,1747.01,2.08,4.87,1.1,1755.06,233.83,1767.43,18.87,11.4300000000001,High
May 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,363.11,8.15,10,33.03,10.96,14.98,0.7,0.21,6.74,0,-12.05,0,348.22,1.19,10.04,11.18,370.64,276.71,1780.58,42.88,13.1499999999999,High
Jun 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,980.41,22.5,5.58,41.32,12.84,20.12,0.7,0.21,18.19,0,-6.78,0,939.72,0.83,13.26,17.89,971.69,263.13,1763.6,-13.58,-16.98,High
Jul 2017,Mora-San_Miguel-Guadalupe,UKMO,Low,No Change,835.75,19.15,4.75,38.81,15.96,26.12,0.74,0.21,15.51,0,-5.4,0,801.09,0.65,13.59,18.01,833.34,243.07,1756.64,-20.06,-6.95999999999981,High
