Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 1975,Northeast,Historical,Historical,Historical,269.08,1.76,0,0.48,2.14,0.59,1.67,1,0.49,0,-0.31,0,266.83,0.03,2.26,0,269.12,89.25,0,0,0,Historical
Feb 1975,Northeast,Historical,Historical,Historical,442.54,2.04,0,0.92,1.96,0.59,1.67,1,0.54,0,-0.31,0,439.96,0.05,2.18,0,442.19,89.21,-0.48,-0.0400000000000063,-0.48,Historical
Mar 1975,Northeast,Historical,Historical,Historical,265.05,1.38,0,0.32,1.9,0.59,1.67,1,0.41,0,-0.31,0,263.26,0.05,2.8,0,266.11,89.07,-0.91,-0.140000000000001,-0.43,Historical
Apr 1975,Northeast,Historical,Historical,Historical,650.76,0.2,1.34,0.44,3.55,2.2,11.03,3.44,0.47,0,-0.33,0,650.1,0.08,10.39,0.29,660.86,88.25,-1.47,-0.819999999999993,-0.56,Historical
May 1975,Northeast,Historical,Historical,Historical,768.14,0.93,16.33,0.42,28.65,18.4,121.74,33.42,5.16,0,6.51,0,762.05,0.09,99.27,4.89,866.31,86.79,-9.21,-1.45999999999999,-7.74,Historical
Jun 1975,Northeast,Historical,Historical,Historical,1172.76,10.82,8.79,3.01,38.1,20.86,136.4,37.4,8.32,0,-0.94,0,1153.62,0.3,111.07,5.8,1270.78,86.08,-90.76,-0.710000000000008,-81.55,Historical
Jul 1975,Northeast,Historical,Historical,Historical,2159.84,10.69,5.5,6.42,22.04,11.6,76.2,21.6,8.04,0,-0.95,0,2141.11,0.28,63.1,5.48,2209.97,91.25,-188.17,5.17,-97.41,Historical
Aug 1975,Northeast,Historical,Historical,Historical,1038.41,2.68,12.67,3.9,31.66,20.48,138.47,37.98,6.22,0,0.02,0,1029.51,0.25,112.58,5.41,1147.75,93.18,-241.16,1.93000000000001,-52.99,Historical
Sep 1975,Northeast,Historical,Historical,Historical,1308.27,0.97,9.26,0.53,19.94,12.95,87.18,24.32,4.12,0,2.62,0,1303.17,0.09,71.22,3.84,1378.32,92.28,-340.83,-0.900000000000006,-99.67,Historical
Oct 1975,Northeast,Historical,Historical,Historical,10.09,0.21,6.98,0.14,16.63,11.14,66.93,18.44,1.52,0,1.55,0,8.35,0.02,55.5,1.4,65.27,90.9,-400.78,-1.38,-59.95,Historical
