Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northeast,NCAR,High,High,10.77,0.06,0.04,0.11,0.05,0.41,2.22,0.9,0.04,0,0.34,0,10.67,0,4.34,0,15.01,194.18,-17720.67,0,0,No Change
Feb 2016,Northeast,NCAR,High,High,513.69,3.07,1.35,3.64,0.78,0.41,2.22,0.9,1.84,0,0.37,0,508.77,0.04,3.86,0,512.68,190.8,-17721.61,-3.38,-0.940000000002328,No Change
Mar 2016,Northeast,NCAR,High,High,83.79,0.42,0.58,0.63,0.8,0.81,7.9,2.37,0.3,0,0.37,0,83.07,0.01,9.22,0.07,92.38,188.62,-17720.71,-2.18000000000001,0.900000000001455,No Change
Apr 2016,Northeast,NCAR,High,High,894.52,5.31,6.01,7.52,9.56,6.56,92.62,24.69,3.21,0,0.68,0,886,0.13,73.21,1.71,961.04,184.92,-17725.64,-3.70000000000002,-4.93000000000029,No Change
May 2016,Northeast,NCAR,High,High,1390.65,7.51,12.93,10.13,17.69,8.86,97.37,25.95,4.99,0,1.25,0,1378.15,0.23,78.34,5.2,1461.92,182.63,-17791.39,-2.28999999999999,-65.75,No Change
Jun 2016,Northeast,NCAR,High,High,1704.4,9.18,15.44,12.83,21.54,11.49,104.76,27.87,6.12,0,1.46,0,1689.11,0.28,84.84,6.08,1780.31,184.55,-17861.77,1.92000000000002,-70.380000000001,No Change
Jul 2016,Northeast,NCAR,High,High,2586.33,14.9,11.37,17.59,16.37,8.86,84.32,22.6,9.28,0,0.88,0,2562.15,0.29,69.17,6.13,2637.74,186.65,-17937.16,2.09999999999999,-75.3899999999994,No Change
Aug 2016,Northeast,NCAR,High,High,2582.72,14.63,10.16,15.71,15.29,7.22,69.55,18.67,9.27,0,0.73,0,2558.82,0.29,57.09,4.98,2621.18,186.71,-17994.85,0.0600000000000023,-57.6899999999987,No Change
Sep 2016,Northeast,NCAR,High,High,2141.7,11.81,8.84,15.09,10.72,6.14,52.8,14.2,7.69,0,0.74,0,2122.21,0.23,44.16,4.06,2170.65,188.56,-18040.71,1.84999999999999,-45.8600000000006,No Change
Oct 2016,Northeast,NCAR,High,High,102.27,0.54,14.61,9.68,13.57,9.97,108.51,28.9,0.37,0,1.7,0,101.36,0.18,86.17,2.28,189.99,187.57,-18074.93,-0.990000000000009,-34.2200000000012,No Change
Nov 2016,Northeast,NCAR,High,High,210.95,1.28,0.7,1.32,1.11,0.84,5.82,1.84,0.76,0,0.36,0,208.91,0.02,6.87,0.04,215.84,184.62,-18154.77,-2.94999999999999,-79.8400000000001,No Change
Dec 2016,Northeast,NCAR,High,High,54.7,0.27,0.12,0.38,0.09,0.41,2.22,0.9,0.2,0,0.34,0,54.23,0.01,3.1,0,57.33,182.01,-18157.66,-2.61000000000001,-2.88999999999942,No Change
Jan 2017,Northeast,NCAR,High,High,278.64,1.64,0.88,1.52,1.02,0.41,2.22,0.9,1,0,0.37,0,276,0.03,3.59,0,279.62,179.91,-18158.45,-2.09999999999999,-0.790000000000873,No Change
