Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northwest,GFDL,No Change,High,274.15,0.72,0,1.01,0.03,0.1,1.36,0.05,0.41,0,-0.22,0,273.03,0,1.25,0,274.27,0,-703.44,0,0,No Change
Feb 2016,Northwest,GFDL,No Change,High,58.64,0.04,0,0.33,0.03,0.1,1.36,0.05,0.09,0,-0.23,0,58.52,0,1.25,0,59.76,0,-704.58,0,-1.13999999999999,No Change
Mar 2016,Northwest,GFDL,No Change,High,244.43,0.74,0,1.03,0.03,0.1,1.36,0.05,0.36,0,-0.23,0,243.33,0,1.25,0,244.58,0,-706.03,0,-1.44999999999993,No Change
Apr 2016,Northwest,GFDL,No Change,High,25.57,0.01,0,0.23,0.03,0.1,1.36,0.05,0.04,0,-0.15,0,25.52,0,1.25,0.01,26.79,0,-707.21,0,-1.18000000000006,No Change
May 2016,Northwest,GFDL,No Change,High,111.44,0.21,0,0.5,0.14,0.2,1.54,0.07,0.16,0,-0.23,0,111.06,0,1.41,0.74,113.2,0,-708.65,0,-1.43999999999994,No Change
Jun 2016,Northwest,GFDL,No Change,High,25.04,0,0,0.22,0.06,0.18,1.6,0.06,0.04,0,-0.1,0,25,0,1.41,0.96,27.38,0,-710.92,0,-2.26999999999998,No Change
Jul 2016,Northwest,GFDL,No Change,High,1098.25,3.25,0,3.53,0.12,0.18,1.51,0.07,1.62,0,-0.23,0,1093.38,0.01,1.38,0.94,1095.71,0,-713.48,0,-2.56000000000006,No Change
Aug 2016,Northwest,GFDL,No Change,High,1100.22,3.28,0,3.56,0.1,0.17,1.49,0.06,1.63,0,-0.22,0,1095.31,0.01,1.36,0.8,1097.49,0,-714.47,0,-0.990000000000009,No Change
Sep 2016,Northwest,GFDL,No Change,High,1070.15,3.22,0,3.5,0.08,0.15,1.45,0.06,1.58,0,-0.22,0,1065.34,0.01,1.33,0.63,1067.31,0,-715.29,0,-0.819999999999936,No Change
Oct 2016,Northwest,GFDL,No Change,High,379.46,1.07,0,1.36,0.04,0.1,1.37,0.05,0.56,0,-0.23,0,377.83,0,1.26,0.05,379.14,0,-715.96,0,-0.670000000000073,No Change
Nov 2016,Northwest,GFDL,No Change,High,806.09,2.62,0,2.92,0.03,0.1,1.36,0.05,1.19,0,-0.23,0,802.27,0,1.25,0,803.53,0,-717,0,-1.03999999999996,No Change
