Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northwest,GFDL,Low,No Change,274.15,0.73,0,1.03,0.03,0.12,1.52,0.05,0.41,0,-0.22,0,273.02,0,1.39,0,274.41,0,-711.44,0,0,Low
Feb 2016,Northwest,GFDL,Low,No Change,58.64,0.04,0,0.35,0.03,0.12,1.52,0.05,0.09,0,-0.22,0,58.51,0,1.39,0,59.91,0,-712.73,0,-1.28999999999996,Low
Mar 2016,Northwest,GFDL,Low,No Change,244.43,0.75,0,1.06,0.03,0.12,1.53,0.05,0.36,0,-0.22,0,243.32,0,1.39,0,244.72,0,-714.35,0,-1.62,Low
Apr 2016,Northwest,GFDL,Low,No Change,25.57,0.01,0,0.25,0.04,0.12,1.53,0.05,0.04,0,-0.16,0,25.52,0,1.39,0.01,26.93,0,-715.69,0,-1.34000000000003,Low
May 2016,Northwest,GFDL,Low,No Change,111.44,0.22,0,0.53,0.11,0.2,1.66,0.06,0.16,0,-0.23,0,111.05,0,1.51,0.74,113.3,0,-717.3,0,-1.6099999999999,Low
Jun 2016,Northwest,GFDL,Low,No Change,25.04,0,0,0.23,0.06,0.18,1.7,0.06,0.04,0,-0.11,0,25,0,1.52,0.96,27.48,0,-719.7,0,-2.40000000000009,Low
Jul 2016,Northwest,GFDL,Low,No Change,1098.25,3.26,0,3.56,0.1,0.19,1.64,0.06,1.62,0,-0.22,0,1093.37,0.01,1.49,0.94,1095.82,0,-722.38,0,-2.67999999999995,Low
Aug 2016,Northwest,GFDL,Low,No Change,1100.22,3.28,0,3.58,0.09,0.17,1.62,0.06,1.63,0,-0.22,0,1095.31,0.01,1.48,0.8,1097.6,0,-723.49,0,-1.11000000000001,Low
Sep 2016,Northwest,GFDL,Low,No Change,1070.15,3.23,0,3.52,0.07,0.16,1.6,0.05,1.58,0,-0.22,0,1065.34,0.01,1.45,0.63,1067.43,0,-724.45,0,-0.960000000000036,Low
Oct 2016,Northwest,GFDL,Low,No Change,379.46,1.07,0,1.38,0.04,0.13,1.54,0.05,0.56,0,-0.22,0,377.83,0,1.4,0.05,379.28,0,-725.26,0,-0.809999999999945,Low
Nov 2016,Northwest,GFDL,Low,No Change,806.09,2.63,0,2.94,0.03,0.12,1.53,0.05,1.19,0,-0.23,0,802.27,0,1.4,0,803.67,0,-726.46,0,-1.20000000000005,Low
Dec 2016,Northwest,GFDL,Low,No Change,101.96,0.15,0,0.47,0.03,0.12,1.53,0.05,0.15,0,-0.23,0,101.66,0,1.4,0,103.05,0,-726.98,0,-0.519999999999982,Low
Jan 2017,Northwest,GFDL,Low,No Change,618.94,1.88,0,2.2,0.03,0.12,1.53,0.05,0.92,0,-0.24,0,616.15,0,1.4,0,617.55,0,-728.55,0,-1.56999999999994,Low
Feb 2017,Northwest,GFDL,Low,No Change,352.97,0.98,0,1.3,0.03,0.12,1.53,0.05,0.52,0,-0.24,0,351.47,0,1.4,0,352.87,0,-729.36,0,-0.810000000000059,Low
Mar 2017,Northwest,GFDL,Low,No Change,773.35,2.48,0,2.8,0.03,0.12,1.53,0.05,1.14,0,-0.24,0,769.72,0.01,1.4,0,771.13,0,-730.56,0,-1.19999999999993,Low
Apr 2017,Northwest,GFDL,Low,No Change,219.04,0.65,0,0.98,0.03,0.12,1.53,0.05,0.32,0,-0.25,0,218.07,0,1.4,0,219.47,0,-731.15,0,-0.590000000000032,Low
May 2017,Northwest,GFDL,Low,No Change,195.01,0.49,0,0.82,0.06,0.15,1.58,0.05,0.29,0,-0.25,0,194.24,0,1.44,0.33,196.01,0,-732.56,0,-1.40999999999997,Low
Jun 2017,Northwest,GFDL,Low,No Change,219.16,0.47,0,0.8,0.12,0.21,1.69,0.07,0.32,0,-0.25,0,218.37,0,1.54,0.93,220.83,0,-734.38,0,-1.82000000000005,Low
Jul 2017,Northwest,GFDL,Low,No Change,1043.33,3.05,0,3.37,0.1,0.19,1.65,0.06,1.54,0,-0.25,0,1038.74,0.01,1.5,0.91,1041.15,0,-736.86,0,-2.48000000000002,Low
Aug 2017,Northwest,GFDL,Low,No Change,1044.44,3.09,0,3.43,0.09,0.18,1.64,0.06,1.55,0,-0.26,0,1039.8,0.01,1.49,0.82,1042.12,0,-738.06,0,-1.19999999999993,Low
Sep 2017,Northwest,GFDL,Low,No Change,735.66,2.13,0,2.48,0.09,0.17,1.63,0.06,1.09,0,-0.26,0,732.44,0.01,1.48,0.64,734.57,0,-739.17,0,-1.11000000000001,Low
Oct 2017,Northwest,GFDL,Low,No Change,818.89,2.45,0,2.81,0.03,0.12,1.54,0.05,1.21,0,-0.27,0,815.23,0,1.4,0,816.64,0,-740.55,0,-1.38,Low
Nov 2017,Northwest,GFDL,Low,No Change,283.11,0.81,0,1.17,0.03,0.12,1.54,0.05,0.42,0,-0.27,0,281.88,0,1.4,0,283.28,0,-741.1,0,-0.550000000000068,Low
Dec 2017,Northwest,GFDL,Low,No Change,111.29,0.09,0,0.46,0.03,0.12,1.54,0.05,0.16,0,-0.28,0,111.03,0,1.4,0,112.44,0,-742.45,0,-1.35000000000002,Low
Jan 2018,Northwest,GFDL,Low,No Change,344.22,0.87,0,1.23,0.03,0.12,1.54,0.05,0.51,0,-0.28,0,342.85,0,1.4,0,344.26,0,-744.05,0,-1.59999999999991,Low
Feb 2018,Northwest,GFDL,Low,No Change,200.02,0.41,0,0.77,0.03,0.12,1.54,0.05,0.3,0,-0.28,0,199.32,0,1.41,0,200.72,0,-745.31,0,-1.25999999999999,Low
