Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northwest,UKMO,High,No Change,261.76,0.69,0,1.01,0.03,0.12,1.55,0.05,0.39,0,-0.22,0,260.67,0,1.41,0,262.09,0,-711.26,0,0,No Change
Feb 2016,Northwest,UKMO,High,No Change,259.4,0.68,0,0.99,0.03,0.12,1.55,0.05,0.38,0,-0.22,0,258.33,0,1.41,0,259.75,0,-712.6,0,-1.34000000000003,No Change
Mar 2016,Northwest,UKMO,High,No Change,230.16,0.72,0,1.03,0.03,0.12,1.55,0.05,0.34,0,-0.23,0,229.1,0,1.41,0,230.51,0,-713.94,0,-1.34000000000003,No Change
Apr 2016,Northwest,UKMO,High,No Change,68.75,0.06,0,0.38,0.04,0.12,1.55,0.05,0.1,0,-0.23,0,68.59,0,1.42,0.01,70.02,0,-715.33,0,-1.38999999999999,No Change
May 2016,Northwest,UKMO,High,No Change,4.86,0,0,0.19,0.05,0.19,1.76,0.06,0.01,0,-0.05,0,4.85,0,1.56,0.83,7.24,0,-716.97,0,-1.63999999999999,No Change
Jun 2016,Northwest,UKMO,High,No Change,126.66,0.24,0,0.55,0.16,0.25,1.79,0.08,0.19,0,-0.23,0,126.23,0,1.62,1,128.86,0,-719.54,0,-2.56999999999994,No Change
Jul 2016,Northwest,UKMO,High,No Change,668.26,1.96,0,2.26,0.15,0.24,1.76,0.07,0.99,0,-0.23,0,665.32,0.01,1.6,1.02,667.94,0,-722.29,0,-2.75,No Change
Aug 2016,Northwest,UKMO,High,No Change,839.08,2.41,0,2.71,0.12,0.21,1.71,0.07,1.24,0,-0.22,0,835.43,0.01,1.55,0.84,837.83,0,-724.23,0,-1.94000000000005,No Change
Sep 2016,Northwest,UKMO,High,No Change,1073,3.16,0,3.45,0.09,0.18,1.65,0.06,1.59,0,-0.21,0,1068.25,0.01,1.5,0.64,1070.4,0,-725.68,0,-1.44999999999993,No Change
Oct 2016,Northwest,UKMO,High,No Change,1019.02,2.93,0,3.24,0.04,0.13,1.56,0.05,1.51,0,-0.22,0,1014.58,0.01,1.42,0.02,1016.02,0,-726.53,0,-0.850000000000023,No Change
