Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northwest,UKMO,Low,No Change,261.76,0.69,0,1,0.03,0.12,1.52,0.05,0.39,0,-0.22,0,260.67,0,1.39,0,262.07,0,-711.26,0,0,No Change
Feb 2016,Northwest,UKMO,Low,No Change,259.4,0.68,0,0.99,0.03,0.12,1.52,0.05,0.38,0,-0.22,0,258.33,0,1.39,0,259.73,0,-712.57,0,-1.31000000000006,No Change
Mar 2016,Northwest,UKMO,Low,No Change,230.16,0.72,0,1.03,0.03,0.12,1.53,0.05,0.34,0,-0.23,0,229.1,0,1.39,0,230.49,0,-713.89,0,-1.31999999999994,No Change
Apr 2016,Northwest,UKMO,Low,No Change,68.75,0.06,0,0.38,0.04,0.12,1.53,0.05,0.1,0,-0.23,0,68.59,0,1.39,0.01,69.99,0,-715.26,0,-1.37,No Change
May 2016,Northwest,UKMO,Low,No Change,4.86,0,0,0.18,0.05,0.19,1.73,0.06,0.01,0,-0.05,0,4.85,0,1.54,0.83,7.21,0,-716.87,0,-1.61000000000001,No Change
Jun 2016,Northwest,UKMO,Low,No Change,126.66,0.24,0,0.55,0.16,0.25,1.76,0.08,0.19,0,-0.23,0,126.23,0,1.59,1,128.83,0,-719.41,0,-2.53999999999996,No Change
Jul 2016,Northwest,UKMO,Low,No Change,668.26,1.96,0,2.26,0.15,0.24,1.73,0.07,0.99,0,-0.23,0,665.32,0.01,1.57,1.02,667.92,0,-722.14,0,-2.73000000000002,No Change
Aug 2016,Northwest,UKMO,Low,No Change,839.08,2.41,0,2.71,0.12,0.21,1.68,0.07,1.24,0,-0.22,0,835.43,0.01,1.53,0.84,837.81,0,-724.05,0,-1.90999999999997,No Change
Sep 2016,Northwest,UKMO,Low,No Change,1073,3.16,0,3.45,0.09,0.17,1.62,0.06,1.59,0,-0.21,0,1068.25,0.01,1.47,0.64,1070.37,0,-725.48,0,-1.43000000000006,No Change
Oct 2016,Northwest,UKMO,Low,No Change,1019.02,2.93,0,3.24,0.03,0.12,1.53,0.05,1.51,0,-0.22,0,1014.58,0.01,1.4,0.02,1016,0,-726.3,0,-0.819999999999936,No Change
