Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Chama,GFDL,No Change,High,176.8,1.8,0,5.43,0.59,3.31,0.09,0.02,15.18,0,-13.65,0,159.83,12.74,0.79,0,173.36,268.76,1008.29,0,0,No Change
Feb 2016,Rio_Chama,GFDL,No Change,High,113.25,4.28,0,5.85,0.76,3.22,0.09,0.02,9.72,0,-13.34,0,99.24,14.22,1,0,114.46,265.32,1009.74,-3.44,1.45000000000005,No Change
Mar 2016,Rio_Chama,GFDL,No Change,High,395.25,22.07,1.73,12.28,4.47,0.36,0.09,0.02,33.93,0,-12.46,0,339.26,19.86,1.31,0,360.44,261.94,1006.05,-3.38,-3.69000000000005,No Change
Apr 2016,Rio_Chama,GFDL,No Change,High,59.05,52.86,8.63,24.45,20.2,0.03,0.09,0.02,5.07,0,-11.84,0,1.13,28.7,2.53,0,32.36,264.8,1027.45,2.86000000000001,21.4000000000001,No Change
May 2016,Rio_Chama,GFDL,No Change,High,79.55,160.67,18.74,72.22,86,0.26,0.1,0.02,6.83,0,-12.31,0,-87.94,33.76,3.41,1.05,-49.72,282.52,1020.6,17.72,-6.85000000000002,No Change
Jun 2016,Rio_Chama,GFDL,No Change,High,30.64,37.9,13.74,18.8,34.09,2.8,0.15,0.02,2.63,0,-14.77,0,-9.9,16.33,6.86,11.49,24.78,364.93,1013.99,82.41,-6.61000000000001,No Change
Jul 2016,Rio_Chama,GFDL,No Change,High,457.4,6.94,1.37,10.7,5.47,14.1,0.13,0.02,39.26,0,-12.15,0,411.2,18.39,6.01,11.58,447.18,389.49,990.23,24.56,-23.76,No Change
Aug 2016,Rio_Chama,GFDL,No Change,High,648.42,5.31,0,8.4,2.67,10.98,0.11,0.02,55.66,0,-12.09,0,587.45,17.3,4.57,9.52,618.84,374.95,1005.65,-14.54,15.42,No Change
Sep 2016,Rio_Chama,GFDL,No Change,High,382.51,4.61,0.18,10.39,2.63,9.41,0.11,0.02,32.83,0,-12.71,0,345.06,13.89,3.69,6.88,369.53,362.17,1039.6,-12.78,33.9499999999999,No Change
Oct 2016,Rio_Chama,GFDL,No Change,High,176.86,5.65,0.42,10.87,0.01,21.24,0.09,0.02,15.18,0,-10.09,0,156.03,26.52,2.09,0,184.64,351.79,1052.75,-10.38,13.1500000000001,No Change
Nov 2016,Rio_Chama,GFDL,No Change,High,624.5,4.66,1.31,8.37,0.01,11.36,0.09,0.02,53.6,0,-11.39,0,566.23,20.34,0.94,0,587.51,328.54,1057.76,-23.25,5.00999999999999,No Change
Dec 2016,Rio_Chama,GFDL,No Change,High,97.16,4.31,0.59,6.03,0.01,13.27,0.09,0.02,8.34,0,-10.7,0,84.51,22.84,0.6,0,107.95,316.33,1099.9,-12.21,42.1400000000001,No Change
Jan 2017,Rio_Chama,GFDL,No Change,High,575.88,4.94,0.24,7.33,0.92,2.59,0.09,0.02,49.43,0,-12.77,0,521.51,12.28,0.61,0,534.41,302.54,1097.47,-13.79,-2.43000000000006,No Change
Feb 2017,Rio_Chama,GFDL,No Change,High,303.57,9.17,0.36,7.58,1.31,2.45,0.09,0.02,26.06,0,-12.15,0,268.34,15.23,0.8,0,284.38,300.33,1134.05,-2.21000000000004,36.5799999999999,No Change
Mar 2017,Rio_Chama,GFDL,No Change,High,519.16,33.43,2.32,15.53,6.8,0.03,0.09,0.02,44.56,0,-10.64,0,441.16,24.08,1.53,0,466.78,298.46,1147.88,-1.87,13.8300000000002,No Change
Apr 2017,Rio_Chama,GFDL,No Change,High,242.04,98.63,27.37,41.3,44.08,0.03,0.09,0.02,20.78,0,-9.47,0,122.63,50.13,2.55,0,175.31,303.78,1181.74,5.31999999999999,33.8599999999999,No Change
May 2017,Rio_Chama,GFDL,No Change,High,241.88,219.5,56.52,82.97,159,0.21,0.1,0.02,20.76,0,-14.5,0,1.62,48.76,3.91,1.23,55.53,345.35,1192.96,41.5700000000001,11.22,No Change
Jun 2017,Rio_Chama,GFDL,No Change,High,70.95,58.68,56.52,33.42,79.71,32.68,0.14,0.02,6.09,0,-14,0,6.18,48.76,7.48,10.68,73.09,500.3,1197.92,154.95,4.96000000000004,No Change
Jul 2017,Rio_Chama,GFDL,No Change,High,445.18,7.79,18.03,11.93,18.58,11.75,0.13,0.02,38.21,0,-13.06,0,399.18,20.11,6.89,11.19,437.37,539.98,1179.2,39.68,-18.72,No Change
Aug 2017,Rio_Chama,GFDL,No Change,High,632.16,6.43,5.3,10.18,5.14,22.59,0.11,0.02,54.26,0,-9.13,0,571.47,28.13,5.75,9.81,615.15,540.03,1193.06,0.0499999999999545,13.8599999999999,No Change
Sep 2017,Rio_Chama,GFDL,No Change,High,284.65,4.3,4.28,7.37,3.51,18.53,0.12,0.02,24.43,0,-9.4,0,255.93,25.63,4.48,6.55,292.59,516.93,1228.29,-23.1,35.23,No Change
Oct 2017,Rio_Chama,GFDL,No Change,High,461.53,4.18,6.25,9.59,3.81,16.15,0.09,0.02,39.62,0,-10.18,0,417.74,23.35,2.05,0,443.14,497.52,1236.68,-19.41,8.3900000000001,No Change
Nov 2017,Rio_Chama,GFDL,No Change,High,337.8,2.92,3.33,7.6,0.57,10.03,0.09,0.02,29,0,-10.59,0,305.89,18.7,0.99,0,325.58,483.2,1266.04,-14.32,29.3599999999999,No Change
Dec 2017,Rio_Chama,GFDL,No Change,High,86.41,2.18,1.37,5.77,0.01,12.66,0.09,0.02,7.42,0,-9.89,0,76.81,20.32,0.61,0,97.75,472.83,1284.37,-10.37,18.3299999999999,No Change
Jan 2018,Rio_Chama,GFDL,No Change,High,255.72,2.06,1.01,5.95,3.27,2.03,0.09,0.02,21.95,0,-12.27,0,231.7,8.15,0.83,0,240.69,459.64,1281.82,-13.19,-2.54999999999995,No Change
Feb 2018,Rio_Chama,GFDL,No Change,High,169.4,3.64,1.01,6.14,4.83,2.08,0.09,0.02,14.54,0,-12.27,0,151.22,8.03,0.8,0,160.05,460.12,1291.43,0.480000000000018,9.61000000000013,No Change
Mar 2018,Rio_Chama,GFDL,No Change,High,516.08,16.94,3.51,12.25,3.78,0.03,0.09,0.02,44.3,0,-11.1,0,454.84,15.55,1.68,0,472.07,462.14,1293.63,2.01999999999998,2.20000000000005,No Change
Apr 2018,Rio_Chama,GFDL,No Change,High,183.6,36.82,19.28,23.45,29.46,0.03,0.09,0.02,15.76,0,-13.42,0,131.02,16.63,3.24,0,150.9,464.28,1326.75,2.13999999999999,33.1199999999999,No Change
May 2018,Rio_Chama,GFDL,No Change,High,139.98,106.77,47.36,57.11,69.54,0.45,0.1,0.02,12.02,0,-12.93,0,21.2,40.85,5.11,2.13,69.3,490.55,1329.02,26.27,2.26999999999998,No Change
Jun 2018,Rio_Chama,GFDL,No Change,High,107.79,48.42,33.97,22.93,44.81,2.45,0.14,0.02,9.25,0,-12.2,0,50.11,29.31,7.66,10.67,97.75,554.62,1325.89,64.07,-3.12999999999988,No Change
Jul 2018,Rio_Chama,GFDL,No Change,High,469.45,4.53,5.53,8.88,10.14,1.8,0.13,0.02,40.29,0,-11.93,0,424.63,4.77,7.22,11.52,448.13,589.44,1312.14,34.8200000000001,-13.75,No Change
Aug 2018,Rio_Chama,GFDL,No Change,High,204.96,2.02,2.2,5.95,12.46,8.82,0.14,0.02,17.59,0,-11.08,0,185.35,5.71,6.71,10.01,207.77,590.68,1328.88,1.2399999999999,16.74,No Change
Sep 2018,Rio_Chama,GFDL,No Change,High,285.64,1.4,0,6.06,12.61,19.39,0.12,0.02,24.52,0,-9.47,0,259.73,11.59,4.8,6.85,282.95,587.73,1325.27,-2.94999999999993,-3.61000000000013,No Change
Oct 2018,Rio_Chama,GFDL,No Change,High,292.53,1.83,0,7.24,0.01,18.62,0.09,0.02,25.11,0,-7.54,0,265.59,20.73,2.8,0,289.12,576.25,1333.38,-11.48,8.11000000000013,No Change
Nov 2018,Rio_Chama,GFDL,No Change,High,268.33,2.43,0,6.61,0.01,12.78,0.09,0.02,23.03,0,-8.29,0,242.87,16.88,1.28,0,261.04,554.92,1350.87,-21.33,17.4899999999998,No Change
Dec 2018,Rio_Chama,GFDL,No Change,High,157.06,2.58,0,5.95,0.01,13.44,0.09,0.02,13.48,0,-8.02,0,141,18.08,1.34,0,160.42,540.95,1365.54,-13.9699999999999,14.6700000000001,No Change
Jan 2019,Rio_Chama,GFDL,No Change,High,228.3,3.25,0.06,5.97,4.49,2.91,0.09,0.02,19.6,0,-10.44,0,205.45,6.2,0.91,0,212.56,526.25,1370.93,-14.7,5.3900000000001,No Change
