Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Chama,MPIM,Low,Low,505.32,0.54,0,7.83,0.54,4.85,0.11,0.02,43.37,0,-14,0,461.41,11.02,0.74,0,473.17,272.4,1007.17,0,0,High
Feb 2016,Rio_Chama,MPIM,Low,Low,463.59,1.4,0.12,8.14,4.07,4.75,0.11,0.02,39.79,0,-14.52,0,422.4,8.57,0.9,0,431.87,267.44,1036.44,-4.95999999999998,29.2700000000001,High
Mar 2016,Rio_Chama,MPIM,Low,Low,218.66,4.07,2.92,9.14,5.05,2.02,0.11,0.02,18.77,0,-14.81,0,195.82,9.62,1.52,0,206.96,265.96,1061.62,-1.48000000000002,25.1799999999998,High
Apr 2016,Rio_Chama,MPIM,Low,Low,123.81,51.43,19.04,17.54,52.81,0.04,0.11,0.02,10.63,0,-16.26,0,61.75,16.42,2.19,0,80.36,267.56,1065.49,1.60000000000002,3.87000000000012,High
May 2016,Rio_Chama,MPIM,Low,Low,347.39,112.21,48.43,54.19,80.87,0.08,0.11,0.02,29.82,0,-16.12,0,205.36,41.78,3.36,0.41,250.9,318.23,1059.76,50.67,-5.73000000000002,High
Jun 2016,Rio_Chama,MPIM,Low,Low,108.25,54.86,40.22,19.35,60.04,2.98,0.17,0.02,9.29,0,-16.03,0,44.1,34.7,6.79,10.28,95.86,395.75,1072.95,77.52,13.1900000000001,High
Jul 2016,Rio_Chama,MPIM,Low,Low,484.38,5.42,11.96,10.01,15.39,2.15,0.15,0.02,41.58,0,-16.2,0,437.39,10.32,6.52,11.19,465.42,446.18,1055.79,50.43,-17.1600000000001,High
Aug 2016,Rio_Chama,MPIM,Low,Low,146.09,0.52,3.63,37.2,10.06,47.8,0.17,0.02,12.54,0,-13.21,0,133.03,17.9,6.28,9.55,166.75,453.03,1069.85,6.84999999999997,14.0599999999999,High
Sep 2016,Rio_Chama,MPIM,Low,Low,199.36,0.45,0.24,20.55,4.78,34.86,0.15,0.02,17.11,0,-11.68,0,181.8,21.9,4.53,6.9,215.13,409.16,1059.48,-43.8699999999999,-10.3699999999999,High
Oct 2016,Rio_Chama,MPIM,Low,Low,506.7,0.66,0.83,5.35,0.18,14.01,0.11,0.02,43.49,0,-11.75,0,462.55,21.72,2.1,0,486.37,374.69,1057.88,-34.47,-1.59999999999991,High
Nov 2016,Rio_Chama,MPIM,Low,Low,157.37,1.29,0.89,2.43,1.16,9.9,0.11,0.02,13.51,0,-11.91,0,142.57,20.4,1.06,0,164.03,358.86,1089.52,-15.83,31.6399999999999,High
Dec 2016,Rio_Chama,MPIM,Low,Low,177.1,1.24,0.48,1.99,0.77,10.69,0.11,0.02,15.2,0,-11.61,0,160.66,21.25,0.63,0,182.54,349.15,1091.02,-9.71000000000004,1.5,High
Jan 2017,Rio_Chama,MPIM,Low,Low,328.98,0.89,0.3,7.48,1.07,4.57,0.11,0.02,28.24,0,-13.67,0,299.85,10.88,0.71,0,311.44,338.7,1094.52,-10.45,3.5,High
Feb 2017,Rio_Chama,MPIM,Low,Low,260.75,2.1,0.54,7.73,2.04,4.36,0.11,0.02,22.38,0,-13.69,0,236.27,10.9,1.4,0,248.57,334.58,1108.99,-4.12,14.47,High
Mar 2017,Rio_Chama,MPIM,Low,Low,390.39,9.23,3.69,11.01,7.54,0.77,0.11,0.02,33.51,0,-14.47,0,347.64,9.61,1.4,0,358.66,330.96,1117.59,-3.62,8.59999999999991,High
Apr 2017,Rio_Chama,MPIM,Low,Low,254.58,45.87,15.65,27.57,25.09,0.04,0.11,0.02,21.85,0,-13.71,0,186.85,22.61,2.64,0,212.1,336.43,1136.54,5.47000000000003,18.95,High
May 2017,Rio_Chama,MPIM,Low,Low,158.03,118.26,46.29,61.06,79.2,0.47,0.12,0.02,13.56,0,-15.19,0,26.21,39.93,4.32,1.82,72.28,358.93,1144.59,22.5,8.04999999999995,High
Jun 2017,Rio_Chama,MPIM,Low,Low,53.86,66.31,38.26,27.63,62.04,3.41,0.18,0.02,4.62,0,-14.7,0,-17.07,33,7.93,11.42,35.27,433.45,1141.04,74.52,-3.54999999999995,High
Jul 2017,Rio_Chama,MPIM,Low,Low,194.78,3.37,3.51,21.96,10.05,18.17,0.18,0.02,16.72,0,-13.97,0,174.7,7.01,7.73,11.8,201.23,484.31,1119.39,50.86,-21.6499999999999,High
Aug 2017,Rio_Chama,MPIM,Low,Low,458.92,2.39,0.71,12.38,5.88,23.1,0.15,0.02,39.39,0,-11,0,417.14,18.94,6.1,10.13,452.31,468.62,1110.18,-15.69,-9.21000000000004,High
Sep 2017,Rio_Chama,MPIM,Low,Low,400.4,1.6,0,10.29,3.61,22.89,0.14,0.02,34.37,0,-10.4,0,364.43,20.99,4.38,7.15,396.94,445.43,1128.31,-23.19,18.1299999999999,High
Oct 2017,Rio_Chama,MPIM,Low,Low,291.05,1.83,0,4.46,0.02,13.99,0.11,0.02,24.98,0,-10.24,0,264.24,21.58,2.24,0,288.06,421.9,1145.01,-23.53,16.7,High
Nov 2017,Rio_Chama,MPIM,Low,Low,172.76,1.99,0,2.47,0.38,9.77,0.11,0.02,14.83,0,-10.63,0,155.95,19.54,1.32,0,176.82,405.78,1159.66,-16.12,14.6500000000001,High
Dec 2017,Rio_Chama,MPIM,Low,Low,193.03,2.05,0.24,2.23,0.67,10.65,0.11,0.02,16.57,0,-10.46,0,174.42,20.49,0.74,0,195.64,395.16,1163.76,-10.6199999999999,4.09999999999991,High
Jan 2018,Rio_Chama,MPIM,Low,Low,204.99,2.21,0.18,7.51,0.75,4.73,0.11,0.02,17.6,0,-12.3,0,185.18,11.17,0.64,0,196.99,384.54,1169.77,-10.62,6.00999999999999,High
Feb 2018,Rio_Chama,MPIM,Low,Low,149.93,5.94,0.36,8.21,1.61,4.41,0.11,0.02,12.87,0,-11.95,0,131.12,12.84,1.39,0,145.35,380.02,1174.97,-4.52000000000004,5.20000000000005,High
Mar 2018,Rio_Chama,MPIM,Low,Low,165.1,14.73,2.32,11.4,5.74,1.96,0.11,0.02,14.17,0,-12,0,136.2,13.86,1.69,0,151.75,375.91,1175.8,-4.10999999999996,0.829999999999927,High
Apr 2018,Rio_Chama,MPIM,Low,Low,195.55,53.65,8.51,28.38,17.05,0.04,0.11,0.02,16.79,0,-10.16,0,125.11,26.94,2.85,0,154.91,378.1,1177.87,2.19,2.06999999999994,High
May 2018,Rio_Chama,MPIM,Low,Low,16.44,77.85,20.7,40.42,55.05,1.19,0.14,0.02,1.41,0,-13.59,0,-62.82,17.86,5.33,3.74,-35.88,392.35,1184.4,14.25,6.5300000000002,High
Jun 2018,Rio_Chama,MPIM,Low,Low,140.92,33.44,11.42,38.02,26.95,17.43,0.17,0.02,12.1,0,-12.53,0,95.39,9.85,7.91,11.6,124.76,440.99,1168.36,48.64,-16.0400000000002,High
Jul 2018,Rio_Chama,MPIM,Low,Low,223.16,3.83,0.3,29.13,8.85,27.97,0.17,0.02,19.16,0,-11.12,0,200.18,5.22,7.05,11.26,223.71,442.76,1156.17,1.76999999999998,-12.1899999999998,High
Aug 2018,Rio_Chama,MPIM,Low,Low,567.61,3,0,9.1,4.42,11.69,0.14,0.02,48.72,0,-9.79,0,515.89,10.97,5.29,9.7,541.85,416.75,1152.79,-26.01,-3.38000000000011,High
Sep 2018,Rio_Chama,MPIM,Low,Low,184.95,2.09,0,7.6,2.46,22.04,0.14,0.02,15.88,0,-7.55,0,166.99,21.62,4.07,5.47,198.14,404.3,1181.9,-12.45,29.1100000000001,High
Oct 2018,Rio_Chama,MPIM,Low,Low,187.33,2.37,0,3.81,0.02,16.28,0.11,0.02,16.08,0,-7.38,0,168.89,22.2,2.27,0,193.36,380.78,1184.63,-23.52,2.73000000000002,High
Nov 2018,Rio_Chama,MPIM,Low,Low,352.57,2.37,0,3.02,0.56,9.83,0.11,0.02,30.26,0,-8.4,0,319.94,17.02,1.16,0,338.12,362.34,1193.24,-18.44,8.6099999999999,High
Dec 2018,Rio_Chama,MPIM,Low,Low,189.43,2.96,0,2.37,0.41,10.64,0.11,0.02,16.26,0,-8.01,0,170.21,18.84,0.7,0,189.75,352,1215,-10.34,21.76,High
Jan 2019,Rio_Chama,MPIM,Low,Low,186.27,2.99,0,7.53,0.59,4.98,0.11,0.02,15.99,0,-9.85,0,167.29,9.7,0.88,0,177.87,341.15,1223.16,-10.85,8.16000000000008,High
Feb 2019,Rio_Chama,MPIM,Low,Low,450.77,3.07,0,8.5,0.79,4.7,0.11,0.02,38.69,0,-10.03,0,409.01,8.51,1.15,0,418.67,335.98,1229.21,-5.16999999999996,6.04999999999995,High
Mar 2019,Rio_Chama,MPIM,Low,Low,39.78,5.72,0.71,8.45,2.76,4.29,0.11,0.02,3.41,0,-9.92,0,30.65,9.42,1.9,0,41.97,331.01,1257.77,-4.97000000000003,28.5599999999999,High
Apr 2019,Rio_Chama,MPIM,Low,Low,270.71,36.65,7.91,21.39,16.69,0.04,0.11,0.02,23.24,0,-9.68,0,210.82,16.2,2.41,0,229.42,327.69,1251.18,-3.31999999999999,-6.58999999999992,High
May 2019,Rio_Chama,MPIM,Low,Low,171.06,155.73,31.53,67.66,92.95,0.41,0.12,0.02,14.68,0,-9.29,0,0.64,36.36,4.13,1.65,42.78,342.03,1264.64,14.34,13.46,High
Jun 2019,Rio_Chama,MPIM,Low,Low,35.92,70.64,20.17,56.47,40.35,13.29,0.18,0.02,3.08,0,-10.12,0,-37.8,17.4,8.03,11.64,-0.73,430.55,1268.28,88.52,3.63999999999987,High
Jul 2019,Rio_Chama,MPIM,Low,Low,77.55,8.17,1.49,22.97,5.72,30.5,0.18,0.02,6.66,0,-6.54,0,62.73,18,7.64,11.68,100.04,449.75,1249.43,19.2,-18.8499999999999,High
Aug 2019,Rio_Chama,MPIM,Low,Low,691.63,5.4,0,10.78,2.03,27.02,0.14,0.02,59.37,0,-4.86,0,626.87,24.47,5.06,9.68,666.07,417.5,1237.71,-32.25,-11.72,High
Sep 2019,Rio_Chama,MPIM,Low,Low,41.51,3.39,0,7.18,4.53,24.98,0.17,0.02,3.56,0,-5.32,0,34.56,21.99,5.23,8.17,69.94,387.58,1282.41,-29.92,44.7,High
Oct 2019,Rio_Chama,MPIM,Low,Low,342.12,2.74,0,4.15,0.08,15.78,0.11,0.02,29.37,0,-5.7,0,310.01,19.99,2.26,0.16,332.42,362.04,1272.33,-25.54,-10.0800000000002,High
Nov 2019,Rio_Chama,MPIM,Low,Low,390.7,2.48,0,3.08,0.56,9.84,0.11,0.02,33.54,0,-6.62,0,354.69,15.3,1.11,0,371.1,344.18,1295.75,-17.86,23.4200000000001,High
Dec 2019,Rio_Chama,MPIM,Low,Low,190.82,2.68,0,2.32,0.37,10.69,0.11,0.02,16.38,0,-6.26,0,171.76,16.94,0.62,0,189.32,333.88,1322.57,-10.3,26.8199999999999,High
Jan 2020,Rio_Chama,MPIM,Low,Low,315.77,2.52,0,7.82,0.38,4.94,0.11,0.02,27.1,0,-8.18,0,286.15,7.45,0.56,0,294.16,323.04,1332.59,-10.84,10.02,High
Feb 2020,Rio_Chama,MPIM,Low,Low,146.1,2.53,0,7.4,0.74,5.12,0.11,0.02,12.54,0,-8.12,0,131.03,7.62,1.04,0,139.7,318.01,1351.41,-5.03000000000003,18.8200000000002,High
Mar 2020,Rio_Chama,MPIM,Low,Low,280.89,5.92,0,9.96,1.06,4.88,0.11,0.02,24.11,0,-8.04,0,250.86,7.82,1.45,0,260.13,312.68,1355.74,-5.32999999999998,4.32999999999993,High
Apr 2020,Rio_Chama,MPIM,Low,Low,158.21,258.58,6.37,76.18,183.98,0.04,0.11,0.02,13.58,0,-8.04,0,-113.95,12.87,2.24,0,-98.83,307.5,1371.72,-5.18000000000001,15.98,High
May 2020,Rio_Chama,MPIM,Low,Low,193.42,161.02,36.77,74.25,101.19,0.44,0.12,0.02,16.6,0,-8.94,0,15.8,31.72,5.08,1.84,54.44,489.29,1377.16,181.79,5.44000000000005,High
Jun 2020,Rio_Chama,MPIM,Low,Low,189.48,112.62,25.4,45.75,51.39,10.83,0.17,0.02,16.26,0,-1.74,0,60.6,53.45,7.68,9.99,131.72,585.07,1382.88,95.78,5.72000000000003,High
Jul 2020,Rio_Chama,MPIM,Low,Low,143.25,14.68,5.06,38.81,5.24,87.87,0.18,0.02,12.3,0,3.41,0,116.27,60.15,8.46,11.28,196.16,618.1,1387.27,33.03,4.38999999999987,High
Aug 2020,Rio_Chama,MPIM,Low,Low,136.45,11.12,0.42,29.76,4.65,95.16,0.17,0.02,11.71,0,5.62,0,113.62,66.66,6.72,9.53,196.54,527.17,1391.54,-90.9300000000001,4.26999999999998,High
Sep 2020,Rio_Chama,MPIM,Low,Low,8.79,9.82,0,9.45,4.39,56.65,0.17,0.02,0.75,0,2.39,0,-1.79,50.24,5.2,7.45,61.1,430.08,1399.19,-97.09,7.65000000000009,High
Oct 2020,Rio_Chama,MPIM,Low,Low,396.18,9.48,0,5.69,0.95,15.71,0.11,0.02,34.01,0,-3.38,0,352.69,21.94,2.38,0,377.01,372.78,1394.74,-57.3,-4.45000000000005,High
Nov 2020,Rio_Chama,MPIM,Low,Low,104.28,5.38,0,2.87,0.46,9.75,0.11,0.02,8.95,0,-4.52,0,89.95,16.31,1.26,0,107.52,355.73,1425.26,-17.05,30.52,High
Dec 2020,Rio_Chama,MPIM,Low,Low,571.71,3.3,0.06,3.52,0.92,10.69,0.11,0.02,49.07,0,-4.88,0,519.34,14.5,0.63,0,534.47,345.28,1429.6,-10.45,4.33999999999992,High
Jan 2021,Rio_Chama,MPIM,Low,Low,536.18,3,0,8.65,0.51,4.67,0.11,0.02,46.02,0,-6.74,0,487.15,5.26,0.76,0,493.17,334.97,1473.7,-10.3099999999999,44.1000000000001,High
Feb 2021,Rio_Chama,MPIM,Low,Low,113.81,3.31,0.12,7.58,1.05,5,0.11,0.02,9.77,0,-6.53,0,100.72,6.33,1.17,0,108.22,330.14,1512.88,-4.83000000000004,39.1800000000001,High
Mar 2021,Rio_Chama,MPIM,Low,Low,76.64,13.51,8.98,9.28,13.28,0.04,0.11,0.02,6.58,0,-7.77,0,56.55,7.75,2,0,66.31,325.12,1516.03,-5.01999999999998,3.14999999999986,High
Apr 2021,Rio_Chama,MPIM,Low,Low,164.07,67.06,45.22,27.04,54.04,0.04,0.11,0.02,14.08,0,-7.77,0,82.93,39.01,2.91,0,124.85,336.44,1514.75,11.32,-1.27999999999997,High
May 2021,Rio_Chama,MPIM,Low,Low,200.52,128.26,47.24,63.42,79.38,0.34,0.12,0.02,17.21,0,-7.72,0,55.05,40.75,4.34,1.42,101.57,387.63,1520.97,51.19,6.22000000000003,High
Jun 2021,Rio_Chama,MPIM,Low,Low,64.02,54.73,28.08,17.67,51.63,3.29,0.18,0.02,5.49,0,-7.42,0,3.79,24.23,7.91,11.11,47.04,462.43,1528.94,74.8,7.97000000000003,High
Jul 2021,Rio_Chama,MPIM,Low,Low,488.96,15,8.39,10.89,15.4,2.86,0.16,0.02,41.97,0,-7.28,0,431.99,7.24,6.89,11.23,457.35,503.01,1515.75,40.58,-13.1900000000001,High
Aug 2021,Rio_Chama,MPIM,Low,Low,715.58,4.59,2.56,10.79,6.24,16.67,0.14,0.02,61.42,0,-5.28,0,649.57,12.06,5.44,9.43,676.5,508.8,1539.07,5.79000000000002,23.3199999999999,High
Sep 2021,Rio_Chama,MPIM,Low,Low,428.32,3.16,2.44,8.93,1.65,19.03,0.13,0.02,36.76,0,-4,0,388.39,18.05,4.23,6.18,416.85,493.05,1585.66,-15.75,46.5900000000001,High
Oct 2021,Rio_Chama,MPIM,Low,Low,142.42,1.72,2.86,2.79,2.98,15.96,0.11,0.02,12.22,0,-3.91,0,128.48,18.67,2.32,0,149.47,471.55,1612.14,-21.5,26.48,High
Nov 2021,Rio_Chama,MPIM,Low,Low,327.68,1.53,0.3,3.08,0.96,9.76,0.11,0.02,28.13,0,-4.72,0,298.02,12.27,1.41,0,311.7,456.35,1620.36,-15.2,8.2199999999998,High
Dec 2021,Rio_Chama,MPIM,Low,Low,585.41,1.28,0.65,3.18,1.83,10.47,0.11,0.02,50.25,0,-4.78,0,533.89,12.17,1.06,0,547.11,446.23,1643.67,-10.12,23.3100000000002,High
Jan 2022,Rio_Chama,MPIM,Low,Low,579.52,1.92,1.9,8.47,3.35,2.51,0.11,0.02,49.74,0,-7.13,0,527.86,1.64,1.01,0,530.51,436.63,1689.04,-9.60000000000002,45.3699999999999,High
Feb 2022,Rio_Chama,MPIM,Low,Low,142.99,1.38,1.67,7.37,2.6,3.48,0.11,0.02,12.27,0,-6.76,0,129.33,3.31,1.46,0,134.11,436.56,1731.56,-0.0699999999999932,42.52,High
Mar 2022,Rio_Chama,MPIM,Low,Low,151.59,18.15,17.25,10.01,17.68,0.04,0.11,0.02,13.01,0,-7.12,0,120.42,14.88,2.48,0,137.79,434.31,1736.98,-2.25,5.42000000000007,High
Apr 2022,Rio_Chama,MPIM,Low,Low,408.79,54.5,37.6,23.13,43.61,0.04,0.11,0.02,35.09,0,-7.04,0,319.21,32.44,3.26,0,354.91,449.56,1742.77,15.25,5.78999999999996,High
May 2022,Rio_Chama,MPIM,Low,Low,21.87,109.52,56.52,59.62,64.81,0.42,0.12,0.02,1.88,0,-6.74,0,-89.53,48.76,4.87,1.23,-34.67,489.96,1770.73,40.4,27.96,High
Jun 2022,Rio_Chama,MPIM,Low,Low,85.48,68.92,48.49,36.51,49.15,3.09,0.17,0.02,7.34,0,-6.99,0,9.23,41.83,7.92,10.51,69.49,549.59,1764.53,59.6300000000001,-6.20000000000005,High
Jul 2022,Rio_Chama,MPIM,Low,Low,579.57,23.05,18.15,15.21,19.39,1.79,0.15,0.02,49.75,0,-7.27,0,506.78,15.65,6.81,10.83,540.07,587.88,1754.22,38.29,-10.3099999999999,High
Aug 2022,Rio_Chama,MPIM,Low,Low,465.82,7.02,5,10.23,6.67,1.84,0.15,0.02,39.98,0,-7.36,0,418.82,4.31,6.18,9.48,438.78,598.8,1785.74,10.92,31.52,High
Sep 2022,Rio_Chama,MPIM,Low,Low,371.69,1.52,2.38,7.74,5.85,4.37,0.14,0.02,31.9,0,-7.38,0,338.26,2.05,4.83,6.81,351.96,597.58,1808.75,-1.21999999999991,23.01,High
Oct 2022,Rio_Chama,MPIM,Low,Low,109.56,0.51,2.14,2.53,5.56,11.07,0.11,0.02,9.4,0,-5.5,0,99.64,11.12,2.48,0,113.25,594.36,1826.34,-3.22000000000003,17.5899999999999,High
