Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Chama,NCAR,No Change,High,29.78,2.17,0,5,0.7,3.4,0.09,0.02,2.56,0,-13.52,0,25.05,13.38,0.94,0,39.37,268.76,1008.24,0,0,Low
Feb 2016,Rio_Chama,NCAR,No Change,High,310.58,2.4,0,6.04,0.72,3.2,0.09,0.02,26.66,0,-13.68,0,281.52,12.52,0.95,0,294.99,265.2,997.2,-3.56,-11.04,Low
Mar 2016,Rio_Chama,NCAR,No Change,High,137.22,3.95,0.83,6.49,5.4,2.43,0.09,0.02,11.78,0,-14.39,0,121.49,9.7,1.56,0,132.76,261.85,1010.11,-3.34999999999997,12.91,Low
Apr 2016,Rio_Chama,NCAR,No Change,High,285.89,22.38,8.98,14.92,19.53,0.03,0.09,0.02,24.54,0,-15.3,0,238.97,12.24,2.45,0,253.66,263.33,1007.42,1.47999999999996,-2.69000000000005,Low
May 2016,Rio_Chama,NCAR,No Change,High,80.1,23.91,7.2,26.09,18.03,5.75,0.1,0.02,6.88,0,-15.56,0,49.32,8.31,3.89,3.02,64.53,280.46,1016.59,17.13,9.17000000000007,Low
Jun 2016,Rio_Chama,NCAR,No Change,High,176.7,9.31,0.65,21.58,7.75,16.04,0.13,0.02,15.17,0,-13.79,0,152.22,10.47,5.57,11.64,179.91,288.93,1004.81,8.47000000000003,-11.7800000000001,Low
Jul 2016,Rio_Chama,NCAR,No Change,High,540.9,1.64,0,8.09,4.79,5.15,0.12,0.02,46.43,0,-14.13,0,492.83,8.04,4.49,11.31,516.68,275.18,994.43,-13.75,-10.38,Low
Aug 2016,Rio_Chama,NCAR,No Change,High,563.62,0.91,0,6.84,4.01,4.15,0.11,0.02,48.38,0,-14.07,0,514.34,8.27,3.62,9.3,535.53,270.42,1015.32,-4.75999999999999,20.8900000000001,Low
Sep 2016,Rio_Chama,NCAR,No Change,High,511.54,0.62,0,6.35,2.73,3.75,0.1,0.02,43.91,0,-13.82,0,467.01,9.1,2.65,6.06,484.82,266.76,1040.24,-3.66000000000003,24.92,Low
Oct 2016,Rio_Chama,NCAR,No Change,High,135.1,0.58,0,11.45,1.31,9.6,0.09,0.02,11.6,0,-13.41,0,122.92,10.83,1.77,0,135.53,263.17,1064.18,-3.58999999999997,23.9400000000001,Low
