Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,San_Juan,GFDL,Low,No Change,293.45,0.55,32.88,139.17,5.85,109.27,0.59,0.09,6.81,0,-3.46,0,286.1,1.14,5.01,0,292.25,1396.75,6356.33,0,0,High
Feb 2016,San_Juan,GFDL,Low,No Change,144.14,0.81,36.56,58.99,5.86,29.19,0.6,0.09,3.34,0,-0.58,0,139.98,2.3,5.01,0,147.3,1288.82,6359.17,-107.93,2.84000000000015,High
Mar 2016,San_Juan,GFDL,Low,No Change,425.17,2.37,46.36,47.97,5.86,3.99,0.6,0.09,9.86,0,-2.57,0,412.94,1.46,5.01,0,419.41,1260.98,6361.43,-27.8399999999999,2.26000000000022,High
Apr 2016,San_Juan,GFDL,Low,No Change,94.11,0.24,92.85,46.9,40.32,1.66,0.6,0.09,2.18,0,1.46,0,91.68,6.08,5.43,1.7,104.9,1258.34,6368.21,-2.6400000000001,6.77999999999975,High
May 2016,San_Juan,GFDL,Low,No Change,182.86,0.18,390.8,268.6,99.3,12.6,0.6,0.09,4.24,0,8.58,0,178.44,27.1,19.85,11.84,237.23,1292.07,6369.66,33.73,1.44999999999982,High
Jun 2016,San_Juan,GFDL,Low,No Change,40.43,0.03,280.28,157.42,120.18,24.79,0.61,0.09,0.94,0,5.03,0,39.46,22.46,35.58,16.76,114.26,1359.42,6370.13,67.3500000000001,0.470000000000255,High
Jul 2016,San_Juan,GFDL,Low,No Change,887.88,11.64,90.91,53.37,72.28,26.93,0.6,0.09,20.59,0,-4.22,0,855.65,8.05,38.56,17.49,919.75,1419.75,6358.83,60.3299999999999,-11.3000000000002,High
Aug 2016,San_Juan,GFDL,Low,No Change,1024.51,12.66,65.53,75.96,52.29,50.77,0.6,0.09,23.76,0,-4.28,0,988.1,4.98,31.39,14.81,1039.28,1427.05,6357.2,7.29999999999995,-1.63000000000011,High
Sep 2016,San_Juan,GFDL,Low,No Change,960.09,11.88,66.82,83.78,32.67,36.48,0.6,0.09,22.27,0,-4.34,0,925.94,3.08,20.21,11.36,960.6,1397.7,6361.35,-29.3499999999999,4.15000000000055,High
Oct 2016,San_Juan,GFDL,Low,No Change,440.51,3.84,58.07,68.15,7.99,13.93,0.6,0.09,10.22,0,-4.24,0,426.46,3.94,6.23,3.23,439.85,1374.18,6367.4,-23.52,6.04999999999927,High
Nov 2016,San_Juan,GFDL,Low,No Change,983.19,15.32,47.1,68.3,5.86,10.46,0.6,0.09,22.8,0,-4.26,0,945.06,2.98,5.02,0,953.06,1362.51,6369.65,-11.6700000000001,2.25,High
Dec 2016,San_Juan,GFDL,Low,No Change,150.42,0.09,42.45,96.92,5.87,61.41,0.6,0.09,3.49,0,-2.07,0,146.84,3.24,5.02,0,155.1,1353.41,6387.69,-9.09999999999991,18.04,High
Jan 2017,San_Juan,GFDL,Low,No Change,750.1,7.05,40.05,50.6,5.87,5.87,0.6,0.09,17.4,0,-4.34,0,725.65,0.84,5.02,0,731.51,1293.35,6388.6,-60.0600000000002,0.910000000000764,High
Feb 2017,San_Juan,GFDL,Low,No Change,341.42,1.93,50.58,74.75,5.87,29.19,0.6,0.09,7.92,0,-1.14,0,331.58,2.22,5.02,0,338.82,1288.82,6401.16,-4.52999999999997,12.5599999999995,High
Mar 2017,San_Juan,GFDL,Low,No Change,623.95,3.48,87.48,88.4,5.87,3.99,0.6,0.09,14.47,0,-1.68,0,606,2.36,5.02,0,613.39,1260.98,6407.43,-27.8399999999999,6.27000000000044,High
Apr 2017,San_Juan,GFDL,Low,No Change,318.78,0.83,167.41,118.75,39.62,1.36,0.6,0.09,7.39,0,2.16,0,310.56,9.07,5.03,0.83,325.5,1258.34,6419.72,-2.6400000000001,12.29,High
May 2017,San_Juan,GFDL,Low,No Change,335.36,0.33,344.9,228.94,100.44,13.09,0.6,0.09,7.78,0,5.7,0,327.25,23.24,20.51,12.52,383.53,1292.07,6427.94,33.73,8.21999999999935,High
Jun 2017,San_Juan,GFDL,Low,No Change,146.56,0.11,321.8,198.51,116.82,23.33,0.61,0.09,3.4,0,4.94,0,143.05,24.97,33.68,16.14,217.85,1359.42,6428.39,67.3500000000001,0.450000000000728,High
Jul 2017,San_Juan,GFDL,Low,No Change,844.79,11.28,73.38,38.51,69.44,25.71,0.61,0.09,19.59,0,-4.08,0,813.92,6.5,36.94,16.89,874.25,1419.75,6420.06,60.3299999999999,-8.32999999999993,High
Aug 2017,San_Juan,GFDL,Low,No Change,993.63,12.69,43.68,54.03,55.16,52.01,0.61,0.09,23.04,0,-4.13,0,957.89,3.32,33.02,15.22,1009.45,1427.05,6418.18,7.29999999999995,-1.88000000000011,High
Sep 2017,San_Juan,GFDL,Low,No Change,694.93,8.62,32.95,46.37,35.66,37.79,0.61,0.09,16.12,0,-4.19,0,670.19,1.52,21.91,11.21,704.83,1397.7,6421.35,-29.3499999999999,3.17000000000007,High
Oct 2017,San_Juan,GFDL,Low,No Change,902.83,14.29,30.19,53.81,5.88,13.03,0.6,0.09,20.94,0,-4.22,0,867.6,2.05,5.03,0.35,875.03,1374.18,6421.56,-23.52,0.210000000000036,High
Nov 2017,San_Juan,GFDL,Low,No Change,466.56,4.08,38.58,49.1,5.88,10.46,0.6,0.09,10.82,0,-4.29,0,451.66,2.44,5.03,0,459.12,1362.51,6437.41,-11.6700000000001,15.8499999999995,High
Dec 2017,San_Juan,GFDL,Low,No Change,107.1,0.06,31.66,86.13,5.88,61.42,0.6,0.09,2.48,0,-1.68,0,104.55,2.81,5.03,0,112.39,1353.41,6443.43,-9.09999999999991,6.02000000000044,High
Jan 2018,San_Juan,GFDL,Low,No Change,319.53,0.6,31.41,34.49,5.88,5.88,0.6,0.09,7.41,0,-3.48,0,311.52,1,5.03,0,317.55,1293.35,6443.73,-60.0600000000002,0.299999999999272,High
Feb 2018,San_Juan,GFDL,Low,No Change,176.57,1,33.13,56.08,5.88,29.2,0.6,0.09,4.09,0,-0.74,0,171.48,2.1,5.03,0,178.61,1288.82,6447.16,-4.52999999999997,3.43000000000029,High
Mar 2018,San_Juan,GFDL,Low,No Change,826.87,9.37,44.26,55.25,5.88,4,0.6,0.09,19.18,0,-4.09,0,798.33,0.58,5.03,0,803.94,1260.98,6450.01,-27.8399999999999,2.85000000000036,High
Apr 2018,San_Juan,GFDL,Low,No Change,225.2,0.59,98.8,54.68,39.75,1.42,0.6,0.09,5.22,0,0.69,0,219.39,5.68,5.11,0.95,231.14,1258.34,6464.59,-2.6400000000001,14.5799999999999,High
May 2018,San_Juan,GFDL,Low,No Change,231.09,0.23,163.94,62.38,104.26,14.75,0.6,0.09,5.36,0,1.14,0,225.5,11.14,22.67,13.26,272.57,1292.07,6469.04,33.73,4.44999999999982,High
Jun 2018,San_Juan,GFDL,Low,No Change,196.99,0.15,93.29,23.29,84.92,20.52,0.61,0.09,4.57,0,-1.38,0,192.27,7.14,29.69,16.1,245.2,1359.42,6461.77,67.3500000000001,-7.26999999999953,High
Jul 2018,San_Juan,GFDL,Low,No Change,841.86,11.2,44.89,39.82,65.71,49.86,0.61,0.09,19.52,0,-3.56,0,811.14,3.97,38.98,17.37,871.47,1394.66,6448.33,35.24,-13.4400000000005,High
Aug 2018,San_Juan,GFDL,Low,No Change,278.12,0.6,39.81,29.87,65.43,54.31,0.61,0.09,6.45,0,-3.61,0,271.07,3.03,38.8,15.22,328.11,1372.04,6446.4,-22.6200000000001,-1.93000000000029,High
Sep 2018,San_Juan,GFDL,Low,No Change,494.44,3.43,33.13,23.64,40.55,25.54,0.61,0.09,11.47,0,-3.63,0,479.53,1.53,24.69,11.41,517.17,1344.89,6433.51,-27.1499999999999,-12.8899999999994,High
Oct 2018,San_Juan,GFDL,Low,No Change,579.66,7.3,39.62,14.41,36.45,2.99,0.6,0.09,13.44,0,-3.65,0,558.92,2.69,7.19,4.5,573.3,1335.72,6429.42,-9.17000000000007,-4.09000000000015,High
Nov 2018,San_Juan,GFDL,Low,No Change,382.23,2.75,39.62,48.13,5.89,10.47,0.6,0.09,8.86,0,-3.69,0,370.61,2.5,5.04,0,378.16,1362.51,6434.2,26.79,4.77999999999975,High
Dec 2018,San_Juan,GFDL,Low,No Change,211.52,0.12,35.09,91.78,5.89,61.42,0.6,0.09,4.91,0,-3.1,0,206.49,2.06,5.04,0,213.59,1353.41,6438.86,-9.09999999999991,4.65999999999985,High
Jan 2019,San_Juan,GFDL,Low,No Change,284.15,0.53,33.8,36.2,5.89,5.89,0.6,0.09,6.59,0,-2.92,0,277.03,1.05,5.04,0,283.12,1293.35,6440.15,-60.0600000000002,1.28999999999996,High
Feb 2019,San_Juan,GFDL,Low,No Change,830.46,10.57,36.13,73.1,5.89,29.2,0.6,0.09,19.26,0,-3.58,0,800.63,0.5,5.04,0,806.17,1288.82,6443.31,-4.52999999999997,3.16000000000076,High
Mar 2019,San_Juan,GFDL,Low,No Change,181.83,1.02,61.8,57.1,5.89,4.01,0.61,0.09,4.22,0,0.93,0,176.6,2.9,5.04,0,184.54,1260.98,6458.47,-27.8399999999999,15.1599999999999,High
Apr 2019,San_Juan,GFDL,Low,No Change,357.18,0.93,166.62,118.86,39.7,1.4,0.61,0.09,8.28,0,1.85,0,347.97,8.54,5.09,1.17,362.77,1258.34,6463.1,-2.6400000000001,4.63000000000011,High
May 2019,San_Juan,GFDL,Low,No Change,119.08,0.12,229.68,120.88,100.93,13.3,0.61,0.09,2.76,0,5.02,0,116.2,16.25,20.8,11.88,165.13,1292.07,6471.55,33.73,8.44999999999982,High
Jun 2019,San_Juan,GFDL,Low,No Change,68.09,0.05,132.13,27.39,115.85,23,0.62,0.09,1.58,0,1.3,0,66.46,10.66,33.04,16.67,126.83,1359.42,6466.94,67.3500000000001,-4.61000000000058,High
Jul 2019,San_Juan,GFDL,Low,No Change,797.41,11.96,42.93,40.49,66.03,52.18,0.61,0.09,18.49,0,-3.26,0,766.96,3.8,39.15,17.48,827.39,1419.75,6452.63,60.3299999999999,-14.3099999999995,High
Aug 2019,San_Juan,GFDL,Low,No Change,1230.39,18.4,38.45,39.85,46.76,29.37,0.61,0.09,28.53,0,-3.31,0,1183.46,2.92,28.26,14.41,1229.06,1394.97,6449.86,-24.78,-2.77000000000044,High
Sep 2019,San_Juan,GFDL,Low,No Change,974.71,14.89,32.7,41.41,30.52,22.45,0.61,0.09,22.6,0,-3.39,0,937.21,1.51,19.02,10.84,968.58,1384.61,6460.16,-10.3600000000001,10.3000000000002,High
Oct 2019,San_Juan,GFDL,Low,No Change,969.57,16.61,29.83,55,5.9,13.04,0.61,0.09,22.49,0,-3.46,0,930.48,2.02,5.05,0.37,937.92,1374.18,6468.01,-10.4299999999998,7.85000000000036,High
Nov 2019,San_Juan,GFDL,Low,No Change,333.82,2.14,37.6,45.47,5.9,10.48,0.61,0.09,7.74,0,-3.53,0,323.94,2.38,5.05,0,331.36,1362.51,6486.15,-11.6700000000001,18.1399999999994,High
Dec 2019,San_Juan,GFDL,Low,No Change,234.71,0.14,30.62,88.01,5.9,61.43,0.61,0.09,5.44,0,-3.37,0,229.12,1.64,5.05,0,235.82,1353.41,6489.85,-9.09999999999991,3.70000000000073,High
Jan 2020,San_Juan,GFDL,Low,No Change,124.88,0.23,30.44,29.79,5.91,5.89,0.61,0.09,2.9,0,-0.97,0,121.75,1.85,5.05,0,128.65,1293.35,6491.4,-60.0600000000002,1.54999999999927,High
Feb 2020,San_Juan,GFDL,Low,No Change,948.4,13.8,31.16,71.34,5.91,29.21,0.61,0.09,21.99,0,-3.5,0,912.6,0.43,5.05,0,918.09,1288.82,6492.81,-4.52999999999997,1.41000000000076,High
Mar 2020,San_Juan,GFDL,Low,No Change,391.88,2.19,39.92,42.61,5.91,4.01,0.61,0.09,9.09,0,-3.08,0,380.61,0.69,5.05,0,386.35,1260.98,6510.79,-27.8399999999999,17.9799999999996,High
Apr 2020,San_Juan,GFDL,Low,No Change,93.93,0.24,140.22,89.51,39.63,1.37,0.61,0.09,2.18,0,4.17,0,91.5,8.52,5.05,0,105.08,1258.34,6516.29,-2.6400000000001,5.5,High
May 2020,San_Juan,GFDL,Low,No Change,359.06,0.35,280.03,173.6,96.39,11.33,0.61,0.09,8.33,0,3.53,0,350.38,18.21,18.22,11.47,398.27,1292.07,6522.11,33.73,5.81999999999971,High
Jun 2020,San_Juan,GFDL,Low,No Change,489.85,1.22,137.65,43.29,110.41,20.53,0.62,0.09,11.36,0,-3.16,0,477.27,8.87,30.08,15.85,532.07,1359.42,6521.98,67.3500000000001,-0.130000000000109,High
Jul 2020,San_Juan,GFDL,Low,No Change,182.89,0.16,46.31,30.04,70.35,55.98,0.62,0.09,4.24,0,-2.4,0,178.48,4.47,41.57,16.58,241.09,1419.75,6513.81,60.3299999999999,-8.16999999999916,High
Aug 2020,San_Juan,GFDL,Low,No Change,323.69,1.44,35.47,29.39,62.68,54.68,0.62,0.09,7.51,0,-3.19,0,314.74,2.7,37.24,14.81,369.5,1393.08,6498.54,-26.6700000000001,-15.2700000000004,High
Sep 2020,San_Juan,GFDL,Low,No Change,516.51,4.96,28.11,23.7,37.58,26.31,0.61,0.09,11.98,0,-3.2,0,499.57,1.3,23.02,10.87,534.76,1364.37,6487.52,-28.71,-11.0199999999995,High
Oct 2020,San_Juan,GFDL,Low,No Change,0,0,28.78,10.57,17.62,2.38,0.61,0.09,0,0,-0.34,0,0,3.31,6.38,2.4,12.1,1353.14,6484.9,-11.2299999999998,-2.6200000000008,High
Nov 2020,San_Juan,GFDL,Low,No Change,426.36,5.72,35.64,46.92,5.91,10.48,0.61,0.09,9.89,0,-3.23,0,410.75,2.25,5.05,0,418.05,1362.51,6481.64,9.36999999999989,-3.25999999999931,High
Dec 2020,San_Juan,GFDL,Low,No Change,330.9,3.99,31.11,92.29,5.91,61.43,0.61,0.09,7.67,0,-3.26,0,319.23,1.59,5.05,0,325.88,1353.41,6487.78,-9.09999999999991,6.13999999999942,High
Jan 2021,San_Juan,GFDL,Low,No Change,126,0.24,30.92,30.31,5.91,5.89,0.61,0.09,2.92,0,-0.92,0,122.84,1.75,5.05,0,129.65,1293.35,6491.68,-60.0600000000002,3.90000000000055,High
Feb 2021,San_Juan,GFDL,Low,No Change,49.76,0.28,32.03,52.81,5.91,29.21,0.61,0.09,1.15,0,0.57,0,48.33,2.24,5.05,0,55.62,1288.82,6493.17,-4.52999999999997,1.48999999999978,High
Mar 2021,San_Juan,GFDL,Low,No Change,17.34,0.1,38.7,33.3,5.91,4.01,0.61,0.09,0.4,0,1.08,0,16.84,2.52,5.05,0,24.41,1260.98,6494.37,-27.8399999999999,1.19999999999982,High
Apr 2021,San_Juan,GFDL,Low,No Change,124.98,0.32,99.91,52.01,43.24,2.92,0.61,0.09,2.9,0,1.92,0,121.76,5.99,7.1,4.28,139.13,1258.34,6495.34,-2.6400000000001,0.970000000000255,High
May 2021,San_Juan,GFDL,Low,No Change,95.58,0.09,231.14,115.52,111.96,18.14,0.62,0.09,2.22,0,5.43,0,93.27,16.46,26.99,15.07,151.79,1292.07,6495.36,33.73,0.0199999999995271,High
Jun 2021,San_Juan,GFDL,Low,No Change,106.43,0.08,120.42,28.83,106.29,24.98,0.62,0.09,2.47,0,0.77,0,103.88,9.59,35.38,18.91,167.76,1359.42,6487.42,67.3500000000001,-7.9399999999996,High
Jul 2021,San_Juan,GFDL,Low,No Change,691.16,9.6,44.16,40.46,72.04,59.51,0.62,0.09,16.03,0,-3.13,0,665.53,3.91,42.56,18.12,730.13,1405.89,6471.22,46.47,-16.1999999999998,High
Aug 2021,San_Juan,GFDL,Low,No Change,213.68,0.18,36.98,30.42,68.35,61.34,0.62,0.09,4.96,0,-3.12,0,208.55,2.84,40.48,15.59,267.46,1376.37,6465.47,-29.5200000000002,-5.75,High
Sep 2021,San_Juan,GFDL,Low,No Change,975.39,15.94,28.16,31.17,29.34,14.53,0.61,0.09,22.62,0,-3.19,0,936.82,1.3,18.35,10.69,967.16,1343.44,6451.19,-32.9299999999998,-14.2800000000007,High
Oct 2021,San_Juan,GFDL,Low,No Change,140.87,0.06,27.93,7.59,25.82,5.38,0.61,0.09,3.27,0,-2.35,0,137.54,2.29,10.35,5.72,155.9,1340.42,6459.42,-3.01999999999998,8.23000000000047,High
Nov 2021,San_Juan,GFDL,Low,No Change,360.89,3.49,30.12,28.01,8.27,1.37,0.61,0.09,8.37,0,-3.21,0,349.04,1.9,5.05,0,355.99,1351.04,6454.1,10.6199999999999,-5.31999999999971,High
Dec 2021,San_Juan,GFDL,Low,No Change,1116.08,19.02,28.9,105.19,5.91,61.43,0.61,0.09,25.88,0,-3.23,0,1071.18,1.48,5.05,0,1077.71,1353.41,6458.74,2.37000000000012,4.63999999999942,High
