Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Socorro-Sierra,GFDL,Low,High,233.6,2.95,45.22,8.56,33.54,0.21,0.7,-1.3,6.17,0,-0.68,0,224.47,6.95,3.58,0,235,360.86,-251.47,0,0,Low
Feb 2016,Socorro-Sierra,GFDL,Low,High,25.07,0.18,41.21,27.61,24.01,15.95,0.7,-1.3,0.66,0,-0.61,0,24.23,6.32,4.71,0,35.26,392.61,-247.97,31.75,3.5,Low
Mar 2016,Socorro-Sierra,GFDL,Low,High,192.01,1.89,91.94,108.64,0.01,27.56,0.7,-1.3,5.07,0,-1.36,0,185.04,14.11,7.26,0,206.41,397.96,-249.91,5.34999999999997,-1.94,Low
Apr 2016,Socorro-Sierra,GFDL,Low,High,8.47,0.1,67.93,88.37,16.02,45.76,2.46,-0.81,0.22,0,-0.98,0,8.15,10.38,13.48,15.38,47.39,365.15,-248.19,-32.81,1.72,Low
May 2016,Socorro-Sierra,GFDL,Low,High,57.53,0.55,151.88,99.61,35.26,3.45,3.15,-0.49,1.52,0,-2.2,0,55.46,23.21,15.11,26.2,119.99,325.2,-267.6,-39.95,-19.41,Low
Jun 2016,Socorro-Sierra,GFDL,Low,High,31.07,0.34,58.61,127.91,10.03,87.1,3.73,-0.29,0.82,0,-0.83,0,29.92,8.92,17.97,33.39,90.2,345.53,-298.12,20.33,-30.52,Low
Jul 2016,Socorro-Sierra,GFDL,Low,High,1683.27,19.61,102.71,144.2,3.27,39.44,2.32,-0.76,44.47,0,-1.6,0,1619.19,15.9,12.14,30.42,1677.65,254.53,-335.54,-91,-37.42,Low
Aug 2016,Socorro-Sierra,GFDL,Low,High,1518.94,17.3,118.45,115.13,31.55,27.4,2.27,-0.79,40.13,0,-1.83,0,1461.51,18.3,9.57,27.14,1516.52,209.3,-326.17,-45.23,9.37,Low
Sep 2016,Socorro-Sierra,GFDL,Low,High,1661.62,19.83,85.81,74.15,41.62,22.09,1.69,-0.97,43.89,0,-1.36,0,1597.89,13.32,7.21,21.79,1640.21,206.93,-318.07,-2.37,8.10000000000002,Low
Oct 2016,Socorro-Sierra,GFDL,Low,High,460.13,5.51,49.25,17.29,32.21,1.58,1.88,-0.97,12.16,0,-0.74,0,442.47,7.58,5.68,10.8,466.52,221.9,-299.98,14.97,18.09,Low
