Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Socorro-Sierra,MPIM,High,No Change,494,5.91,85.23,9.51,70.06,0.25,0.79,-1.3,13.05,0,-1.28,0,475.04,13.11,3.8,0,491.95,360.87,-254.85,0,0,Low
Feb 2016,Socorro-Sierra,MPIM,High,No Change,486.66,5.33,87.08,29.47,51.09,0.25,0.79,-1.29,12.86,0,-1.31,0,468.48,13.4,4.42,0,486.3,428.96,-245.17,68.09,9.68000000000001,Low
Mar 2016,Socorro-Sierra,MPIM,High,No Change,70.58,0.58,63.03,108.45,0.03,53.6,0.81,-1.29,1.86,0,-0.93,0,68.13,9.67,8.59,0.09,86.47,477.47,-235.72,48.51,9.44999999999999,Low
Apr 2016,Socorro-Sierra,MPIM,High,No Change,45.33,0.49,34.82,89.06,14.64,73.22,2.08,-1.03,1.2,0,-0.51,0,43.64,5.34,11.61,7.02,67.61,417.41,-236.97,-60.06,-1.25,Low
May 2016,Socorro-Sierra,MPIM,High,No Change,827.81,8.89,151.53,103.76,38.09,2.46,2.49,-0.75,21.87,0,-2.26,0,797.06,23.28,13.79,24.48,858.61,350.34,-246.42,-67.0700000000001,-9.44999999999999,Low
Jun 2016,Socorro-Sierra,MPIM,High,No Change,492.35,5.9,86.82,130.51,9.42,59.24,3.23,-0.49,13.01,0,-1.28,0,473.45,13.31,16.57,30.42,533.74,375.41,-254.53,25.0700000000001,-8.11000000000001,Low
Jul 2016,Socorro-Sierra,MPIM,High,No Change,1038.84,10.93,103.56,138.61,4.26,42.76,3.03,-0.58,27.44,0,-1.57,0,1000.47,15.96,14.6,31.05,1062.08,312.74,-276.94,-62.67,-22.41,Low
Aug 2016,Socorro-Sierra,MPIM,High,No Change,348.01,3.9,41.25,108.64,4.91,74.11,3.32,-0.47,9.19,0,-0.6,0,334.91,6.32,11.73,27.04,380,263.25,-285.74,-49.49,-8.80000000000001,Low
Sep 2016,Socorro-Sierra,MPIM,High,No Change,819.1,9.25,58.15,67.6,14.98,23.26,2.53,-0.74,21.64,0,-0.89,0,788.22,8.98,8.11,22.27,827.57,186.11,-307.98,-77.14,-22.24,Low
Oct 2016,Socorro-Sierra,MPIM,High,No Change,1306.52,14.21,110.96,21.5,88.91,0.67,1.25,-1.21,34.51,0,-1.72,0,1257.8,17.16,4.07,7.77,1286.8,173,-312.77,-13.11,-4.78999999999996,Low
