Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Southwest,UKMO,High,No Change,767.92,10.46,0,14.75,0.48,0.5,1.91,0.58,7.73,0,-4.7,0,749.74,0.44,1.3,0,751.48,0,-3684.6,0,0,Low
Feb 2016,Southwest,UKMO,High,No Change,695.22,9.71,0,13.99,0.48,0.5,1.91,0.58,6.99,0,-4.69,0,678.52,0.43,1.3,0,680.25,0,-3682.9,0,1.69999999999982,Low
Mar 2016,Southwest,UKMO,High,No Change,369.6,5.12,0,7.96,0.97,0.92,2.66,0.76,3.72,0,-3.15,0,360.76,0.27,1.94,0.02,362.99,0,-3681.91,0,0.990000000000236,Low
Apr 2016,Southwest,UKMO,High,No Change,149.03,2.08,0,2.3,1.75,3.02,12.71,3.36,1.5,0,0.96,0,145.45,0.1,8.08,1.02,154.64,0,-3683.26,0,-1.35000000000036,Low
May 2016,Southwest,UKMO,High,No Change,4.22,0.05,0,0.09,0.36,3.22,15.71,3.34,0.04,0,2.81,0,4.12,0,9.52,3.02,16.66,0,-3691.17,0,-7.90999999999985,Low
Jun 2016,Southwest,UKMO,High,No Change,319.24,4.27,0,4.41,4.02,5.22,16.78,4.59,3.21,0,0.88,0,311.76,0.17,10.99,4.28,327.21,0,-3703.7,0,-12.5299999999997,Low
Jul 2016,Southwest,UKMO,High,No Change,1893.95,24.76,0,32.29,7.1,6.23,13.93,4.12,19.06,0,-9.43,0,1850.14,1.02,10.68,4.25,1866.09,0,-3716.08,0,-12.3800000000001,Low
Aug 2016,Southwest,UKMO,High,No Change,2339.35,31.57,0,40.13,8.45,6.2,11.21,3.72,23.54,0,-12.05,0,2284.25,1.24,9.74,3.56,2298.79,0,-3720.5,0,-4.42000000000007,Low
Sep 2016,Southwest,UKMO,High,No Change,4662.82,63.41,0,84.07,2.59,1.92,4.29,1.43,46.91,0,-23.67,0,4552.5,2.34,3.52,2.66,4561.03,0,-3720.07,0,0.429999999999836,Low
Oct 2016,Southwest,UKMO,High,No Change,4113.35,57.97,0,80.53,1.75,1.39,3,0.9,41.38,0,-25.26,0,4014,2.35,2.46,0.78,4019.59,0,-3702.35,0,17.7200000000003,Low
Nov 2016,Southwest,UKMO,High,No Change,649.41,8.77,0,13.06,0.48,0.51,1.92,0.58,6.53,0,-4.69,0,634.11,0.42,1.31,0,635.83,0,-3689.12,0,13.23,Low
Dec 2016,Southwest,UKMO,High,No Change,720.84,9.37,0,13.95,0.48,0.51,1.92,0.58,7.25,0,-5.01,0,704.22,0.46,1.31,0,705.98,0,-3688.61,0,0.509999999999764,Low
Jan 2017,Southwest,UKMO,High,No Change,1872.49,26.41,0,37.98,0.48,0.51,1.92,0.58,18.84,0,-12.67,0,1827.24,1.14,1.31,0,1829.68,0,-3687.7,0,0.910000000000309,Low
Feb 2017,Southwest,UKMO,High,No Change,550.72,7.58,0,11.18,0.48,0.51,1.92,0.58,5.54,0,-3.92,0,537.6,0.35,1.31,0,539.26,0,-3682.87,0,4.82999999999993,Low
Mar 2017,Southwest,UKMO,High,No Change,2752.85,38.42,0,56.23,0.68,0.65,2.06,0.62,27.7,0,-19.54,0,2686.73,1.71,1.47,0.01,2689.92,0,-3682.58,0,0.289999999999964,Low
