Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Taos,GFDL,No Change,Low,79.87,4.64,11.6,23.04,0.41,0.3,1.96,0.78,7.82,0,-7.76,0,67.41,0.86,1.29,0,69.56,0,-349.22,0,0,High
Feb 2016,Taos,GFDL,No Change,Low,58.85,3.42,13.39,24.66,0.41,0.3,1.96,0.78,5.76,0,-8.96,0,49.67,0.99,1.29,0,51.94,0,-350.35,0,-1.13,High
Mar 2016,Taos,GFDL,No Change,Low,249.69,14.5,15.94,39.83,0.41,0.3,1.96,0.78,24.45,0,-10.67,0,210.73,1.18,1.29,0,213.2,0,-354.72,0,-4.37,High
Apr 2016,Taos,GFDL,No Change,Low,54.27,3.15,12.38,22.79,0.41,0.3,1.96,0.78,5.31,0,-8.28,0,45.81,0.91,1.29,0,48.01,0,-342.12,0,12.6,High
May 2016,Taos,GFDL,No Change,Low,67.58,3.93,39.5,66.72,0.71,0.49,1.97,0.78,6.62,0,-26.43,0,57.04,2.92,1.41,0.08,61.45,0,-346.26,0,-4.13999999999999,High
Jun 2016,Taos,GFDL,No Change,Low,27.07,1.57,30.16,43.09,17.26,10.67,2.24,0.78,2.65,0,-20.18,0,22.84,2.23,8.05,3.31,36.44,0,-367.35,0,-21.09,High
Jul 2016,Taos,GFDL,No Change,Low,281.92,16.37,7.26,23.74,11.08,6.87,2.14,0.78,27.61,0,-4.86,0,237.94,0.54,5.57,3.32,247.37,0,-389.65,0,-22.3,High
Aug 2016,Taos,GFDL,No Change,Low,405.68,23.56,2.2,24.82,5.98,3.73,2.05,0.78,39.73,0,-1.47,0,342.39,0.16,3.53,2.69,348.77,0,-371.58,0,18.07,High
Sep 2016,Taos,GFDL,No Change,Low,254.99,14.81,0.71,13.96,5.3,3.31,2.04,0.78,24.97,0,-0.48,0,215.21,0.05,3.25,1.74,220.26,0,-337.29,0,34.29,High
Oct 2016,Taos,GFDL,No Change,Low,91.76,5.33,0.77,6.46,0.41,0.3,1.96,0.78,8.99,0,-0.52,0,77.45,0.06,1.29,0,78.79,0,-315.8,0,21.49,High
Nov 2016,Taos,GFDL,No Change,Low,378.4,21.98,9.22,36.58,0.41,0.3,1.96,0.78,37.05,0,-6.17,0,319.36,0.68,1.29,0,321.33,0,-308.52,0,7.28000000000003,High
Dec 2016,Taos,GFDL,No Change,Low,72.95,4.24,11.13,21.88,0.41,0.3,1.96,0.78,7.14,0,-7.44,0,61.57,0.82,1.29,0,63.68,0,-278.82,0,29.7,High
Jan 2017,Taos,GFDL,No Change,Low,269.86,15.67,11.3,33.6,0.41,0.3,1.96,0.78,26.43,0,-7.56,0,227.76,0.84,1.29,0,229.88,0,-280.3,0,-1.48000000000002,High
Feb 2017,Taos,GFDL,No Change,Low,191.19,11.1,14.1,33.49,0.41,0.3,1.96,0.78,18.72,0,-9.43,0,161.36,1.04,1.29,0,163.7,0,-262.62,0,17.68,High
Mar 2017,Taos,GFDL,No Change,Low,323.37,18.78,16.24,44.58,0.41,0.3,1.96,0.78,31.67,0,-10.87,0,272.92,1.2,1.29,0,275.41,0,-254.52,0,8.09999999999999,High
Apr 2017,Taos,GFDL,No Change,Low,268.35,15.59,6.9,26.49,0.41,0.3,1.96,0.78,26.28,0,-4.62,0,226.49,0.51,1.29,0,228.29,0,-234.9,0,19.62,High
May 2017,Taos,GFDL,No Change,Low,227.58,13.22,44.15,83.51,0.47,0.34,1.97,0.78,22.29,0,-29.53,0,192.08,3.26,1.32,0.06,196.72,0,-214.43,0,20.47,High
Jun 2017,Taos,GFDL,No Change,Low,62.3,3.62,91.21,143.34,15.11,9.35,2.21,0.78,6.1,0,-61.02,0,52.58,6.74,7.19,3,69.52,0,-222.93,0,-8.5,High
Jul 2017,Taos,GFDL,No Change,Low,290.52,16.87,45.93,86.16,10.47,6.49,2.13,0.78,28.45,0,-30.73,0,245.19,3.39,5.33,3.21,257.13,0,-282.28,0,-59.35,High
Aug 2017,Taos,GFDL,No Change,Low,395.33,22.96,25.82,61.67,6.57,4.09,2.07,0.78,38.71,0,-17.28,0,333.66,1.91,3.76,2.78,342.12,0,-289.12,0,-6.84000000000003,High
Sep 2017,Taos,GFDL,No Change,Low,201.78,11.72,18.38,39.31,4.64,2.91,2.04,0.78,19.76,0,-12.3,0,170.3,1.36,2.99,1.33,175.98,0,-271.76,0,17.36,High
Oct 2017,Taos,GFDL,No Change,Low,276.48,16.06,17.97,44.61,0.41,0.3,1.97,0.78,27.07,0,-12.02,0,233.35,1.33,1.29,0,235.97,0,-266.88,0,4.88,High
Nov 2017,Taos,GFDL,No Change,Low,219.1,12.73,25.64,53.52,0.41,0.3,1.97,0.78,21.46,0,-17.16,0,184.92,1.9,1.29,0,188.11,0,-253.02,0,13.86,High
Dec 2017,Taos,GFDL,No Change,Low,63,3.66,19.81,35.16,0.41,0.3,1.97,0.78,6.17,0,-13.25,0,53.17,1.46,1.29,0,55.93,0,-249.9,0,3.12,High
Jan 2018,Taos,GFDL,No Change,Low,143.05,8.31,18.5,37.72,0.41,0.3,1.97,0.78,14.01,0,-12.38,0,120.73,1.37,1.29,0,123.39,0,-258.18,0,-8.28,High
Feb 2018,Taos,GFDL,No Change,Low,130.27,7.57,21.66,42.01,0.41,0.3,1.97,0.78,12.76,0,-14.49,0,109.94,1.6,1.29,0,112.84,0,-257.74,0,0.439999999999998,High
Mar 2018,Taos,GFDL,No Change,Low,239.88,13.93,27.9,58.34,0.41,0.3,1.97,0.78,23.49,0,-18.67,0,202.46,2.06,1.29,0,205.81,0,-260.66,0,-2.92000000000002,High
Apr 2018,Taos,GFDL,No Change,Low,175.7,10.2,40.34,74.44,0.41,0.3,1.97,0.78,17.21,0,-26.99,0,148.29,2.98,1.29,0,152.57,0,-257.02,0,3.64000000000004,High
May 2018,Taos,GFDL,No Change,Low,135.58,7.87,129.88,214.8,0.79,0.54,1.97,0.78,13.28,0,-86.89,0,114.43,9.6,1.45,0.15,125.63,0,-267.99,0,-10.97,High
Jun 2018,Taos,GFDL,No Change,Low,77.23,4.49,89.36,141.39,14.78,9.14,2.21,0.78,7.56,0,-59.79,0,65.18,6.61,7.06,3.03,81.88,0,-342.96,0,-74.97,High
Jul 2018,Taos,GFDL,No Change,Low,257.81,14.97,29.63,57.8,11.65,7.22,2.15,0.78,25.25,0,-19.82,0,217.59,2.19,5.81,3.31,228.9,0,-399.63,0,-56.67,High
Aug 2018,Taos,GFDL,No Change,Low,177.06,10.28,16.06,31.3,12.1,7.5,2.16,0.78,17.34,0,-10.75,0,149.44,1.19,5.99,2.84,159.46,0,-398.9,0,0.730000000000018,High
Sep 2018,Taos,GFDL,No Change,Low,258.18,15,7.5,25.37,4.25,2.67,2.03,0.78,25.28,0,-5.02,0,217.9,0.55,2.84,1.49,222.78,0,-396.54,0,2.35999999999996,High
Oct 2018,Taos,GFDL,No Change,Low,164.18,9.54,5.06,17.5,0.41,0.3,1.97,0.78,16.08,0,-3.38,0,138.57,0.37,1.29,0,140.24,0,-379.01,0,17.53,High
Nov 2018,Taos,GFDL,No Change,Low,169.02,9.82,10.83,26.99,0.41,0.3,1.97,0.78,16.55,0,-7.24,0,142.65,0.8,1.29,0,144.74,0,-367.51,0,11.5,High
Dec 2018,Taos,GFDL,No Change,Low,137.24,7.97,11.96,26.94,0.41,0.3,1.97,0.78,13.44,0,-8,0,115.83,0.88,1.29,0,118.01,0,-359.39,0,8.12,High
Jan 2019,Taos,GFDL,No Change,Low,136.33,7.92,12.14,27.18,0.41,0.3,1.97,0.78,13.35,0,-8.12,0,115.06,0.9,1.29,0,117.26,0,-355.15,0,4.24000000000001,High
Feb 2019,Taos,GFDL,No Change,Low,222.68,12.93,14.93,36.65,0.41,0.31,1.97,0.78,21.81,0,-9.99,0,187.94,1.1,1.3,0,190.34,0,-351.11,0,4.03999999999996,High
Mar 2019,Taos,GFDL,No Change,Low,117.54,6.83,18.09,35.57,0.41,0.31,1.97,0.78,11.51,0,-12.1,0,99.2,1.34,1.3,0,101.83,0,-340.49,0,10.62,High
Apr 2019,Taos,GFDL,No Change,Low,280.54,16.29,39.62,79.4,0.41,0.31,1.97,0.78,27.47,0,-26.51,0,236.78,2.93,1.3,0,241,0,-342.27,0,-1.77999999999997,High
May 2019,Taos,GFDL,No Change,Low,123.9,7.2,109.29,181.43,0.41,0.31,1.97,0.78,12.13,0,-73.12,0,104.57,8.08,1.3,0.01,113.95,0,-342.5,0,-0.230000000000018,High
Jun 2019,Taos,GFDL,No Change,Low,47.87,2.78,62.11,95.59,16.42,10.16,2.24,0.78,4.69,0,-41.56,0,40.41,4.59,7.72,3.25,55.97,0,-404.69,0,-62.19,High
Jul 2019,Taos,GFDL,No Change,Low,244.5,14.2,19.28,40.37,12.04,7.46,2.16,0.78,23.94,0,-12.9,0,206.36,1.42,5.97,3.33,217.08,0,-446.26,0,-41.57,High
Aug 2019,Taos,GFDL,No Change,Low,611.54,35.52,7.97,47.23,2.76,1.75,2.01,0.78,59.89,0,-5.33,0,516.14,0.59,2.24,2.64,521.61,0,-439.93,0,6.32999999999998,High
Sep 2019,Taos,GFDL,No Change,Low,329.38,19.13,3.87,25.2,0.41,0.31,1.97,0.78,32.25,0,-2.59,0,277.99,0.29,1.3,0.08,279.66,0,-389.26,0,50.67,High
Oct 2019,Taos,GFDL,No Change,Low,319.89,18.58,3.33,23.79,0.41,0.31,1.97,0.78,31.33,0,-2.23,0,269.99,0.25,1.3,0,271.53,0,-360.87,0,28.39,High
Nov 2019,Taos,GFDL,No Change,Low,139.15,8.08,19.46,39.01,0.41,0.31,1.97,0.78,13.63,0,-13.02,0,117.44,1.44,1.3,0,120.18,0,-332.97,0,27.9,High
Dec 2019,Taos,GFDL,No Change,Low,166.75,9.68,17.67,37.77,0.41,0.31,1.97,0.78,16.33,0,-11.82,0,140.73,1.31,1.3,0,143.34,0,-333.55,0,-0.579999999999984,High
Jan 2020,Taos,GFDL,No Change,Low,61.6,3.58,17.13,30.81,0.41,0.31,1.97,0.78,6.03,0,-11.46,0,51.99,1.27,1.3,0,54.55,0,-330.24,0,3.31,High
Feb 2020,Taos,GFDL,No Change,Low,250.36,14.54,19.81,46.04,0.41,0.31,1.98,0.78,24.52,0,-13.25,0,211.31,1.46,1.3,0,214.07,0,-336.87,0,-6.63,High
Mar 2020,Taos,GFDL,No Change,Low,138.99,8.07,26.06,49.54,0.41,0.31,1.98,0.78,13.61,0,-17.43,0,117.31,1.93,1.3,0,120.53,0,-326.8,0,10.07,High
Apr 2020,Taos,GFDL,No Change,Low,87.72,5.09,15.41,29.57,0.41,0.31,1.98,0.78,8.59,0,-10.31,0,74.03,1.14,1.3,0,76.47,0,-331.82,0,-5.01999999999998,High
May 2020,Taos,GFDL,No Change,Low,261.48,15.19,32.19,66.43,0.41,0.31,1.98,0.78,25.61,0,-21.53,0,220.69,2.38,1.3,0.01,224.37,0,-334.74,0,-2.92000000000002,High
Jun 2020,Taos,GFDL,No Change,Low,208.71,12.12,79.55,136.41,6.89,4.3,2.08,0.78,20.44,0,-53.22,0,176.15,5.88,3.9,2.03,187.96,0,-331.87,0,2.87,High
Jul 2020,Taos,GFDL,No Change,Low,172.75,10.03,46.53,79.09,13.55,8.39,2.19,0.78,16.92,0,-31.13,0,145.8,3.44,6.57,3.22,159.03,0,-367.98,0,-36.11,High
Aug 2020,Taos,GFDL,No Change,Low,184.1,10.69,18.68,36.04,11.73,7.27,2.16,0.78,18.03,0,-12.5,0,155.38,1.38,5.84,2.79,165.4,0,-386.82,0,-18.84,High
Sep 2020,Taos,GFDL,No Change,Low,260.6,15.14,11.54,32.6,2.59,1.65,2.01,0.78,25.52,0,-7.72,0,219.94,0.85,2.18,1.03,224.01,0,-385.47,0,1.34999999999997,High
Oct 2020,Taos,GFDL,No Change,Low,3.36,0.2,8.03,12.91,0.41,0.31,1.98,0.78,0.33,0,-5.37,0,2.84,0.59,1.3,0,4.73,0,-369.94,0,15.53,High
Nov 2020,Taos,GFDL,No Change,Low,67.24,3.91,13.09,24.68,0.41,0.31,1.98,0.78,6.58,0,-8.76,0,56.75,0.97,1.3,0,59.02,0,-376.19,0,-6.25,High
Dec 2020,Taos,GFDL,No Change,Low,42.12,2.45,12.67,22.56,0.41,0.31,1.98,0.78,4.12,0,-8.48,0,35.55,0.94,1.3,0,37.79,0,-379.56,0,-3.37,High
Jan 2021,Taos,GFDL,No Change,Low,52.1,3.03,12.32,22.57,0.41,0.31,1.98,0.78,5.1,0,-8.24,0,43.97,0.91,1.3,0,46.18,0,-385.11,0,-5.55000000000001,High
Feb 2021,Taos,GFDL,No Change,Low,45.97,2.67,14.52,25.73,0.41,0.31,1.98,0.78,4.5,0,-9.71,0,38.8,1.07,1.3,0,41.17,0,-389.45,0,-4.33999999999997,High
Mar 2021,Taos,GFDL,No Change,Low,8.49,0.49,17.61,28.48,0.41,0.31,1.98,0.78,0.83,0,-11.78,0,7.16,1.3,1.3,0,9.76,0,-395.86,0,-6.41000000000003,High
Apr 2021,Taos,GFDL,No Change,Low,105.44,6.12,10.35,22.54,0.41,0.31,1.98,0.78,10.33,0,-6.93,0,88.99,0.77,1.3,0,91.06,0,-408.01,0,-12.15,High
May 2021,Taos,GFDL,No Change,Low,61.28,3.56,16.54,27.79,5.75,3.59,2.07,0.78,6,0,-11.07,0,51.72,1.22,3.44,1.23,57.61,0,-405.81,0,2.19999999999999,High
Jun 2021,Taos,GFDL,No Change,Low,104.86,6.09,8.63,13.88,15.66,9.69,2.23,0.78,10.27,0,-5.77,0,88.5,0.64,7.42,3.5,100.06,0,-413.39,0,-7.57999999999998,High
Jul 2021,Taos,GFDL,No Change,Low,200.12,11.62,2.97,11.15,13.7,8.48,2.2,0.78,19.6,0,-1.99,0,168.9,0.22,6.64,3.46,179.22,0,-413.84,0,-0.449999999999989,High
Aug 2021,Taos,GFDL,No Change,Low,94.82,5.51,2.02,5.56,8.73,5.56,2.22,0.65,9.29,0,-1.35,0,80.03,0.15,4.74,2.95,87.87,0,-401.11,0,12.73,High
Sep 2021,Taos,GFDL,No Change,Low,242.19,14.07,1.19,14.87,2.99,1.9,2.02,0.78,23.72,0,-0.8,0,204.41,0.09,2.34,1.07,207.9,0,-397.69,0,3.42000000000002,High
Oct 2021,Taos,GFDL,No Change,Low,20.13,1.17,1.13,2.87,0.41,0.31,1.98,0.78,1.97,0,-0.76,0,16.99,0.08,1.3,0,18.37,0,-377.09,0,20.6,High
