Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,304.07,0.07,0,0,0.51,0.45,0.79,0.04,0.89,0,0,0,303.11,0.01,0.81,0,303.92,0,-749.31,0,0,Low
Feb 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,430.47,0.08,0,0,0.51,0.45,0.79,0.04,1.25,0,0,0,429.14,0.01,0.81,0,429.96,0,-749.16,0,0.149999999999977,Low
Mar 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,32.57,0,0,0,0.13,0.26,0.82,0.05,0.09,0,0,0,32.48,0.13,0.63,0.07,33.31,0,-748.65,0,0.509999999999991,Low
Apr 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,8.9,0,0,0,0.08,0.23,1.34,0.22,0.03,0,0,0,8.87,0.16,0.95,1.33,11.32,0,-749.39,0,-0.740000000000009,Low
May 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,787.58,0.25,0,0,0.67,0.49,1.05,0.18,2.3,0,0,0,785.04,0.07,1.05,2.15,788.31,0,-751.82,0,-2.43000000000006,Low
Jun 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,415.54,0.33,0,0,0.9,0.56,1.46,0.37,1.21,0,0,0,413.99,0,1.41,2.65,418.06,0,-752.54,0,-0.719999999999914,Low
Jul 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,629.41,0.32,0,0,0.86,0.55,1.42,0.36,1.83,0,0,0,627.26,0,1.38,2.64,631.28,0,-755.06,0,-2.51999999999998,Low
Aug 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,319.16,0.33,0,0,0.89,0.56,1.44,0.37,0.93,0,0,0,317.9,0,1.4,2.29,321.59,0,-756.93,0,-1.87,Low
Sep 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,618.68,0.24,0,0,0.76,0.52,1.22,0.26,1.8,0,0,0,616.64,0,1.2,1.94,619.78,0,-759.36,0,-2.43000000000006,Low
Oct 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,783.96,0.12,0,0,0.57,0.46,0.92,0.11,2.29,0,0,0,781.56,0,0.92,0.91,783.4,0,-760.46,0,-1.10000000000002,Low
Nov 2016,Tularosa-Sacramento-Salt,MPIM,Low,Low,54.08,0,0,0,0.25,0.32,0.79,0.04,0.16,0,0,0,53.92,0.07,0.67,0,54.67,0,-759.9,0,0.560000000000059,Low
