Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,9.03,0,0,0,0.05,0.19,0.71,0.04,0.03,0,0,0,9.01,0.14,0.52,0,9.67,0,-745.99,0,0,High
Feb 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,255.44,0.06,0,0,0.43,0.37,0.71,0.04,0.74,0,0,0,254.64,0.01,0.72,0,255.37,0,-746.63,0,-0.639999999999986,High
Mar 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,16.01,0,0,0,0.07,0.2,0.79,0.07,0.05,0,0,0,15.96,0.13,0.59,0.1,16.78,0,-746.55,0,0.0800000000000409,High
Apr 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,56.28,0.05,0,0,0.34,0.3,1.65,0.4,0.16,0,0,0,56.07,0,1.3,1.61,58.98,0,-747.32,0,-0.770000000000095,High
May 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,37.2,0.01,0,0,0.32,0.31,1.91,0.47,0.11,0,0,0,37.08,0,1.45,2.48,41.02,0,-750.01,0,-2.68999999999994,High
Jun 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,300.72,0.56,0,0,1.15,0.59,1.92,0.65,0.88,0,0,0,299.29,0,1.82,2.88,303.99,0,-753.83,0,-3.82000000000005,High
Jul 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,1091.06,0.36,0,0,0.86,0.51,1.45,0.41,3.18,0,0,0,1087.52,0.01,1.39,2.57,1091.49,0,-757.1,0,-3.26999999999998,High
Aug 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,900.4,0.35,0,0,0.84,0.5,1.42,0.4,2.62,0,0,0,897.43,0,1.36,2.32,901.12,0,-757.53,0,-0.42999999999995,High
Sep 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,1595.26,0.34,0,0,0.55,0.41,0.95,0.16,4.65,0,0,0,1590.27,0.2,0.94,1.87,1593.28,0,-758.25,0,-0.720000000000027,High
Oct 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,32.12,0,0,0,0.19,0.26,1.62,0.35,0.09,0,0,0,32.03,0.07,1.2,1.35,34.65,0,-756.27,0,1.98000000000002,High
Nov 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,54.81,0,0,0,0.24,0.28,0.77,0.07,0.16,0,0,0,54.65,0.04,0.66,0.07,55.42,0,-758.8,0,-2.52999999999997,High
Dec 2016,Tularosa-Sacramento-Salt,NCAR,Low,No Change,15.74,0,0,0,0.06,0.2,0.71,0.04,0.05,0,0,0,15.69,0.14,0.53,0,16.36,0,-759.41,0,-0.610000000000014,High
Jan 2017,Tularosa-Sacramento-Salt,NCAR,Low,No Change,197.36,0.06,0,0,0.43,0.37,0.71,0.04,0.58,0,0,0,196.73,0.01,0.72,0,197.46,0,-760.03,0,-0.620000000000005,High
