Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,189.08,0.06,0,0,0.43,0.38,0.71,0.04,0.55,0,0,0,188.47,0.01,0.73,0,189.2,0,-745.19,0,0,Low
Feb 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,191.37,0.06,0,0,0.43,0.38,0.71,0.04,0.56,0,0,0,190.75,0.01,0.73,0,191.48,0,-745.3,0,-0.1099999999999,Low
Mar 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,34.94,0,0,0,0.13,0.23,0.74,0.05,0.1,0,0,0,34.84,0.1,0.59,0.08,35.6,0,-745.41,0,-0.110000000000014,Low
Apr 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,83.59,0.12,0,0,0.46,0.35,1.25,0.28,0.24,0,0,0,83.23,0,1.09,1.56,85.87,0,-746.08,0,-0.670000000000073,Low
May 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,8.3,0,0,0,0.11,0.23,1.49,0.29,0.02,0,0,0,8.27,0.13,1.07,2.56,12.03,0,-748.36,0,-2.27999999999997,Low
Jun 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,140.68,0.32,0,0,0.79,0.47,1.54,0.44,0.41,0,0,0,139.95,0,1.42,2.9,144.27,0,-752.1,0,-3.74000000000001,Low
Jul 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,368.95,0.38,0,0,0.9,0.52,1.52,0.44,1.08,0,0,0,367.5,0,1.46,2.88,371.83,0,-755.69,0,-3.59000000000003,Low
Aug 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,796.67,0.27,0,0,0.73,0.47,1.25,0.31,2.32,0,0,0,794.08,0,1.21,2.42,797.71,0,-758.56,0,-2.86999999999989,Low
Sep 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,2306.27,0.49,0,0,0.47,0.39,0.79,0.08,6.72,0,0,0,2299.06,0.41,0.79,1.83,2302.09,0,-759.6,0,-1.04000000000008,Low
Oct 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,1138.83,0.17,0,0,0.47,0.38,0.8,0.08,3.32,0,0,0,1135.35,0.08,0.8,1.03,1137.26,0,-755.42,0,4.18000000000006,Low
Nov 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,223.8,0.06,0,0,0.43,0.38,0.71,0.04,0.65,0,0,0,223.09,0.01,0.73,0,223.82,0,-753.85,0,1.56999999999994,Low
Dec 2016,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,143.6,0.06,0,0,0.43,0.38,0.71,0.04,0.42,0,0,0,143.12,0,0.73,0,143.85,0,-753.87,0,-0.0199999999999818,Low
Jan 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,466.2,0.07,0,0,0.43,0.38,0.71,0.04,1.36,0,0,0,464.77,0.01,0.73,0,465.51,0,-754.12,0,-0.25,Low
Feb 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,180.38,0.06,0,0,0.43,0.38,0.71,0.04,0.53,0,0,0,179.79,0.01,0.73,0,180.53,0,-753.43,0,0.690000000000055,Low
Mar 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,672.18,0.08,0,0,0.43,0.38,0.72,0.05,1.96,0,0,0,670.14,0.02,0.73,0.05,670.94,0,-753.58,0,-0.150000000000091,Low
Apr 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,500.1,0.16,0,0,0.54,0.38,1.02,0.2,1.46,0,0,0,498.49,0,0.98,1.15,500.61,0,-752.34,0,1.24000000000001,Low
May 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,74.25,0.14,0,0,0.52,0.38,1.39,0.33,0.22,0,0,0,73.9,0,1.2,2.25,77.35,0,-752.85,0,-0.509999999999991,Low
Jun 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,451.14,0.33,0,0,0.83,0.5,1.4,0.38,1.31,0,0,0,449.49,0,1.34,2.8,453.64,0,-755.94,0,-3.09000000000003,Low
Jul 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,356.48,0.37,0,0,0.89,0.51,1.51,0.44,1.04,0,0,0,355.06,0,1.45,2.82,359.33,0,-758.45,0,-2.50999999999999,Low
Aug 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,1192.51,0.28,0,0,0.64,0.44,1.06,0.21,3.48,0,0,0,1188.75,0.09,1.04,2.36,1192.24,0,-761.3,0,-2.84999999999991,Low
Sep 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,247.61,0.3,0,0,0.78,0.48,1.32,0.34,0.72,0,0,0,246.59,0,1.27,1.86,249.73,0,-761.03,0,0.269999999999982,Low
Oct 2017,Tularosa-Sacramento-Salt,UKMO,No Change,No Change,27.99,0,0,0,0.16,0.25,1.22,0.22,0.08,0,0,0,27.91,0.09,0.92,1.2,30.12,0,-763.14,0,-2.11000000000001,Low
