Date,County,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,Curry,Historic,Historic,Historic,26.71690039,0,0,0,0.053782406,0.342007326,0.82400942,0.024113837,0,0,0.141500787,0,26.71690039,0.146724133,0.511670662,0,27.37529519,0,0,0,0
Feb 1975,Curry,Historic,Historic,Historic,68.45229688,0,0,0,0.053782406,0.342179289,0.824395571,0.024125819,0,0,0.140968585,0,68.45229688,0.147428297,0.511872869,0,69.11159804,0,-0.658394795,0,-0.658394795
Mar 1975,Curry,Historic,Historic,Historic,26.96519922,0,0,0,0.053782406,0.342351251,0.824781722,0.024137801,0,0,0.141179467,0,26.96519922,0.147389378,0.512075076,0,27.62466367,0,-1.317695961,0,-0.659301166
Apr 1975,Curry,Historic,Historic,Historic,91.44360156,0,0,0,0.053782406,0.342523214,0.825167874,0.024149783,0.00282762,0,0.140536392,0,91.44077394,0.148204416,0.512277282,0.00282762,92.10408326,0,-1.977160415,0,-0.659464454
May 1975,Curry,Historic,Historic,Historic,64.61910156,0,0,0,0.055130323,0.342695864,64.2988763,18.16702089,0.02361471,0,0.139243849,0,64.59548685,0.148321692,45.84428986,0.02361471,110.6117131,0,-2.637642114,0,-0.660481699
Jun 1975,Curry,Historic,Historic,Historic,102.867,0,0,0,0.055309198,0.342868515,72.72246925,20.57467482,0.029020168,0,0.131080927,0,102.8379798,0.156478389,51.86023512,0.029020168,154.8837135,0,-48.63025367,0,-45.992611556
Jul 1975,Curry,Historic,Historic,Historic,306.454,0,0,0,0.054513813,0.343041165,35.26822372,9.868863916,0.024558072,0,0.130498885,0,306.4294419,0.158028467,25.11083246,0.024558072,331.7228609,0,-100.6469672,0,-52.01671353
Aug 1975,Curry,Historic,Historic,Historic,88.973,0,0,0,0.055272328,0.343213815,70.98703213,20.0784296,0.025270304,0,0.130553115,0,88.9477297,0.157388372,50.62066104,0.025270304,139.7510494,0,-125.9158281,0,-25.2688609
Sep 1975,Curry,Historic,Historic,Historic,125.583,0,0,0,0.05473687,0.343386466,45.7727307,12.87121588,0.018608621,0,0.139143794,0,125.5643914,0.149505802,32.61286522,0.018608621,158.345371,0,-176.6938775,0,-50.7780494
Oct 1975,Curry,Historic,Historic,Historic,0.331011993,0,0,0,0.054315546,0.343559116,25.93304036,7.20025094,0.009285274,0,0.142790653,0,0.32172672,0.146452917,18.44354585,0.009285274,18.92101076,0,-209.4562485,0,-32.762371
Nov 1975,Curry,Historic,Historic,Historic,51.6165,0,0,0,0.053782406,0.343731767,0.827881745,0.024233993,0,0,0.143180525,0,51.6165,0.146768836,0.513698392,0,52.27696723,0,-228.0462473,0,-18.5899988
Dec 1975,Curry,Historic,Historic,Historic,8.707530273,0,0,0,0.053782406,0.343904417,0.828269441,0.024246023,0,0,0.144178467,0,8.707530273,0.145943544,0.513901407,0,9.367375225,0,-228.7067145,0,-0.660467199999999
Jan 1976,Curry,Historic,Historic,Historic,3.305370117,0,0,0,0.043326499,0.345911089,0.875994692,0.024341434,0,0,0.149825052,0,3.305370117,0.152759538,0.549068668,0,4.007198323,0,-229.3665595,0,-0.65984499999999
Feb 1976,Curry,Historic,Historic,Historic,10.74590039,0,0,0,0.043326499,0.346084427,0.876383933,0.024353512,0,0,0.149577603,0,10.74590039,0.153180325,0.549272493,0,11.44835321,0,-230.0683877,0,-0.701828199999994
Mar 1976,Curry,Historic,Historic,Historic,15.50890039,0,0,0,0.043326499,0.346257765,0.876773174,0.02436559,0,0,0.149574693,0,15.50890039,0.153356573,0.549476317,0,16.21173328,0,-230.7708405,0,-0.702452800000003
Apr 1976,Curry,Historic,Historic,Historic,51.58330078,0,0,0,0.043326499,0.346431103,26.88125776,7.457242877,0.013699225,0,0.148815645,0,51.56960156,0.154288959,19.12091028,0.013699225,70.85850002,0,-231.4736734,0,-0.702832900000004
May 1976,Curry,Historic,Historic,Historic,90.24460156,0,0,0,0.043326499,0.346604442,56.54061946,15.9348098,0.02244576,0,0.148726393,0,90.2221558,0.15455155,40.30253171,0.02244576,130.7016848,0,-250.7488726,0,-19.2751992
Jun 1976,Curry,Historic,Historic,Historic,128.458,0,0,0,0.043326499,0.34677778,65.36486669,18.45698411,0.028276218,0,0.139692926,0,128.4297238,0.163758355,46.6044313,0.028276218,175.2261897,0,-291.2059559,0,-40.4570833
Jul 1976,Curry,Historic,Historic,Historic,183.884,0,0,0,0.043326499,0.346951118,54.91411165,15.46969954,0.02528561,0,0.137750627,0,183.8587144,0.165873992,39.14078749,0.02528561,223.1906615,0,-337.9741456,0,-46.7681897
Aug 1976,Curry,Historic,Historic,Historic,169.01,0,0,0,0.043326499,0.347125144,53.26461509,14.9981171,0.024742556,0,0.145549562,0,168.9852574,0.158249084,37.96269935,0.024742556,207.1309484,0,-377.280807,0,-39.3066614
Sep 1976,Curry,Historic,Historic,Historic,208.038,0,0,0,0.043326499,0.34729917,30.86085983,8.594253392,0.018068249,0,0.137870236,0,208.0199318,0.166102436,21.96263377,0.018068249,230.1667362,0,-415.4017555,0,-38.1209485
