Date,County,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,McKinley,Historic,Historic,Historic,166.004,0,0,0.020842733,0.018054655,0.155349977,0.77789875,0.172212011,0,0,-0.2108367,0,166.004,0.327289288,0.468391416,0,166.7996807,0,0,0,0
Feb 1975,McKinley,Historic,Historic,Historic,296.563,0,0,0.438078914,0.018054655,0.155677541,0.778749567,0.17235076,0.129074259,0,-0.42718647,0,296.4339257,0.126730443,0.46877592,0,297.0294321,0,-0.816523438,0,-0.816523438
Mar 1975,McKinley,Historic,Historic,Historic,325.06,0.819253085,0,1.344425989,0.018054655,0.156005845,0.779602303,0.172489822,0.472318333,0,-0.492742285,0,323.7684286,0.105520571,0.469161292,0,324.3431104,0,-1.721034457,0,-0.904511019
Apr 1975,McKinley,Historic,Historic,Historic,199.594,0.364161805,0,0.830828762,0.018054655,0.156334887,0.780456959,0.172629196,0.308402428,0,-0.492511605,0,198.9214358,0.16412488,0.46954753,0,199.5551082,0,-2.348570891,0,-0.627536434
May 1975,McKinley,Historic,Historic,Historic,85.37370313,0,0,0.177253796,0.018054655,0.156664668,0.781313533,0.172768884,0.099261695,0,-0.382322165,0,85.27444143,0.343678383,0.469934636,0.000719121,86.08877357,0,-3.140507831,0,-0.79193694
Jun 1975,McKinley,Historic,Historic,Historic,7.247229981,1.116305029,0,0,3.501492975,2.204033528,0.782172027,0.172908884,0.613779073,0,-0.48756948,0,5.517145878,0.306415062,1.90672259,0.03638425,7.76666778,0,-4.032832071,0,-0.89232424
Jul 1975,McKinley,Historic,Historic,Historic,667.964,2.185454454,0,1.481882194,2.584394723,1.665433101,0.78303244,0.173049198,0.99776652,0,-0.488214437,0,664.780779,0.272825076,1.528944863,0.03524572,666.6177947,0,-4.552269871,0,-0.5194378
Aug 1975,McKinley,Historic,Historic,Historic,370.14,1.097742351,0,0.32890556,2.847066444,1.82012382,0.783894772,0.173189824,0.605456513,0,-0.492068777,0,368.4368011,0.233962945,1.637647571,0.033124506,370.3415362,0,-4.687946749,0,-0.135676878
Sep 1975,McKinley,Historic,Historic,Historic,765.435,4.14599675,0,4.07238904,1.318715601,0.922323022,0.784759023,0.173330764,1.692900205,0,-0.492671544,0,759.596103,0.169886675,1.007820838,0.022979619,760.7967902,0,-5.218388467,0,-0.530441718
Oct 1975,McKinley,Historic,Historic,Historic,13.5455,0,0,0,0.018054655,0.158324657,0.785625193,0.173472016,0,0,-0.240555985,0,13.5455,0.380825987,0.471883174,0,14.39820916,0,-4.652567684,0,0.565820782999999
Nov 1975,McKinley,Historic,Historic,Historic,168.829,0,0,0.000361435,0.018054655,0.158658872,0.786493283,0.173613581,0,0,-0.209358159,0,168.829,0.349600942,0.472275484,0,169.6508764,0,-5.505276846,0,-0.852709162
Dec 1975,McKinley,Historic,Historic,Historic,137.205,0,0,0.001686695,0.018054655,0.158993825,0.787363291,0.17375546,0,0,-0.19609693,0,137.205,0.335349405,0.472668661,0,138.0130181,0,-6.327514706,0,-0.82223786
Jan 1976,McKinley,Historic,Historic,Historic,41.82469922,0,0,0.012730533,0.018741103,0.151246184,1.513730852,0.436564318,0,0,-0.207091145,0,41.82469922,0.326865693,0.944661453,0,43.09622637,0,-7.137219468,0,-0.809704762
Feb 1976,McKinley,Historic,Historic,Historic,173.959,0,0,0.047989017,0.018741103,0.151582615,1.514604698,0.436706822,0,0,-0.240013058,0,173.959,0.324865553,0.945056365,0,175.2289219,0,-8.421477147,0,-1.284257679
Mar 1976,McKinley,Historic,Historic,Historic,103.122,0,0,0.065631241,0.018741103,0.151919785,1.515480464,0.436849639,0.015967845,0,-0.262971337,0,103.1060322,0.330518778,0.945452144,0,104.3820031,0,-9.739388081,0,-1.317910934
Apr 1976,McKinley,Historic,Historic,Historic,76.21660156,0,0,0.03551362,0.018741103,0.15225794,1.516358789,0.436992874,0.026631351,0,-0.275764961,0,76.18997021,0.373768178,0.945849079,0,77.50958747,0,-11.0650224,0,-1.325634319
May 1976,McKinley,Historic,Historic,Historic,247.946,0,0,0.002811159,0.357538693,0.35169083,1.517239033,0.437136421,0.101166658,0,-0.359572367,0,247.8448333,0.350913345,1.085950475,0.012773869,249.294471,0,-12.39352192,0,-1.32849952
Jun 1976,McKinley,Historic,Historic,Historic,56.8235,1.006111121,0,0,3.221498688,2.035033109,1.518121196,0.437280282,0.568383734,0,-0.470179148,0,55.24900514,0.28982469,2.267306494,0.036919237,57.84305557,0,-13.74480411,0,-1.35128219
Jul 1976,McKinley,Historic,Historic,Historic,519.185,2.665205697,0,1.8973263,2.698221554,1.727870302,1.519005278,0.437424455,1.165297882,0,-0.470441352,0,515.3544964,0.267969498,2.051932075,0.036464944,517.7108629,0,-14.76435968,0,-1.01955557
Aug 1976,McKinley,Historic,Historic,Historic,534.395,3.494612842,0,2.952616405,2.288919807,1.487685734,1.51989128,0.437568941,1.461359405,0,-0.475681627,0,529.4390278,0.216443991,1.883556412,0.032053396,531.5710816,0,-15.18754892,0,-0.423189239999999
Sep 1976,McKinley,Historic,Historic,Historic,324.07,0.925273319,0,0.538136081,2.06222549,1.35481094,1.5207792,0.437713741,0.531039529,0,-0.483425844,0,322.6136872,0.163148532,1.790480009,0.02390783,324.5912235,0,-15.31624687,0,-0.128697950000001
Oct 1976,McKinley,Historic,Historic,Historic,119.762,0,0,0,0.018741103,0.154302386,1.52166904,0.437858853,0,0,-0.224169257,0,119.762,0.35973054,0.948248904,0,121.0699794,0,-16.37560648,0,-1.05935961
