date,SW_W_Public_Water_Supply,SW_W_Domestic,SW_W_Irrigated_Agriculture,SW_W_Livestock,SW_W_Commercial,SW_W_Industrial,SW_W_Mining,SW_W_Power,GW_W_Public_Water_Supply,GW_W_Domestic,GW_W_Irrigated_Agriculture,GW_W_Livestock,GW_W_Commercial,GW_W_Industrial,GW_W_Mining,GW_W_Power,SW_D_Public_Water_Supply,SW_D_Domestic,SW_D_Irrigated_Agriculture,SW_D_Livestock,SW_D_Commercial,SW_D_Industrial,SW_D_Mining,SW_D_Power,GW_D_Public_Water_Supply,GW_D_Domestic,GW_D_Irrigated_Agriculture,GW_D_Livestock,GW_D_Commercial,GW_D_Industrial,GW_D_Mining,GW_D_Power,SW_R_Public_Water_Supply,SW_R_Domestic,SW_R_Irrigated_Agriculture,SW_R_Livestock,SW_R_Commercial,SW_R_Industrial,SW_R_Mining,SW_R_Power,GW_R_Public_Water_Supply,GW_R_Domestic,GW_R_Irrigated_Agriculture,GW_R_Livestock,GW_R_Commercial,GW_R_Industrial,GW_R_Mining,GW_R_Power,Reservoir_Evaporation
Jan 1975,0.0,0,0.0,0.028005064,0.0,0,0,0,0.0,0.062629838,0.0,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.0,0.028005064,0.0,0,0,0,0.0,0.031314919,0.0,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,0.0,0,4.16667e-05,4.16667e-05,0,0,0,0.031314919,0,0,0,0,0.0,0,0.0
Feb 1975,0.0,0,0.0,0.028005064,0.0,0,0,0,0.0,0.062578005,0.0,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.0,0.028005064,0.0,0,0,0,0.0,0.031289002,0.0,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,0.0,0,4.16667e-05,4.16667e-05,0,0,0,0.031289002,0,0,0,0,0.0,0,0.0
Mar 1975,0.0,0,0.0,0.028005064,0.0,0,0,0,0.0,0.06252617099999999,0.0,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.0,0.028005064,0.0,0,0,0,0.0,0.031263086,0.0,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,0.0,0,4.16667e-05,4.16667e-05,0,0,0,0.031263086,0,0,0,0,0.0,0,0.0
Apr 1975,0.0,0,0.10780075300000001,0.028005064,0.0,0,0,0,0.0,0.062474338,0.008674138,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.048406705999999994,0.028005064,0.0,0,0,0,0.0,0.031237169,0.004986324,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,0.063081861,0,4.16667e-05,4.16667e-05,0,0,0,0.031237169,0,0,0,0,0.0,0,0.0
May 1975,0.0,0,2.33729394,0.028005064,0.0,0,0,0,0.0,0.062422505,0.188069282,0.028005064,0.000125,0.000125,0.0,0,0.0,0,1.049535345,0.028005064,0.0,0,0,0,0.0,0.031211252999999998,0.108111529,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,1.367716348,0,4.16667e-05,4.16667e-05,0,0,0,0.031211252999999998,0,0,0,0,0.0,0,0.0
Jun 1975,0.0,0,3.030533176,0.028005064,0.0,0,0,0,0.0,0.062370672,0.243850459,0.028005064,0.000125,0.000125,0.0,0,0.0,0,1.3608265640000001,0.028005064,0.0,0,0,0,0.0,0.031185336,0.140177309,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,1.773379761,0,4.16667e-05,4.16667e-05,0,0,0,0.031185336,0,0,0,0,0.0,0,0.0
Jul 1975,0.0,0,2.042844239,0.028005064,0.0,0,0,0,0.0,0.062318839,0.164376523,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.917316045,0.028005064,0.0,0,0,0,0.0,0.031159419,0.09449175900000001,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,1.195412958,0,4.16667e-05,4.16667e-05,0,0,0,0.031159419,0,0,0,0,0.0,0,0.0
Aug 1975,0.0,0,2.5385188999999997,0.028005064,0.0,0,0,0,0.0,0.062267006,0.20426075600000002,0.028005064,0.000125,0.000125,0.0,0,0.0,0,1.139893132,0.028005064,0.0,0,0,0,0.0,0.031133503,0.11741919,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,1.485467335,0,4.16667e-05,4.16667e-05,0,0,0,0.031133503,0,0,0,0,0.0,0,0.0
Sep 1975,0.0,0,1.08338051,0.028005064,0.0,0,0,0,0.0,0.062215173,0.087173715,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.486479735,0.028005064,0.0,0,0,0,0.0,0.031107586,0.050111765,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,0.633962725,0,4.16667e-05,4.16667e-05,0,0,0,0.031107586,0,0,0,0,0.0,0,0.0
Oct 1975,0.0,0,0.6761600209999999,0.028005064,0.0,0,0,0,0.0,0.06216334,0.054406905,0.028005064,0.000125,0.000125,0.0,0,0.0,0,0.303621992,0.028005064,0.0,0,0,0,0.0,0.03108167,0.031275781,0.028005064,8.33333e-05,8.33333e-05,0.0,0,0.0,0,0.39566915399999997,0,4.16667e-05,4.16667e-05,0,0,0,0.03108167,0,0,0,0,0.0,0,0.0
