date,SW_W_Public_Water_Supply,SW_W_Domestic,SW_W_Irrigated_Agriculture,SW_W_Livestock,SW_W_Commercial,SW_W_Industrial,SW_W_Mining,SW_W_Power,GW_W_Public_Water_Supply,GW_W_Domestic,GW_W_Irrigated_Agriculture,GW_W_Livestock,GW_W_Commercial,GW_W_Industrial,GW_W_Mining,GW_W_Power,SW_D_Public_Water_Supply,SW_D_Domestic,SW_D_Irrigated_Agriculture,SW_D_Livestock,SW_D_Commercial,SW_D_Industrial,SW_D_Mining,SW_D_Power,GW_D_Public_Water_Supply,GW_D_Domestic,GW_D_Irrigated_Agriculture,GW_D_Livestock,GW_D_Commercial,GW_D_Industrial,GW_D_Mining,GW_D_Power,SW_R_Public_Water_Supply,SW_R_Domestic,SW_R_Irrigated_Agriculture,SW_R_Livestock,SW_R_Commercial,SW_R_Industrial,SW_R_Mining,SW_R_Power,GW_R_Public_Water_Supply,GW_R_Domestic,GW_R_Irrigated_Agriculture,GW_R_Livestock,GW_R_Commercial,GW_R_Industrial,GW_R_Mining,GW_R_Power,Reservoir_Evaporation
Jan 1975,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.055024329000000004,0.0,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.024739621,0.0,0.02024837,0.000125,0.000125,0,0,0.0,0,0.0,0,8.33333e-05,8.33333e-05,0,0,0,0.030284707999999997,0.0,0,0,0,0.0,0,0
Feb 1975,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.05518362,0.0,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.02481124,0.0,0.02024837,0.000125,0.000125,0,0,0.0,0,0.0,0,8.33333e-05,8.33333e-05,0,0,0,0.03037238,0.0,0,0,0,0.0,0,0
Mar 1975,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.055343629000000005,0.0,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.024883182,0.0,0.02024837,0.000125,0.000125,0,0,0.0,0,0.0,0,8.33333e-05,8.33333e-05,0,0,0,0.030460447,0.0,0,0,0,0.0,0,0
Apr 1975,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.055503638,0.0,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.024955124,0.0,0.02024837,0.000125,0.000125,0,0,0.0,0,0.0,0,8.33333e-05,8.33333e-05,0,0,0,0.030548514,0.0,0,0,0,0.0,0,0
May 1975,0,0,0.000291132,0.020335647,0.0,0,0,0,0.0,0.055664364,0.843548141,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.000291132,0.020335647,0.0,0,0,0,0.0,0.025027387999999998,0.562333412,0.02024837,0.000125,0.000125,0,0,0.0,0,0.224971783,0,8.33333e-05,8.33333e-05,0,0,0,0.030636975,0.056242945999999995,0,0,0,0.0,0,0
Jun 1975,0,0,0.0048680270000000005,0.020335647,0.0,0,0,0,0.0,0.055825808,14.10497437,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0048680270000000005,0.020335647,0.0,0,0,0,0.0,0.025099976,9.402780912,0.02024837,0.000125,0.000125,0,0,0.0,0,3.761754762,0,8.33333e-05,8.33333e-05,0,0,0,0.030725832,0.940438691,0,0,0,0.0,0,0
Jul 1975,0,0,0.002882033,0.020335647,0.0,0,0,0,0.0,0.055987250999999995,8.350611922,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.002882033,0.020335647,0.0,0,0,0,0.0,0.025172563,5.566757681,0.02024837,0.000125,0.000125,0,0,0.0,0,2.227083393,0,8.33333e-05,8.33333e-05,0,0,0,0.030814689,0.556770848,0,0,0,0.0,0,0
Aug 1975,0,0,0.0032802409999999997,0.020335647,0.0,0,0,0,0.0,0.056149412999999995,9.504408227,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0032802409999999997,0.020335647,0.0,0,0,0,0.0,0.025245472,6.335911427,0.02024837,0.000125,0.000125,0,0,0.0,0,2.53479744,0,8.33333e-05,8.33333e-05,0,0,0,0.03090394,0.63369936,0,0,0,0.0,0,0
Sep 1975,0,0,0.001030583,0.020335647,0.0,0,0,0,0.0,0.056312290999999993,2.986084655,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.001030583,0.020335647,0.0,0,0,0,0.0,0.025318705,1.990609771,0.02024837,0.000125,0.000125,0,0,0.0,0,0.796379907,0,8.33333e-05,8.33333e-05,0,0,0,0.030993587000000003,0.199094977,0,0,0,0.0,0,0
Oct 1975,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.05647517,0.0,0.02024837,0.000208333,0.000208333,0.0,0,0,0,0.0,0.020335647,0.0,0,0,0,0.0,0.025391937000000003,0.0,0.02024837,0.000125,0.000125,0,0,0.0,0,0.0,0,8.33333e-05,8.33333e-05,0,0,0,0.031083233,0.0,0,0,0,0.0,0,0
