date,SW_W_Public_Water_Supply,SW_W_Domestic,SW_W_Irrigated_Agriculture,SW_W_Livestock,SW_W_Commercial,SW_W_Industrial,SW_W_Mining,SW_W_Power,GW_W_Public_Water_Supply,GW_W_Domestic,GW_W_Irrigated_Agriculture,GW_W_Livestock,GW_W_Commercial,GW_W_Industrial,GW_W_Mining,GW_W_Power,SW_D_Public_Water_Supply,SW_D_Domestic,SW_D_Irrigated_Agriculture,SW_D_Livestock,SW_D_Commercial,SW_D_Industrial,SW_D_Mining,SW_D_Power,GW_D_Public_Water_Supply,GW_D_Domestic,GW_D_Irrigated_Agriculture,GW_D_Livestock,GW_D_Commercial,GW_D_Industrial,GW_D_Mining,GW_D_Power,SW_R_Public_Water_Supply,SW_R_Domestic,SW_R_Irrigated_Agriculture,SW_R_Livestock,SW_R_Commercial,SW_R_Industrial,SW_R_Mining,SW_R_Power,GW_R_Public_Water_Supply,GW_R_Domestic,GW_R_Irrigated_Agriculture,GW_R_Livestock,GW_R_Commercial,GW_R_Industrial,GW_R_Mining,GW_R_Power,Reservoir_Evaporation
Jan 1975,0.344807331,0.007833782,0.0,0.05787939,0.0,0.0,0.0,0.000226933,0.403833885,0.14254329699999999,0.0,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.17933791100000002,0.003787646,0.0,0.05787939,0.0,0.0,0.0,4.83333e-06,0.219808383,0.067894729,0.0,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.34949492299999996,0,0.0,0,0.003809271,0.003809271,0,0.00146245,0,0.078694704,0.0,0,0,0,0.239351683,0,0
Feb 1975,0.34510173299999997,0.007843314,0.0,0.05787939,0.0,0.0,0.0,0.000226933,0.40430313700000003,0.142790627,0.0,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.179487167,0.003792101,0.0,0.05787939,0.0,0.0,0.0,4.83333e-06,0.220053573,0.068008731,0.0,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.349864131,0,0.0,0,0.003809271,0.003809271,0,0.00146245,0,0.078833109,0.0,0,0,0,0.239351683,0,0
Mar 1975,0.34539633700000005,0.007852861,0.074933899,0.05787939,0.0,0.0,0.0,0.000226933,0.40477304399999997,0.143038773,0.056142644000000005,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.179636514,0.0037965629999999998,0.029643526,0.05787939,0.0,0.0,0.0,4.83333e-06,0.22029908199999998,0.0681231,0.038639224,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.350233785,0,0.025927528,0,0.003809271,0.003809271,0,0.00146245,0,0.078971971,0.036866263999999996,0,0,0,0.239351683,0,0
Apr 1975,0.345691143,0.007862423,2.980773697,0.05787939,0.0,0.0,0.0,0.000226933,0.405243605,0.14328701800000002,4.217949777,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.179785952,0.003801031,1.1767798059999999,0.05787939,0.0,0.0,0.0,4.83333e-06,0.22054491199999998,0.068237514,2.9110266,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.350603884,0,0.48363806,0,0.003809271,0.003809271,0,0.00146245,0,0.079110895,2.627279008,0,0,0,0.239351683,0,0
May 1975,0.345986771,0.007872013,4.53851046,0.05787939,0.0,0.0,0.0,0.000226933,0.40571540000000006,0.143536224,6.595422849,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.179935807,0.003805513,1.822604247,0.05787939,0.0,0.0,0.0,4.83333e-06,0.22079138899999998,0.06835236900000001,4.496640177,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.350974975,0,1.167777353,0,0.003809271,0.003809271,0,0.00146245,0,0.079250355,3.646911532,0,0,0,0.239351683,0,0
Jun 1975,0.34628260899999996,0.007881632,8.119372295,0.05787939,0.0,0.0,0.0,0.000226933,0.40618793200000003,0.143786258,22.80735016,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.180085756,0.0038100070000000002,3.355737307,0.05787939,0.0,0.0,0.0,4.83333e-06,0.221038222,0.06846759599999999,15.33298841,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.35134656200000003,0,5.370467475,0,0.003809271,0.003809271,0,0.00146245,0,0.079390287,6.867529256,0,0,0,0.239351683,0,0
Jul 1975,0.346578682,0.007891266999999999,4.882651414,0.05787939,0.0,0.0,0.0,0.000226933,0.406661135,0.144036405,13.21724276,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.18023581100000002,0.003814509,2.030220223,0.05787939,0.0,0.0,0.0,4.83333e-06,0.22128538399999997,0.068582874,8.877410453,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.35171862200000004,0,3.282619833,0,0.003809271,0.003809271,0,0.00146245,0,0.079530289,3.909643665,0,0,0,0.239351683,0,0
Aug 1975,0.346874956,0.007900917,5.979931471,0.05787939,0.0,0.0,0.0,0.000226933,0.40713499299999995,0.144287368,16.00824099,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.18038595699999999,0.003819017,2.4743057580000003,0.05787939,0.0,0.0,0.0,4.83333e-06,0.221532865,0.06869852,10.76708187,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.35209112600000003,0,3.7335638060000003,0,0.003809271,0.003809271,0,0.00146245,0,0.079670748,5.01322103,0,0,0,0.239351683,0,0
Sep 1975,0.347172052,0.007910595,2.118291634,0.05787939,0.0,0.0,0.0,0.000226933,0.407610085,0.14453929199999999,5.260985605,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.18053652,0.003823538,0.876447075,0.05787939,0.0,0.0,0.0,4.83333e-06,0.221780993,0.068814606,3.540118402,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.352464624,0,1.257210991,0,0.003809271,0.003809271,0,0.00146245,0,0.079811743,1.7055007709999999,0,0,0,0.239351683,0,0
Oct 1975,0.34746935,0.007920287,2.517667148,0.05787939,0.0,0.0,0.0,0.000226933,0.408085831,0.144791316,3.4516414319999997,0.057801535999999994,0.009563883,0.009563883,0.368083284,0.004334725,0.18068717399999998,0.0038280659999999998,0.995017165,0.05787939,0.0,0.0,0.0,4.83333e-06,0.22202944100000002,0.06893073599999999,2.375838823,0.057801535999999994,0.0057546130000000004,0.0057546130000000004,0.128731601,0.003094375,0.352838566,0,0.43465438799999995,0,0.003809271,0.003809271,0,0.00146245,0,0.07995280099999999,2.163798204,0,0,0,0.239351683,0,0
